9d7cb390caa6625e97701a40746e1c3fe349610a9015817dabae9e6d2a6f472c,f3e76e6dc1e1afb9bd2d972b34d3c2792411da4ca5ed0a7ebefdfee8bead2f94,8d66406fbe87ad6fdb43c1d8e514c0ca5c3020c60790f7d5da3a53d5123db7c0,c769541107d4b7d8ea9d6f4f170351e143497c313035eb37172b019251ecb4a7,6b12f9403e48cc3d0a4d4b3672ec365d433b5ea627db77abd9ab0474700a5f96,9a0eca98557c3aefb1bc133bf3420443151013c807a757ec17a04f2ac4598162,6b85e8991e7f2b79ad685936c07b8f5af099cd10bd3579f96c670ae8547b9e02,84057bdeb6bf90cc58ed8d71460b109b2b70e2d78e64b81a6f35ed6dcbc976ef,4c1c0249ec0d5bee55070e67a21c568f380bbb691727585ac9da49543892d231,66aabbca70270cbd65cfc40a7a8ab99e5b5ccfd799b65b796d897c89c6a72e90
"1","パーツを20個獲得しよう","0","3","1","1","10000","20","100","1"
"1","パーツを25個獲得しよう","0","3","2","1","10001","25","100","2"
"1","パーツを30個獲得しよう","0","3","2","1","10002","30","100","3"
"1","パーツを35個獲得しよう","0","3","3","1","10003","35","100","4"
"1","パーツを40個獲得しよう","0","3","3","1","10004","40","100","5"
"1","パーツを45個獲得しよう","0","3","4","1","10005","45","100","6"
"1","パーツを50個獲得しよう","0","3","4","1","10006","50","100","7"
"2","総戦力を1500以上にしよう","0","2","3","1","20000","1500","101","101"
"2","総戦力を2000以上にしよう","0","2","3","1","20001","2000","101","102"
"2","総戦力を2500以上にしよう","0","2","3","1","20002","2500","101","103"
"2","総戦力を3000以上にしよう","0","2","3","1","20003","3000","101","104"
"2","総戦力を3500以上にしよう","0","2","3","1","20004","3500","101","105"
"2","総戦力を4000以上にしよう","0","2","4","1","20005","4000","101","106"
"2","総戦力を4500以上にしよう","0","2","4","1","20006","4500","101","107"
"2","総戦力を5000以上にしよう","0","2","4","1","20007","5000","101","108"
"2","総戦力を6000以上にしよう","0","2","4","1","20008","6000","101","109"
"2","総戦力を7000以上にしよう","0","2","4","1","20009","7000","101","110"
"2","総戦力を8000以上にしよう","0","2","5","1","20010","8000","101","111"
"2","総戦力を9000以上にしよう","0","2","5","1","20011","9000","101","112"
"2","総戦力を10000以上にしよう","0","2","5","1","20012","10000","101","600"
"3","バトルポイントを累計100pt獲得しよう","0","4","2","2","30000","100","200","201"
"3","バトルポイントを累計200pt獲得しよう","0","4","2","2","30001","200","200","202"
"3","バトルポイントを累計300pt獲得しよう","0","4","2","2","30002","300","200","203"
"3","バトルポイントを累計400pt獲得しよう","0","4","2","2","30003","400","200","204"
"3","バトルポイントを累計500pt獲得しよう","0","4","2","2","30004","500","200","205"
"3","バトルポイントを累計600pt獲得しよう","0","4","3","2","30005","600","200","206"
"3","バトルポイントを累計700pt獲得しよう","0","4","3","2","30006","700","200","207"
"3","バトルポイントを累計800pt獲得しよう","0","4","3","2","30007","800","200","208"
"3","バトルポイントを累計900pt獲得しよう","0","4","3","2","30008","900","200","209"
"3","バトルポイントを累計1000pt獲得しよう","0","4","3","2","30009","1000","200","210"
"5","フブキから5個パーツを獲得しよう","0","1","7","4","50000","5","400","401"
"5","フブキから10個パーツを獲得しよう","0","1","7","4","50001","10","400","402"
"5","フブキから15個パーツを獲得しよう","0","1","7","4","50002","15","400","403"
"5","フブキから20個パーツを獲得しよう","0","1","7","4","50003","20","400","404"
"5","フブキから25個パーツを獲得しよう","0","1","7","4","50004","25","400","405"
"5","フブキから30個パーツを獲得しよう","0","1","7","4","50005","30","400","406"
"5","フブキから35個パーツを獲得しよう","0","1","7","4","50006","35","400","407"
"5","フブキから40個パーツを獲得しよう","0","1","7","4","50007","40","400","408"
"5","フブキから45個パーツを獲得しよう","0","1","7","4","50008","45","400","409"
"5","フブキから50個パーツを獲得しよう","0","1","6","4","50009","50","400","700"
"6","バトルポイントを800pt獲得しよう（何度でも）","30009","4","7","2","60000","800","209","999"
"7","ステージ14をクリアしよう","0","3","6","3","70000","14","300","799"
"7","ステージ50をクリアしよう","0","3","8","3","70001","50","301","800"
