eeab72028abb5ab349cf0aeba3e2d34045827fb3a2792a4c920c264c6c997b27,2d27ed1015d29a9a3d2f95fbe06e0223e571b60ee9c415881848b0b8c1cb1534,ab135c341bff63c8d43cc7afcdc1c6b12d53ef5c552a22c3d81468aad5f77700,ccf9583958d8c8c7f735e1276abd1d05a1ecaf911b48858bb81c04ca8c8c273e,874df3a4d4a9e673483c384057c569691b7580aad789c3ae2de9dd9912d67bc0,00073d2e75b716a93265e59ee7103001cd2b81692c7d3178ee9892d43c70692b,a343854e875a878b4ad5eb99737ca9ad55002eba66ffc81acf67c733da69d913,3a96f08360bcb36ab70ada7c3a38daf2d44da83c283f45e4554582ef7bc7f915,599ac1c18687b54ad03c9359ab94d5d992f1bd7573bd88646a64e185be3addf2,b60af650c4c68f79ac5036bd119626acfff80959cf83f9281c42c4b7fa16af08,0e8603a52b30c3564886f65593590673b12182be186403c6823606beccffb1e5
"1","2021/08/17 12:00:00","1回バトルしよう","10","0","7000","2021/08/24 11:59:59","0","1000","10000101","10000101"
"5","2021/08/17 12:00:00","5回バトルしよう","10","0","7000","2021/08/24 11:59:59","0","1000","10000102","10000102"
"10","2021/08/17 12:00:00","10回バトルしよう","10","0","7000","2021/08/24 11:59:59","0","1000","10000103","10000103"
"15","2021/08/17 12:00:00","15回バトルしよう","10","0","7000","2021/08/24 11:59:59","0","1000","10000104","10000104"
"20","2021/08/17 12:00:00","20回バトルしよう","10","0","7000","2021/08/24 11:59:59","0","1000","10000105","10000105"
"25","2021/08/17 12:00:00","25回バトルしよう","10","0","7000","2021/08/24 11:59:59","0","1000","10000106","10000106"
"30","2021/08/17 12:00:00","30回バトルしよう","10","0","7000","2021/08/24 11:59:59","0","1000","10000107","10000107"
"35","2021/08/17 12:00:00","35回バトルしよう","10","0","7000","2021/08/24 11:59:59","0","1000","10000108","10000108"
"40","2021/08/17 12:00:00","40回バトルしよう","10","0","7000","2021/08/24 11:59:59","0","1000","10000109","10000109"
"3000000","2021/08/17 12:00:00","ミソラに累積300万ダメージ与えよう","50","0","7001","2021/08/24 11:59:59","1005","1005","10050501","10050501"
"9000000","2021/08/17 12:00:00","ミソラに累積900万ダメージ与えよう","50","0","7001","2021/08/24 11:59:59","1005","1005","10050502","10050502"
"15000000","2021/08/17 12:00:00","ミソラに累積1500万ダメージ与えよう","50","0","7001","2021/08/24 11:59:59","1005","1005","10050503","10050503"
"1","2021/08/17 12:00:00","ミソラに1度のバトルで100万ダメージ与えよう","51","1000000","7002","2021/08/24 11:59:59","1005","1005","10050511","10050511"
"1","2021/08/17 12:00:00","ミソラに1度のバトルで300万ダメージ与えよう","51","3000000","7002","2021/08/24 11:59:59","1005","1005","10050512","10050512"
"5000000","2021/08/17 12:00:00","ランファに累積500万ダメージ与えよう","60","0","7001","2021/08/24 11:59:59","1006","1006","10060601","10060601"
"15000000","2021/08/17 12:00:00","ランファに累積1500万ダメージ与えよう","60","0","7001","2021/08/24 11:59:59","1006","1006","10060602","10060602"
"24000000","2021/08/17 12:00:00","ランファに累積2400万ダメージ与えよう","60","0","7001","2021/08/24 11:59:59","1006","1006","10060603","10060603"
"1","2021/08/17 12:00:00","ランファに1度のバトルで200万ダメージ与えよう","61","2000000","7002","2021/08/24 11:59:59","1006","1006","10060611","10060611"
"1","2021/08/17 12:00:00","ランファに1度のバトルで500万ダメージ与えよう","61","5000000","7002","2021/08/24 11:59:59","1006","1006","10060612","10060612"
"3000000","2021/08/17 12:00:00","アゾールドに累積300万ダメージ与えよう","70","0","7001","2021/08/24 11:59:59","1007","1007","10070701","10070701"
"9000000","2021/08/17 12:00:00","アゾールドに累積900万ダメージ与えよう","70","0","7001","2021/08/24 11:59:59","1007","1007","10070702","10070702"
"15000000","2021/08/17 12:00:00","アゾールドに累積1500万ダメージ与えよう","70","0","7001","2021/08/24 11:59:59","1007","1007","10070703","10070703"
"1","2021/08/17 12:00:00","アゾールドに1度のバトルで100万ダメージ与えよう","71","1000000","7002","2021/08/24 11:59:59","1007","1007","10070711","10070711"
"1","2021/08/17 12:00:00","アゾールドに1度のバトルで300万ダメージ与えよう","71","3000000","7002","2021/08/24 11:59:59","1007","1007","10070712","10070712"
"5000000","2021/08/17 12:00:00","カリザに累積500万ダメージ与えよう","80","0","7001","2021/08/24 11:59:59","1008","1008","10080801","10080801"
"15000000","2021/08/17 12:00:00","カリザに累積1500万ダメージ与えよう","80","0","7001","2021/08/24 11:59:59","1008","1008","10080802","10080802"
"24000000","2021/08/17 12:00:00","カリザに累積2400万ダメージ与えよう","80","0","7001","2021/08/24 11:59:59","1008","1008","10080803","10080803"
"1","2021/08/17 12:00:00","カリザに1度のバトルで200万ダメージ与えよう","81","2000000","7002","2021/08/24 11:59:59","1008","1008","10080811","10080811"
"1","2021/08/17 12:00:00","カリザに1度のバトルで500万ダメージ与えよう","81","5000000","7002","2021/08/24 11:59:59","1008","1008","10080812","10080812"
