accc3b3ebef64daa4b086ac22a8964e3d7dcb6ecf2e8bfb9812e80840c5ec509,f3cf14788aefdb459288a2adef410104e65fb3a418a1fe4ccf9483158a7811c6,6df886f08df5a288cc0ced1f56641ef37b5dd178f9056c4907707e091c1404c4,22ff23c9b5b3a0840ff88e4e9860ee1043f5a25d99e78f1f58c1dbdd21d6ecac,da3ac5854853dc41e3a9a92e7d64bddaf032998fc7f064c2e4aa4bb9e3680a17,27532019ed5d42441364b0a21406273795469fcae10aaec46742112b218a05fb,a195cdfe7fcd4babc732464e5686afab9d3ce28b1ab5df1ee715973e1789904d,5babeded45fbce2bc92cb53936790434638ea6513d9781754bc2e5335a2524d3,26ea76a18c25e1636a9673d2313af7024fa47131e6c32705ad10e4a027d597ae,1e9e274b7b60194f950621c8389ba119e84f97c129aa6deb296628e0e0a9af68,14a9ff13ecf48aebc3898b6fcedb5910967d2df02feccbe7411c778627bca1f8,1649e5d4d8e5a1d540d0aae4d68e724cf2eeb04f9f1399d239a2291fe5a03091,816dd870028cec6167393e8d6a9d121ed60438afde260103fea4fa63238228d5
"1","-1","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-01/1361481742?app=itunes","-1","2018-10-18 15:00:00","A2001197329/","ろすとぷりんせす","1","","","Lost Princess","20"
"2","-1","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","-1","2018-10-18 15:00:00","A2001197334/","こねくてぃんぐはっぴー","2","","","Connecting Happy！！","17"
"3","1000","","","-1","2018-10-18 15:00:00","","たびのはじまり","3","","","旅の始まり","20"
"4","1000","","","-1","2018-10-18 15:00:00","","もりをかけるかぜ","4","","","森を駆ける風","20"
"5","1000","","","-1","2018-10-18 15:00:00","","めさるてぃむ","5","","","メサルティム","20"
"6","1000","","","-1","2018-10-18 15:00:00","","はつねのぷれぜんとだいさくせん","6","","","ハツネのプレゼント大作戦","20"
"7","1000","","","-1","2018-10-18 15:00:00","","じず","7","","","ジズ","20"
"8","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","-1","2018-10-18 15:00:00","A2001305115/","すまいりーこんとらすと","8","","","Smiley Contrast","20"
"9","1000","","","-1","2018-10-18 15:00:00","","みのたうろす","9","","","ミノタウロス","20"
"10","1000","","","-1","2018-10-18 15:00:00","","りとるりりかるあどべんちゃーず","10","","","リトル・リリカル・アドベンチャーズ","20"
"11","1000","","","-1","2018-10-18 15:00:00","","あるま","11","","","アルマ","20"
"12","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","-1","2018-10-18 15:00:00","A2001336697/","りとるあどべんちゃー","12","","","リトルアドベンチャー","18"
"13","1000","","","-1","2018-10-18 15:00:00","","ぐらっとん","13","","","グラットン","20"
"14","1000","","","-1","2018-10-18 15:00:00","","とりっくおあぷりんやくそくのはろうぃんぱーてぃー","14","","","トリックオアプリン！約束のハロウィンパーティー","20"
"15","1000","","","-1","2018-10-18 15:00:00","","じゃっくおーぷりん","15","","","ジャック・オー・プリン","17"
"16","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","-1","2018-10-18 15:00:00","A2001411119/","もっとふたりのぱーてぃーないと","16","","","もっと！ふたりのパ～ティ～ナイト","20"
"17","1000","","","-1","2018-10-18 15:00:00","","かがようこおりのけっしょう","17","","","耀う氷の結晶","20"
"18","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","3010003","2018-11-19 15:00:00","A2001253711/","しゃいにんぐふゅーちゃー","18","","","Shining Future","20"
"19","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-03/1386518679?app=itunes","3010003","2018-11-19 15:00:00","A2001253711/","かぜへのちかい","19","","","風への誓い","20"
"20","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-04/1411112401?app=itunes","3010003","2018-11-19 15:00:00","A2001305115/","きみのえがおがみたいから","20","","","君の笑顔が見たいから","18"
"21","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","1054007","2018-11-19 15:00:00","A2001336697/","あまのじゃくはーと","21","","","アマノジャクハート！","18"
"22","1000","","","-1","2018-11-19 15:00:00","","ふおんなくうきとたちむかうとうし","22","","","不穏な空気と立ち向かう闘志","20"
"23","1000","","","-1","2018-11-19 15:00:00","","ついんぴっぐす","23","","","ツインピッグス","20"
"24","1000","","","-1","2018-11-19 15:00:00","","ヴぁんぱいあはんたーうぃずいりや","24","","","ヴァンパイアハンターwithイリヤ","20"
"25","1000","","","-1","2018-11-19 15:00:00","","がるぐ","25","","","ガルグ","20"
"26","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes","-1","2018-11-19 15:00:00","A2001552686/","ぴーすふるちゃんぷるー","26","","","Peaceful*ちゃんぷるー","20"
"27","1000","","","-1","2018-11-19 15:00:00","","れさとぱると","27","","","レサトパルト","20"
"28","1000","","","-1","2018-11-19 15:00:00","","とわいらいとぶれいかーず","28","","","トワイライトブレイカーズ","20"
"29","1000","","","-1","2018-11-19 15:00:00","","おらむ","29","","","オラム","20"
"30","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","-1","2018-11-19 15:00:00","A2001502066/","さいつよでしょでしょ","30","","","サイツヨでしょ、でしょ？","20"
"31","1000","","","-1","2018-11-19 15:00:00","","ひょうかいのち","31","","","氷海の地","20"
"32","1000","","","-1","2018-12-19 15:00:00","","こおりとゆきのせかい","32","","","氷と雪の世界","20"
"33","1000","","","-1","2018-12-19 15:00:00","","さわやかなかぜ","33","","","爽やかな風","20"
"34","1000","","","-1","2018-12-19 15:00:00","","かるきのす","34","","","カルキノス","20"
"35","1000","","","-1","2018-12-19 15:00:00","","でんじゃらすばかんすなぎさのぐるめぷりんせす","35","","","デンジャラスバカンス！渚のグルメプリンセス","20"
"36","1000","","","-1","2018-12-19 15:00:00","","てんたぱす","36","","","テンタパス","20"
"37","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","-1","2018-12-19 15:00:00","A2001197334/","えがおのまいほーむ","37","","","えがおのマイホーム","20"
"38","1000","","","-1","2018-12-19 15:00:00","","さじたりうす","38","","","サジタリウス","20"
"39","1000","","","-1","2018-12-19 15:00:00","","ぼうきゃくのきゃろる","39","","","忘却のキャロル","20"
"40","1000","","","-1","2018-12-19 15:00:00","","ふぉぎー","40","","","フォギー","20"
"41","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","-1","2018-12-19 15:00:00","A2001411119/","でぃんどんほーりーないと","41","","","Ding Dong Holy Night♪","20"
"42","1000","","","-1","2019-01-18 15:00:00","","けわしきかんこうげん","42","","","険しき乾荒原","20"
"43","1000","","","-1","2019-01-18 15:00:00","","おるれおん","43","","","オルレオン","20"
"44","1000","","","-1","2019-01-18 15:00:00","","たまきとみふゆのむじんとうぜろるぴせいかつ","44","","","タマキとミフユの無人島0ルピ生活","20"
"45","1000","","","-1","2019-01-18 15:00:00","","しまくじら","45","","","島クジラ","20"
"46","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes","-1","2019-01-18 15:00:00","A2001372582/","きんきらはぴねす","46","","","キンキラ☆ハピネス！","18"
"47","1000","","","-1","2019-01-18 15:00:00","","あらたなふなで","47","","","新たな船出","20"
"48","1000","","","-1","2019-01-18 15:00:00","","あるげてぃ","48","","","アルゲティ","20"
"49","1000","","","-1","2019-01-18 15:00:00","","しんしゅんとぅいんくるくらいしす","49","","","新春トゥインクルクライシス！","20"
"50","1000","","","-1","2019-01-18 15:00:00","","じゃへいしんがみぃ","50","","","邪餅神ガミィ","20"
"51","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-10/1483895284?app=itunes","-1","2019-01-18 15:00:00","A2001612987/","とぅいんくるすたーず","51","","","TwinkleStars","20"
"52","1000","","","-1","2019-02-15 15:00:00","","こくねつのさばく","52","","","酷熱の砂漠","20"
"53","1000","","","-1","2019-02-15 15:00:00","","めでゅーさ","53","","","メデューサ","20"
"54","1000","","","-1","2019-02-15 15:00:00","","くろがねのないとめあ","54","","","黒鉄の亡霊（ナイトメア）","20"
"55","1000","","","-1","2019-02-15 15:00:00","","りびんぐめいる","55","","","リビングメイル","20"
"56","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes","-1","2019-02-15 15:00:00","A2001372582/","あるーふねすこーど","56","","","Aloofness Code","20"
"57","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-lost-princess-%E3%82%88%E3%81%86%E3%81%93%E3%81%9D%E7%BE%8E%E9%A3%9F%E6%AE%BF%E3%81%B8/1458052782?app=itunes","2008015","2019-02-15 15:00:00","A2001452543/","あぶそりゅーとしーくれっと","57","","","Absolute Secret","20"
"58","1000","","","-1","2019-02-15 15:00:00","","あくありおす","58","","","アクアリオス","20"
"59","1000","","","-1","2019-02-15 15:00:00","","ばとるおぶばれんたいんおもいぶつかるすうぃーとばとる","59","","","バトルオブバレンタイン！想いぶつかるスウィートバトル","20"
"60","1000","","","-1","2019-02-15 15:00:00","","あぐりーらぶりー","60","","","アグリーラブリー","20"
"61","1500","","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","-1","2019-02-15 15:00:00","A2001502066/","すーぱーちょこれーと","61","","","SUPER CHOCOLATE","20"
"62","1000","","","-1","2019-03-19 15:00:00","","さかいのなかのおあしす","62","","","砂海の中のオアシス","20"
"63","1000","","","-1","2019-03-19 15:00:00","","ふしぎなもり","63","","","不思議な森","20"
"64","1000","","","-1","2019-03-19 15:00:00","","とるぺどん","64","","","トルペドン","20"
"65","1000","","","-1","2019-03-19 15:00:00","","おうとのめいたんていなげきのすとーかー","65","","","王都の名探偵　嘆きの追跡者（ストーカー）","20"
"66","1000","","","-1","2019-03-19 15:00:00","","なげきのめがみ","66","","","嘆きの女神","20"
