2eaba262286228c1bf8363c8d180007cf4e4c8269550a01f26297878ded15888,8d68c7555344d51f0f91f722b8c297046959b2a72938f4ee000532f81ab11bc4,b82c8377a10bbf8b9073692658a9d5ca64f86455b90401356959c136262ec45d,e7776735306a43e9f3f4c3776c4272d23c0c39f2309b84bc00ab6dd258aca1de,9fedcf1aef1bd3c081d70ce6d7317e4844dcb5716f0a2b3cd8f2ada27189a360,c9e4b7913f618ac426b950395c1a68858e02259f10816f1ac583fd271948ccd5
"-1480","-1480","1","2816","1","11"
"-1302","-1400","1","2816","1","21"
"-1263","-1302","1","2816","1","31"
"-1224","-1263","1","2816","1","41"
"-1185","-1224","1","2816","1","51"
"-1146","-1185","1","2816","1","61"
"-1146","-1146","1","2816","1","71"
"-1146","-1146","1","2816","1","81"
"-1107","-1146","1","2816","1","91"
"-1068","-1107","1","2816","1","101"
"-1029","-1068","1","2816","1","111"
"-1029","-1029","1","2816","1","121"
"-1029","-1029","1","2816","1","131"
"-1029","-1029","1","2816","1","141"
"-988","-1029","1","2816","1","151"
"-947","-988","1","2816","1","161"
"-906","-947","1","2816","1","171"
"-865","-906","1","2816","1","181"
"-865","-865","1","2816","1","191"
"-865","-865","1","2816","1","201"
"-824","-865","1","2816","1","211"
"-783","-824","1","2816","1","221"
"-742","-783","1","2816","1","231"
"-701","-742","1","2816","1","241"
"-660","-701","1","2816","1","251"
"-619","-660","1","2816","1","261"
"-619","-619","1","2816","1","271"
"-619","-619","1","2816","1","281"
"-619","-619","1","2816","1","291"
"-578","-619","1","2816","1","301"
"-537","-578","1","2816","1","311"
"-496","-537","1","2816","1","321"
"-496","-496","1","2816","1","331"
"-496","-496","1","2816","1","341"
"-496","-496","1","2816","1","351"
"-455","-496","1","2816","1","361"
"-414","-455","1","2816","1","371"
"-373","-414","1","2816","1","381"
"-332","-373","1","2816","1","391"
"-332","-332","1","2816","1","401"
"-332","-332","1","2816","1","411"
"-200","-332","1","2816","1","421"
"-1181","-1246","2","2816","2","431"
"-1152","-1181","2","2816","2","441"
"-1152","-1152","2","2816","2","451"
"-1123","-1152","2","2816","2","461"
"-1094","-1123","2","2816","2","471"
"-1094","-1094","2","2816","2","481"
"-1065","-1094","2","2816","2","491"
"-1065","-1065","2","2816","2","501"
"-1036","-1065","2","2816","2","511"
"-1036","-1036","2","2816","2","521"
"-1007","-1036","2","2816","2","531"
"-978","-1007","2","2816","2","541"
"-978","-978","2","2816","2","551"
"-949","-978","2","2816","2","561"
"-920","-949","2","2816","2","571"
"-891","-920","2","2816","2","581"
"-862","-891","2","2816","2","591"
"-862","-862","2","2816","2","601"
"-862","-862","2","2816","2","611"
"-862","-862","2","2816","2","621"
"-833","-862","2","2816","2","631"
"-804","-833","2","2816","2","641"
"-775","-804","2","2816","2","651"
"-746","-775","2","2816","2","661"
"-717","-746","2","2816","2","671"
"-688","-717","2","2816","2","681"
"-659","-688","2","2816","2","691"
"-630","-659","2","2816","2","701"
"-601","-630","2","2816","2","711"
"-572","-601","2","2816","2","721"
"-543","-572","2","2816","2","731"
"-514","-543","2","2816","2","741"
"-449","-514","2","2816","2","751"
"-1153","-1226","3","2816","2","761"
"-1115","-1153","3","2816","2","771"
"-1115","-1115","3","2816","2","781"
"-1077","-1115","3","2816","2","791"
"-1077","-1077","3","2816","2","801"
"-1039","-1077","3","2816","2","811"
"-1001","-1039","3","2816","2","821"
"-1001","-1001","3","2816","2","831"
"-963","-1001","3","2816","2","841"
"-963","-963","3","2816","2","851"
"-963","-963","3","2816","2","861"
"-925","-963","3","2816","2","871"
"-887","-925","3","2816","2","881"
"-887","-887","3","2816","2","891"
"-887","-887","3","2816","2","901"
"-849","-887","3","2816","2","911"
"-811","-849","3","2816","2","921"
"-773","-811","3","2816","2","931"
"-735","-773","3","2816","2","941"
"-697","-735","3","2816","2","951"
"-659","-697","3","2816","2","961"
"-621","-659","3","2816","2","971"
"-583","-621","3","2816","2","981"
"-583","-583","3","2816","2","991"
"-583","-583","3","2816","2","1001"
"-583","-583","3","2816","2","1011"
"-545","-583","3","2816","2","1021"
"-507","-545","3","2816","2","1031"
"-507","-507","3","2816","2","1041"
"-507","-507","3","2816","2","1051"
"-434","-507","3","2816","2","1061"
"-1137","-1220","4","2816","2","1071"
"-1096","-1137","4","2816","2","1081"
"-1096","-1096","4","2816","2","1091"
"-1096","-1096","4","2816","2","1101"
"-1096","-1096","4","2816","2","1111"
"-1096","-1096","4","2816","2","1121"
"-1055","-1096","4","2816","2","1131"
"-1014","-1055","4","2816","2","1141"
"-1014","-1014","4","2816","2","1151"
