c3dfb6ee8fe292cf6266b810dd254f4d7d4895c1f3f964d03fff72e966d8c93c,3855b48da3c359f3637579d4fd3f8f6bb16a7ffb0acb9f889382da37f9218969,2867d4638d41f70ce36934c757656ee1ecae04db9eca6edae034fbd0206f1d5e,bdbfb4575f1457661fd1901a3c2baf78c62f3de763ef17629cf63666852b5b13,5d59761a3d45373af6156e9b78ce6cab63a999d4b6581a15753bf9a721ed7c60,0fb0505dc63f85e8422a78f48250321d3a5f60386232a4fe67063c1658432a7d
"10009106","1","10009101","1","1","0"
"10009112","2","10009101","1","1","0"
"10010110","3","10010101","1","1","0"
"1001901","4","10019101","1","2","0"
"10021112","5","10021101","1","1","0"
"10025109","6","10025101","1","1","0"
"5025001","7","10025","2","3","500810"
"20009106","8","20009101","1","1","0"
"20009112","9","20009101","1","1","0"
"20010110","10","20010101","1","1","0"
"5042001","12","10042","2","3","501001"
"2001501","13","20015101","1","2","0"
"5044001","14","10044","2","3","501031"
"20016112","15","20016101","1","1","0"
"5046002","16","10046","2","3","501103"
"10049109","17","10049101","1","1","0"
"10066112","19","10066101","1","1","0"
"5066005","20","10066","2","3","501291"
"5042001","21","10069","2","3","501001"
"5044001","22","10071","2","3","501031"
"5068001","23","10068","2","3","501341"
"5070004","24","10070","2","3","501353"
"5070005","25","10070","2","3","500016"
"5072004","26","10072","2","3","501364"
"5072006","27","10072","2","3","501365"
"5046002","28","10073","2","3","501103"
"5074001","29","10074","2","3","501383"
"10076112","30","10076101","1","1","0"
"5076005","31","10076","2","3","505036"
"5078004","32","10078","2","3","501451"
"5080005","33","10080","2","3","501463"
"10082105","34","10082101","1","1","0"
"10082108","35","10082102","1","1","0"
"10082111","36","10082103","1","1","0"
"5082002","37","10082","2","3","501160"
"5082004","38","10082","2","3","501031"
"5082005","39","10082","2","3","501483"
"5084001","40","10084","2","3","500368"
"5084002","41","10084","2","3","510306"
"5084003","42","10084","2","3","500039"
"5085002","43","10085","2","3","500368"
"5085003","44","10085","2","3","510203"
"5085004","45","10085","2","3","500272"
"5085005","46","10085","2","3","501501"
"5088005","47","10088","2","3","501810"
"5042001","50","20025","2","3","501001"
"5090002","51","10090","2","3","501541"
"5044001","55","20026","2","3","501031"
"10093112","56","10093101","1","1","0"
"5066005","57","10093","2","3","501291"
"5046002","58","20027","2","3","501103"
"5092001","59","10092","2","3","501031"
"5092004","60","10092","2","3","501551"
"5094001","61","10094","2","3","501593"
"5068001","62","10095","2","3","501341"
"5025001","67","20018","2","3","500810"
"5096002","68","10096","2","3","501613"
"5070004","73","10097","2","3","501353"
"5070005","74","10097","2","3","500016"
"5098000","75","10098","2","3","501031"
"10098104","76","10098101","1","1","0"
"10098111","77","10098102","1","1","0"
"5072004","78","10099","2","3","501364"
"5072006","79","10099","2","3","501365"
"5100003","80","10100","2","3","500837"
"5074001","82","10101","2","3","501383"
"5074001","83","10101","2","3","501383"
"5102002","84","10102","2","3","501873"
"10103112","85","10103101","1","1","0"
"5076005","86","10103","2","3","505036"
"5108002","88","10108","2","3","501911"
"5104003","89","10104","2","3","500133"
"5078004","90","10105","2","3","501451"
"5110005","93","10110","2","3","501931"
"5111005","94","10111","2","3","500013"
"5080005","95","10107","2","3","501463"
"10109105","96","10109101","1","1","0"
"10109108","97","10109102","1","1","0"
"10109111","98","10109103","1","1","0"
"5082002","99","10109","2","3","501160"
"5082004","100","10109","2","3","501031"
"5082005","101","10109","2","3","501483"
"5084001","103","10112","2","3","500368"
"5084002","104","10112","2","3","510306"
"5084003","105","10112","2","3","500039"
"5085002","106","10113","2","3","500368"
"5085003","107","10113","2","3","510203"
"5085004","108","10113","2","3","500272"
"5085005","109","10113","2","3","501501"
"1011001","110","10110101","1","2","0"
"20037112","111","20037101","1","1","0"
"5066005","112","20037","2","3","501291"
"5088005","113","10115","2","3","501810"
"5114000","114","10114","2","3","500016"
"5114003","115","10114","2","3","501952"
"5068001","116","20038","2","3","501341"
"5090002","117","10117","2","3","501541"
"5070004","121","20039","2","3","501353"
"5070005","122","20039","2","3","500016"
"5116004","123","10116","2","3","500837"
"5092001","124","10119","2","3","501031"
"5092004","125","10119","2","3","501551"
"5118002","126","10118","2","3","500133"
"5118003","127","10118","2","3","500810"
"5118007","128","10118","2","3","500133"
"5072004","129","20040","2","3","501364"
"5072006","130","20040","2","3","501365"
"5124003","132","10124","2","3","501614"
"5074001","133","20041","2","3","501383"
"5094001","135","10121","2","3","501593"
"5122000","136","10122","2","3","502003"
"5122002","137","10122","2","3","502015"
"5096002","138","10123","2","3","501613"
"5076005","139","20042","2","3","505036"
"5078004","140","20043","2","3","501451"
"5098000","141","10125","2","3","501031"
"5100003","143","10127","2","3","500837"
"5080005","144","20044","2","3","501463"
"5128001","145","10128","2","3","502063"
"5102002","146","10129","2","3","501873"
"20045105","147","20045101","1","1","0"
"20045108","148","20045102","1","1","0"
"20045111","149","20045103","1","1","0"
"5082002","150","20045","2","3","501160"
"5082004","151","20045","2","3","501031"
"5082005","152","20045","2","3","501483"
"5084001","153","20046","2","3","500368"
"5084002","154","20046","2","3","510306"
"5084003","155","20046","2","3","500039"
"5085002","156","20047","2","3","500368"
"5085003","157","20047","2","3","510203"
"5085004","158","20047","2","3","500272"
"5085005","159","20047","2","3","501501"
"5130001","160","10130","2","3","500016"
"5130007","161","10130","2","3","500133"
"5104003","162","10131","2","3","500133"
"5136002","163","10136","2","3","500143"
"5136004","164","10136","2","3","500175"
"5137002","165","10137","2","3","501622"
"5137005","166","10137","2","3","500133"
"5088005","167","20048","2","3","501810"
"5134007","168","10134","2","3","500554"
"5108002","169","10135","2","3","501911"
"5110005","170","10138","2","3","501931"
"5111005","171","10139","2","3","500013"
"5090002","172","20049","2","3","501541"
"1013801","173","10138101","1","2","0"
"5114000","174","10141","2","3","500016"
"5114003","175","10141","2","3","501952"
"5140002","180","10140","2","3","502224"
"5092001","181","20050","2","3","501031"
"5092004","182","20050","2","3","501551"
"5142001","183","10142","2","3","501683"
"5116004","184","10143","2","3","500837"
"5118002","185","10145","2","3","500133"
"5118003","186","10145","2","3","500810"
"5118007","187","10145","2","3","500133"
"5094001","188","20051","2","3","501593"
"5096002","189","20052","2","3","501613"
"5146001","1014601","10146","2","3","502283"
"5122000","1014901","10149","2","3","502003"
"5122002","1014902","10149","2","3","502015"
"5124003","1015101","10151","2","3","501614"
"5154007","1015401","10154","2","3","502373"
"5156001","1015601","10156","2","3","502074"
"5156002","1015602","10156","2","3","502394"
"5128001","1015701","10157","2","3","502063"
"5158003","1015801","10158","2","3","500880"
"5130001","1015901","10159","2","3","500016"
"5130007","1015902","10159","2","3","500133"
"5134007","1016301","10163","2","3","500554"
"5136002","1016401","10164","2","3","500143"
"5136004","1016402","10164","2","3","500175"
"5137002","1016501","10165","2","3","501622"
"5137005","1016502","10165","2","3","500133"
"5140002","1016601","10166","2","3","502224"
"5142001","1016701","10167","2","3","501683"
"5146001","1016901","10169","2","3","502283"
"5154007","1017301","10173","2","3","502373"
"5156001","1017601","10176","2","3","502074"
"5156002","1017602","10176","2","3","502394"
"5158003","1017701","10177","2","3","500880"
"5098000","2005301","20053","2","3","501031"
"5100003","2005401","20054","2","3","500837"
"5102002","2005501","20055","2","3","501873"
"5104003","2005601","20056","2","3","500133"
"5108002","2005801","20058","2","3","501911"
"5110005","2005901","20059","2","3","501931"
"5111005","2006001","20060","2","3","500013"
"5114000","2006101","20061","2","3","500016"
"5114003","2006102","20061","2","3","501952"
"5116004","2006201","20062","2","3","500837"
"5118002","2006301","20063","2","3","500133"
"5118003","2006302","20063","2","3","500810"
"5118007","2006303","20063","2","3","500133"
"5122000","2006501","20065","2","3","502003"
"5122002","2006502","20065","2","3","502015"
"5124003","2006601","20066","2","3","501614"
"5136002","2006701","20067","2","3","500143"
"5136004","2006702","20067","2","3","500175"
"5137002","2006801","20068","2","3","501622"
"5137005","2006802","20068","2","3","500133"
"5128001","2007001","20070","2","3","502063"
"5130001","2007101","20071","2","3","500016"
"5130007","2007102","20071","2","3","500133"
"5134007","2007301","20073","2","3","500554"
"5140002","2007401","20074","2","3","502224"
