4123fd17745af195ad25164486d0da1f8d3732330940317220fb0dcab1f1b07a,525e7e45ea1898b5166f97b1e666ddba3ee1fa36f7799cdc9759aca2827a355f,29a6ff3ff5b7884d3d7e43616d16fb1a8e556bfe76cd5bd3ce226e5c2b852f57,5a57393ff38e4f85a88da192506c41967049b5bb72cf680e2d49256efad1b4c7,b75ec676c5359f23d51c7a309836094fcce6f3bcbfc32c66aad6596af694af6b
"0","0","0","1","0"
"0","0","0","2","0"
"0","0","0","3","0"
"0","0","0","4","2"
"0","0","0","5","2"
"0","0","0","6","2"
"0","0","0","7","3"
"0","0","0","8","3"
"0","0","0","9","3"
"0","0","0","10","4"
"0","0","0","11","4"
"0","0","0","12","4"
"0","0","0","13","0"
"0","0","0","14","0"
"0","0","0","15","0"
"0","0","2","16","0"
"0","0","2","17","0"
"0","0","2","18","0"
"0","0","3","19","0"
"0","0","3","20","0"
"0","0","3","21","0"
"0","0","0","22","3"
"0","0","0","23","3"
"0","0","0","24","2"
"0","0","0","25","2"
"0","0","2","26","0"
"0","0","2","27","0"
"3","0","0","28","2"
"3","0","0","29","2"
"0","0","2","30","3"
"0","0","2","31","3"
"0","0","3","32","3"
"0","0","3","33","0"
"4","0","0","34","3"
"0","0","0","35","0"
"0","0","2","36","2"
"0","0","2","37","2"
"0","0","3","38","4"
