f187b039acb782888910750742e19dfcdb4c0a5fe7c99365ab6594240b511d15,d2de65bdd8f15f57f156feba0345a92600feaa9902a1f99adc65302a15076aac,21104038f74cb8254b395cee3d97afbe7d7cbb51f18eaaf68b9d5c449f93e8a3,872ec8da6e9933c639e035aa78c727d6c55f37da69c88f6eca39031cd9f6fc21,9c7f77a5a9d23ceabd38e1d841ae0852f748ebff59890768b6fa98c5a06af85d,6dd457fd98c84fb3a780eca21f74b1f1d93da7f6fc2ee09d860bfa272440aa0d,46a4beee1a3786471fe9342add53426a8673bf695d1a57c6c47379d7977eb1a4,a29afc8ace36c0fc75ae1f8ba9852b494dfc3792dae23edf67e3d866762ef1b6,4ca8dc398a5e2c1da97e199118a959376024da37ab85f71dd644220531a4625d,82a655bc8c5179f68509bc237b5b51770d6a671060b75f81e553ad7a44901d83,94debfb8946aee8f3f989574a83b2a634a4d0ffeb836e5564c0d5a8487949717,8379bde0493b5184b88e992319d99e1a7716cd4580e3f7a026697b39c3b8f5df,1e06d320817b49a67160cacba7832baaba1da250556729102a977382daf9f541,22fbee69e8469a234c155a25c8fabe1a64575c30ca8f461f986e1f43c0734371,6b09362201a02a61198c23c4f3b6e10507c70326ce7c10340443654d016fa286,bcb1b73b351d8c541d56d6e7a059516cbe9b383c7a455ddf424d75fcac67c4b2,bc29abeb2dfd1e768aed462fa5ecd69b4b2a4f4eb24221aedbc24c7aa4325a33,b6a439992f196d79f5e4080993c6ae656f29bc1b92d1b235ff636b051f74fc00,5ed3ff18647dc91aaeb3e1362701e4d14007f33d7ceef91e1fe935ddff3cd03d,06e9cf18a3cab9f94b764cff15792c7247991393800992a1b29e5bab1481f5cd,abbeaf63b5e7b72aad2acf684e9b363b05987789ae33f60525f1122e153f1787
"101011","0","0","0","0","0","0","アイアンブレード","0","1","0","0","剣","0","0","0","0","0","0","0","0"
"101071","0","0","0","0","0","0","キラーペンシル","0","1","0","0","短剣","0","0","0","0","0","0","0","0"
"101101","0","0","0","0","0","0","ウッドグリップ","0","1","0","0","ナックル","0","0","0","0","0","0","0","0"
"101131","0","0","0","0","0","0","狩人の弓","0","1","0","0","弓","0","0","0","0","0","0","0","0"
"101161","0","0","0","0","0","0","鋼の槍","0","1","0","0","槍","0","0","0","0","0","0","0","0"
"101191","0","0","0","0","0","0","片手斧","0","1","0","0","斧","0","0","0","0","0","0","0","0"
"101251","0","0","0","0","0","0","香木の杖","0","1","0","0","回復杖","0","0","0","0","0","0","0","0"
"101281","0","0","0","0","0","0","革のサロペット","0","1","0","0","軽装鎧","0","0","0","0","0","0","0","0"
"101371","0","0","0","0","0","0","旅立ちのローブ","0","1","0","0","魔法服","0","0","0","0","0","0","0","0"
"101401","0","0","0","0","0","0","木の盾","0","1","0","0","盾","0","0","0","0","0","0","0","0"
"101431","0","0","0","0","0","0","革のブーツ","0","1","0","0","靴","0","0","0","0","0","0","0","0"
"101521","0","0","0","0","0","0","おしゃれなベレー","0","1","0","0","魔法帽子","0","0","0","0","0","0","0","0"
"101551","0","0","0","0","0","0","やる気のブレスレット","0","1","0","0","攻撃アクセサリ","0","0","0","0","0","0","0","0"
"101581","0","0","0","0","0","0","御守りペンダント","0","1","0","0","防御アクセサリ","0","0","0","0","0","0","0","0"
"101611","0","0","0","0","0","0","気合のブレスレット","0","1","0","0","魔法アクセサリ","0","0","0","0","0","0","0","0"
"102011","0","0","0","0","0","0","ギアブレード","0","2","0","13","剣","0","0","0","0","0","0","0","30"
