e5207bcced6274f55032959e194d0c7708d8808024d2eeceac9029ac643f21cc,d63f2599521b68411c77e4d5d10a356ddb007efe1dec3c054c565f5c2625f1b1,b5ec41bdef6333ebc2dfd87c1cbc309a5de8b68efd9b427881f830b47fa7a412,e69f9121a61d8b18692f2208a1894b5cabaf3da93d752d774488961b693a2991,14588d6e38ec4adc0dc96b2465a5f594c0050c47e0ccedffaea57564612d4ee3,3b072fa84430fc81d9c0befec4a095f56f614cc9a0d2aea70b0793306fd4b7e9
"","おまかせ","1","1","1","2020-02-15 15:00:00"
"","デフォルト","2","2","2","2020-02-15 15:00:00"
"","アニバーサリー","3","3","3","2020-02-15 15:00:00"
"","ピンク","1","4","4","2020-02-15 15:00:00"
"","レッド","1","5","5","2020-02-15 15:00:00"
"","イエロー","1","6","6","2020-02-15 15:00:00"
"","グリーン","1","7","7","2020-02-15 15:00:00"
"","ライトブルー","1","8","8","2020-02-15 15:00:00"
"","ブルー","1","9","9","2020-02-15 15:00:00"
"","パープル","1","10","10","2020-02-15 15:00:00"
"","グレー","1","11","11","2020-02-15 15:00:00"
