d91aed077842dac58bb03dc4fd337a76d38bf08d6fccb0e4a4bcd9d793f7154d,b90b58ddb8970796a39f6bda5d0ca0ff470485de286a68d21a7279c1eb9f2f40,2330051e3054ecdc102c49052855dfe86000519054c65e98bdd406cd06f5dbc3,add7f5499c322748436da3765f3154ceb75aeaa5f14ebc52e276f9b27cac702b,d87c4d6f20adf75f0e04318cda903a9860a5079e5a133ec90b9c6013bca5aca2,4c4420f9d4975442d9f14ebd9f38d2d5dbbf8425c8645f316d81650152479122
"301","5201087","1","1","10201","102013011"
"402","5201081","1","1","10201","102014021"
"402","5201082","101","0","10201","102014022"
"501","5201066","1","1","10201","102015011"
"501","5201067","1","2","10201","102015012"
"501","5201068","1","3","10201","102015013"
"501","5201069","1","4","10201","102015014"
"501","5201070","1","5","10201","102015015"
"501","5201071","1","6","10201","102015016"
"501","5201072","1","7","10201","102015017"
"501","5201073","1","8","10201","102015018"
