2f17a41b0fdb23a156f7658fbc9190664d08ade41dd198559878370b59fe66e3,dd515a45a0a3aa582b722dba61d3abd7bc6302d6075d25d9c0871e16de8112e7,1fc7eb0648b7e655c700895c810e055eaee71ca2883cb49ce3344b897dcebae2,c1ad9d42400745c2af686e917bfc6427cac7a4835a93f8965e03a99f51f9db71,654b7cd0684c0c8e8bcca8f25cc06caf6ebc81b646fcaed497adc8ec16913d6e,541cad453e7cbd25e0c29eacaa105ca4919d0fc97480ed807dbdcef07c037e50,412a253b3c29024bee52b930544470e149d5dc4190e4455b9152573b25147456,6aa5cda1fe364205ed2fcd72aac5aa0e08108ec90d67afd32dd6068f7859f63c,9a7d34967639aa5489e754a30a3145b4f03d3062a6415ed774474c3c2b9f392e,ab000945bba089ecf87d4321861f470fdfbcae19fb5a6ae57156e60438c33038,e17a863c92ed53b014dc1bdc069653df7d832c50019ec348f891c46d86508be4,6d907e1911f9fb6eef07e8f53ac8c202b68f19bc37828762ae5c9db3f047c8f3
"924073101","1","0","92407","1","500000000","924071100","1","90","92407120","924072101","92407110"
"924073102","1","92407110","92407","2","1000000000","924071200","2","90","92407130","924072102","92407120"
"924073103","1","92407120","92407","3","1500000000","924071300","3","90","92407140","924072103","92407130"
"924073104","1","92407130","92407","3","0","924071400","4","90","0","924072104","92407140"
"924073201","1","0","92407","1","500000000","924072100","1","90","92407220","924072201","92407210"
"924073202","1","92407210","92407","2","1000000000","924072200","2","90","92407230","924072202","92407220"
"924073203","1","92407220","92407","3","1500000000","924072300","3","90","92407240","924072203","92407230"
"924073204","1","92407230","92407","3","0","924072400","4","90","0","924072204","92407240"
"924073301","1","0","92407","1","500000000","924073100","1","90","92407320","924072301","92407310"
"924073302","1","92407310","92407","2","1000000000","924073200","2","90","92407330","924072302","92407320"
"924073303","1","92407320","92407","3","1500000000","924073300","3","90","92407340","924072303","92407330"
"924073304","1","92407330","92407","3","0","924073400","4","90","0","924072304","92407340"
"924083101","1","0","92408","1","500000000","924081100","1","90","92408120","924082101","92408110"
"924083102","1","92408110","92408","2","1000000000","924081200","2","90","92408130","924082102","92408120"
"924083103","1","92408120","92408","3","1500000000","924081300","3","90","92408140","924082103","92408130"
"924083104","1","92408130","92408","3","0","924081400","4","90","0","924082104","92408140"
"924083201","1","0","92408","1","500000000","924082100","1","90","92408220","924082201","92408210"
"924083202","1","92408210","92408","2","1000000000","924082200","2","90","92408230","924082202","92408220"
"924083203","1","92408220","92408","3","1500000000","924082300","3","90","92408240","924082203","92408230"
"924083204","1","92408230","92408","3","0","924082400","4","90","0","924082204","92408240"
"924083301","1","0","92408","1","500000000","924083100","1","90","92408320","924082301","92408310"
"924083302","1","92408310","92408","2","1000000000","924083200","2","90","92408330","924082302","92408320"
"924083303","1","92408320","92408","3","1500000000","924083300","3","90","92408340","924082303","92408330"
"924083304","1","92408330","92408","3","0","924083400","4","90","0","924082304","92408340"
"924093101","1","0","92409","1","500000000","924091100","1","90","92409120","924092101","92409110"
"924093102","1","92409110","92409","2","1000000000","924091200","2","90","92409130","924092102","92409120"
"924093103","1","92409120","92409","3","1500000000","924091300","3","90","92409140","924092103","92409130"
"924093104","1","92409130","92409","4","0","924091400","4","90","0","924092104","92409140"
"924093201","1","0","92409","1","500000000","924092100","1","90","92409220","924092201","92409210"
"924093202","1","92409210","92409","2","1000000000","924092200","2","90","92409230","924092202","92409220"
"924093203","1","92409220","92409","3","1500000000","924092300","3","90","92409240","924092203","92409230"
"924093204","1","92409230","92409","4","0","924092400","4","90","0","924092204","92409240"
"924093301","1","0","92409","1","500000000","924093100","1","90","92409320","924092301","92409310"
"924093302","1","92409310","92409","2","1000000000","924093200","2","90","92409330","924092302","92409320"
"924093303","1","92409320","92409","3","1500000000","924093300","3","90","92409340","924092303","92409330"
"924093304","1","92409330","92409","4","0","924093400","4","90","0","924092304","92409340"
"924103101","1","0","92410","1","500000000","924101100","1","90","92410120","924102101","92410110"
"924103102","1","92410110","92410","2","1000000000","924101200","2","90","92410130","924102102","92410120"
"924103103","1","92410120","92410","3","1500000000","924101300","3","90","92410140","924102103","92410130"
"924103104","1","92410130","92410","4","0","924101400","4","90","0","924102104","92410140"
"924103201","1","0","92410","1","500000000","924102100","1","90","92410220","924102201","92410210"
"924103202","1","92410210","92410","2","1000000000","924102200","2","90","92410230","924102202","92410220"
"924103203","1","92410220","92410","3","1500000000","924102300","3","90","92410240","924102203","92410230"
"924103204","1","92410230","92410","4","0","924102400","4","90","0","924102204","92410240"
"924103301","1","0","92410","1","500000000","924103100","1","90","92410320","924102301","92410310"
"924103302","1","92410310","92410","2","1000000000","924103200","2","90","92410330","924102302","92410320"
"924103303","1","92410320","92410","3","1500000000","924103300","3","90","92410340","924102303","92410330"
"924103304","1","92410330","92410","4","0","924103400","4","90","0","924102304","92410340"
"924113101","1","0","92411","1","500000000","924111100","1","90","92411120","924112101","92411110"
"924113102","1","92411110","92411","2","1000000000","924111200","2","90","92411130","924112102","92411120"
"924113103","1","92411120","92411","3","1500000000","924111300","3","90","92411140","924112103","92411130"
"924113104","1","92411130","92411","4","0","924111400","4","90","0","924112104","92411140"
"924113201","1","0","92411","1","500000000","924112100","1","90","92411220","924112201","92411210"
"924113202","1","92411210","92411","2","1000000000","924112200","2","90","92411230","924112202","92411220"
"924113203","1","92411220","92411","3","1500000000","924112300","3","90","92411240","924112203","92411230"
"924113204","1","92411230","92411","4","0","924112400","4","90","0","924112204","92411240"
"924113301","1","0","92411","1","500000000","924113100","1","90","92411320","924112301","92411310"
"924113302","1","92411310","92411","2","1000000000","924113200","2","90","92411330","924112302","92411320"
"924113303","1","92411320","92411","3","1500000000","924113300","3","90","92411340","924112303","92411330"
"924113304","1","92411330","92411","4","0","924113400","4","90","0","924112304","92411340"
"924123101","1","0","92412","1","500000000","924121100","1","90","92412120","924122101","92412110"
"924123102","1","92412110","92412","2","1000000000","924121200","2","90","92412130","924122102","92412120"
"924123103","1","92412120","92412","3","1500000000","924121300","3","90","92412140","924122103","92412130"
"924123104","1","92412130","92412","4","0","924121400","4","90","0","924122104","92412140"
"924123201","1","0","92412","1","500000000","924122100","1","90","92412220","924122201","92412210"
"924123202","1","92412210","92412","2","1000000000","924122200","2","90","92412230","924122202","92412220"
"924123203","1","92412220","92412","3","1500000000","924122300","3","90","92412240","924122203","92412230"
"924123204","1","92412230","92412","4","0","924122400","4","90","0","924122204","92412240"
"924123301","1","0","92412","1","500000000","924123100","1","90","92412320","924122301","92412310"
"924123302","1","92412310","92412","2","1000000000","924123200","2","90","92412330","924122302","92412320"
"924123303","1","92412320","92412","3","1500000000","924123300","3","90","92412340","924122303","92412330"
"924123304","1","92412330","92412","4","0","924123400","4","90","0","924122304","92412340"
"924143101","1","0","92414","1","500000000","924141100","1","90","92414120","924142101","92414110"
