64e8420ab358d6aeacf1bc21f0c72abd7445f5da4931faca8d3b5d005692bc9b,5dc3e201e00ad43e98648ff9244aa91341c0de74a14ff397d55449e495996e14,53cb772067a54fb6df7a030d4f07f0a1452d2b198a0e6ddf27d18c9fa0a110da,90d06bfef7df69443ba51f81ef4db00cc6f70d7f30ac91a5a4fbfcab43431906,6260cd8895d5f748444dbfd408738e9e6d90491af10881cf36403c9fa0f6cfa0,5c49f6c758a19b3a525c569c5052e7728d56a1389ce0ae8d1ab1de3ba98eb4ae,12820b4235c817360a1d5013b9f76f48baab1a53b5969c8ca2990a04486f07f6,f360614da926a1c2d9e28c01fd3fb3572bdf9a546c50b0bf590bd124f334b96f,2cc64e01b2898cd215d9fc9f172f3c3517d458d8924c0b3c30e08bc71765efd5,0a01d94e95f025bea8e87faf22be4baa96d0cfca559b9bded9204f3cae6ccda1,def08c156bd70e54e642d4d5aed49802844861a337b955742c9bb59ee0993bd6,c61fb20d0b43b88fc9654e44916be37a6b108784dbe1e3ed4c388bbdae94377e,97dc6eb204fb2488c62c907b7dc8e1f71a9aedfe7361f18d3cb04c04f1ad4097,abf5f59e4e2ac9bf4f206b2676f202441fe301a5d5d4d27aa845a099de98e548,115e6a2f51044201f19e420c7235024b5a1fd6b3f7ea922fe48964e68f3e960b,9bcd16d266e43b58f4c94f9ee6ddd4fba3b8c37b9065e5e7a51fbe1ce219dc48
"0","94002","0","0","0","プリンを15種類食べよう","0","12","20000","15","1","0","0","0","1","0"
"0","94002","0","0","0","プリンを30種類食べよう","0","12","30000","30","1","0","0","0","2","0"
"0","91002","0","0","0","プリンを40種類食べよう","0","8","50","40","1","0","0","0","3","0"
"0","94002","0","0","0","プリンを50種類食べよう","0","12","50000","50","1","0","0","0","4","0"
"0","91002","0","0","0","プリンを55種類食べよう","0","8","50","55","1","0","0","0","5","0"
"0","94002","0","0","0","プリンを60種類食べよう","0","12","100000","60","1","0","0","0","6","0"
"0","11001164","0","100","0","プリンを全66種類食べよう","0","15","1","66","1","91002","8","0","7","0"
"0","94002","0","0","0","プリンノートを25％コンプリートしよう","0","12","50000","25","2","0","0","0","8","0"
"0","91002","0","0","0","プリンノートを50％コンプリートしよう","0","8","50","50","2","0","0","0","9","0"
"0","94002","0","0","0","プリンノートを75％コンプリートしよう","0","12","100000","75","2","0","0","0","10","0"
"0","9000100","91002","1","0","プリンノートを100％コンプリートしよう","0","16","1","100","2","11001165","15","100","11","8"
