d57ad7c3241ce3327d8a80e64982db667ceefdc1e648f951b4b990ca376365ff,58af6ec7e2df19670153d1cb866b7e3d3abfa4f2d080bf2beb13bccc29e6bb63,bea4c65ab552d243ac2f04741ec84bd8735e31788537344e41d5ead9f9df3211
"1","10101","1"
"2","10102","1"
"3","10103","1"
"4","10104","1"
"1","10201","2"
"2","10202","2"
"3","10203","2"
"4","10204","2"
"1","10301","3"
"2","10302","3"
"3","10303","3"
"4","10304","3"
"1","10401","4"
"2","10402","4"
"3","10403","4"
"4","10404","4"
"1","10501","5"
"2","10502","5"
"3","10503","5"
"4","10504","5"
"1","10601","6"
"2","10602","6"
"3","10603","6"
"4","10604","6"
"1","10701","7"
"2","10702","7"
"3","10703","7"
"4","10704","7"
"1","10801","8"
"2","10802","8"
"3","10803","8"
"4","10804","8"
"0","99999","0"
