90b1b3d5b4fe1ade01ba3b86f190de9414315e686c83d4fd80a430e2cd8eb4fe,86402b208ef187e7762eb0927967fc07e5efcfc710fc6be42a0666eed7ecef0a,0adce7f78f5af7361e1ed801c4f15328e174d3432913e9810a47452197cacd65
"4","1","14"
"15","2","20"
"21","3","25"
"26","4","30"
"31","5","35"
"36","6","40"
"41","7","45"
"46","8","50"
"51","9","55"
"56","10","60"
"61","11","65"
"66","12","70"
"71","13","75"
"76","14","80"
"81","15","85"
"86","16","90"
"91","17","95"
"96","18","100"
"101","19","105"
"106","20","110"
"111","21","115"
"116","22","120"
"121","23","125"
"126","24","130"
"131","25","135"
"136","26","140"
"141","27","145"
"146","28","150"
"151","29","155"
"156","30","160"
"161","31","165"
"166","32","170"
"171","33","175"
"176","34","180"
"181","35","185"
"186","36","190"
"191","37","195"
"196","38","200"
"201","39","205"
"206","40","210"
"211","41","215"
"216","42","220"
"221","43","225"
"226","44","230"
"231","45","235"
"236","46","240"
"241","47","245"
"246","48","250"
"251","49","255"
"256","50","260"
"261","51","265"
"266","52","270"
"271","53","275"
"276","54","280"
"281","55","285"
"286","56","290"
"291","57","295"
"296","58","300"
"301","59","305"
"306","60","310"
"311","61","315"
"316","62","320"
"321","63","325"
"326","64","330"
"331","65","335"
"336","66","340"
"341","67","345"
"346","68","350"
"351","69","355"
"356","70","360"
"361","71","365"
"366","72","367"
"368","73","-1"
