b84243774cb9958c573477544f77bd0cd07ccb146ee1d93fe8a8543cf7a8c2e5,56a60cdebd92602d1c0538cc7f83c034e8fe6b87d072f9ceec130891de2e55f8,7c50d7163d3de07e883f62b678987e19c69788d0d093716242860d95c5b4445d,e495d91e41d61e6ae9008983668dc60122c64f632ca8fea2ae959a51606115de,28343ced5f5b7c33824e83230f214daa3dedd51b48df0d55d7ec9b6760edc9c2,8ba1eb84a1faaa4f0859980637204cd3186402a55145b95810e6896c76c0086e,90992eff7facefa82f402720c186e33eeb71dd9cad212933ba75c2e17c49d7ae
"1","10008111","10008101","0","","1","0"
"1","10008115","10008112","0","","2","0"
"3","10008103","10008101","0","","3","0"
"3","10008115","10008105","0","","4","0"
"4","150","10008112","0","","5","0"
"1","10028111","10028101","0","","6","0"
"1","10028115","10028112","0","","7","0"
"3","10028103","10028101","0","","8","0"
"3","10028115","10028105","0","","9","0"
"4","150","10028112","0","","10","0"
"11","20012104","20012104","20012107","","11","0"
"11","20012108","20012108","20012109","","12","0"
"11","20012110","20012110","20012114","","13","0"
"11","20012115","20012115","20012115","","14","0"
"4","120","20012110","0","","15","0"
"1","20008111","20008101","0","","16","0"
"1","20008115","20008112","0","","17","0"
"3","20008103","20008101","0","","18","0"
"3","20008115","20008105","0","","19","0"
"4","150","20008112","0","","20","0"
