9f1cdac1542d229745b092e0080c0e5eb048930756d54c91ca6c46d92620b63d,764c7d0f89d662db4652749c6c36523873dd9dba63d7a56c190a5905db3dfff2,aa919763c3ddf03dfc001e115fc96dfe9c7a29fc805c05c683732d8aef61f4a5,8dc5df8e37e061dfd11c6f5760989248221c33a487961c41b82fae9994f9b974,dba95d1289dbcf022aeb902b3f6e0abf103b6b6877204fe75a9c86e04c72064b,8739cb42a1350e9ab743b1025d34fe821a45ba1f7db0f9474f1796d792fd1d31,739d9460f55a60f3738ec6d577b87ffd3028cd6f64de079299e7d126866b400e,d386c30c44900a2d0041afeb90b1f8a454fed726a1fd5d4335bfd60578ee385d,796396204ecce9a74215b9f6b08edc56d7d6b69b7e51f714e29c089adce94ae3
"1","0","0","0","1","1.6","610201101","","50"
"1","0","200","0","1","1.8","610201151","","-75"
"1","0","0","0","1","1.6","610201201","","50"
"1","0","0","0","1","1.6","610201202","","50"
"1","0","0","0","1","1.6","610201203","","50"
"1","0","200","0","1","1.65","610201251","","-75"
"1","0","200","0","1","1.8","610201252","","-75"
"1","0","200","0","1","1.8","610201253","","-75"
"1","0","0","0","1","1.6","610201301","","50"
"1","0","0","0","1","1.6","610201302","","50"
"1","0","0","0","1","1.6","610201303","","50"
"1","0","200","0","1","1.65","610201351","","-75"
"1","0","200","0","1","1.8","610201352","","-75"
"1","0","200","0","1","1.8","610201353","","-75"
"0","1","0","0","2","1","610201401","","0"
"0","1","0","0","3","1","610201402","","0"
"0","1","0","0","4","1","610201403","","0"
"0","0","0","-200","2","0.78","610201451","","0"
"0","0","0","-140","3","0.78","610201452","","0"
"0","0","0","-60","4","0.78","610201453","","0"
"0","1","0","0","2","1","610201501","","0"
"0","1","0","0","3","1","610201502","","0"
"0","1","0","0","4","1","610201503","","0"
"0","0","0","-200","2","0.78","610201551","","0"
"0","0","0","-140","3","0.78","610201552","","0"
"0","0","0","-60","4","0.78","610201553","","0"
"1","0","190","0","1","1.7","610202101","","-45"
"1","0","190","0","1","1.4","610202201","","-55"
"1","0","190","0","1","1.7","610202202","","-45"
"1","0","190","0","1","1.7","610202203","","-45"
"1","0","190","0","1","1.4","610202301","","-55"
"1","0","190","0","1","1.7","610202302","","-45"
"1","0","190","0","1","1.7","610202303","","-45"
"0","0","0","-200","2","1","610202401","","0"
"0","0","0","-140","3","1","610202402","","0"
"0","0","0","-60","4","1","610202403","","0"
"0","0","0","-60","5","1","610202404","","0"
"0","0","0","-200","2","1","610202501","","0"
"0","0","0","-140","3","1","610202502","","0"
"0","0","0","-60","4","1","610202503","","0"
"0","0","0","-60","5","1","610202504","","0"
"1","0","190","0","1","1.03","610203101","","-80"
"1","0","190","0","1","0.66","610203201","","-42"
"1","0","190","0","1","1.03","610203202","","-80"
"1","0","190","0","1","1.03","610203203","","-80"
"1","0","190","0","1","0.66","610203301","","-42"
"1","0","190","0","1","1.03","610203302","","-80"
"1","0","190","0","1","1.03","610203303","","-80"
"0","0","0","-200","2","0.78","610203401","","0"
"0","0","0","-140","3","0.78","610203402","","0"
"0","0","0","-60","4","0.78","610203403","","0"
"0","0","0","-30","5","0.78","610203404","","0"
