0fc307ec47338f37144705844fd061f094e819987aef84c626e54568d63fdc77,34c97307f0036353818a4e85f064f8e082ad059d94f8d998c7cb9ec4f58a984a,2f933bdb81b502fa622c458214b71a65970b93811ff2353a9e73314874bf67c4,47ecb617cb6248c126fd65606c4a9fe388ba104e5c359147f35457c75e4b6293,5c6e6f0dbf71abad27beb7f461ca07130ca9db4b212208015550ccec5351c13b,a4f0738911a41e1d5e6f1ab25a37d85bec726c17ec2a86a3d510bba1ecafe345
"1","おまかせ","2020-02-15 15:00:00","1","1",""
"2","デフォルト","2020-02-15 15:00:00","2","2",""
"3","アニバーサリー","2020-02-15 15:00:00","3","3",""
"4","ピンク","2020-02-15 15:00:00","4","1",""
"5","レッド","2020-02-15 15:00:00","5","1",""
"6","イエロー","2020-02-15 15:00:00","6","1",""
"7","グリーン","2020-02-15 15:00:00","7","1",""
"8","ライトブルー","2020-02-15 15:00:00","8","1",""
"9","ブルー","2020-02-15 15:00:00","9","1",""
"10","パープル","2020-02-15 15:00:00","10","1",""
"11","グレー","2020-02-15 15:00:00","11","1",""
