f37bb65ac5fc8a34601d7ac9f68b0181e10ed80a4bbcc3872cdd8b95f2a24fc3,ba80321b7364c8fcab47e55f03af1fcbc044f19215797bf88409a6f7775c10b7,94b544d4189f3d1a5da1816322b5bd2c91715175e4fdba9f4d229e5ae45dec72,dc23fe98f25b5b82a6b93d30ea8f8399d29ea4a99bddc4f1da2782197723c873,59e471f59e1768637098f9e4486993e60bbddd101950c8743fcab3781aad40a6,ea496d84d37138664b8ed1a8f024cd613cd3bdc2c5913ef664bb76c549b75fca,314de46196a7574d1344b47c84480d845220538dcec57232a961f02725b4b091,50dc96c80b0ea08ac45621ef5135c1d6114ee7343baf92485012d70379002390,517bdcad057e0ed3930f71d5b824266c3eee0c7666a746e3efe97817955c8744,f8464eb7044414d9ae854b5e13364eb4e67a878fbd57f9c374922b643810cd4d,969ad9e16c203038e799f18293249c26ab0c32907cfbf543b85835ed01112c8a
"5128071","0","二人だけの時間","10128","0","10128107","91002","0","2","25","8"
"5128072","5128071","新居の必須条件","10128","0","0","91002","0","2","25","8"
"5128073","5128072","本当は誰よりも","10128","0","0","91002","0","2","25","8"
"5128074","5128073","家族で大切に\nしたいこと","10128","0","0","91002","0","2","25","8"
"5128075","5128074","誓いの言葉","10128","0","0","91002","0","2","50","8"
"5128081","0","血の婚約報告","10128","0","10128107","91002","0","3","25","8"
"5128082","5128081","風来人の家探し","10128","0","0","91002","0","3","25","8"
"5128083","5128082","愛おしい時間","10128","0","0","91002","0","3","25","8"
"5128084","5128083","トーゴクの\n家族文化","10128","0","0","91002","0","3","25","8"
"5128085","5128084","飾らない愛を","10128","0","0","91002","0","3","50","8"
"5128091","5128075","口約束は災いのもと","10128","0","0","0","5128085","4","0","0"
"5128092","5128091","譲れない家庭の味","10128","11001271","0","0","0","4","0","0"
"5128161","0","夢の語り部に誘われて","10128","0","10128107","0","0","1","0","0"
