1314705e54d64d7dfd3b654fe46162c408a63fbd9f011c26e0ecbe698c02421f,3472eb405b6ae787b8a44a3f514bdcec88974b9a63413f3b70e34399f90101a1,7bf34d4899b5f2f7a520d1cff1d31b49ef276cc4dd22c8229fcf6131cde6f52f,8797cd88a9e11b5d8bb35ceade7b2d4468b452675d1768780c85effdaf18025d,b5849fd99c24d940a53137d5ed186b945b2542767b75515ca2872206f88cd8c0,bbabdb0085218f46693e3ec6f60f4b8a0dce2d5f25c06d138f12e97bede81b73
"550101101","550101105","550101103","74001101","550101104","550101102"
"550101201","550101205","550101203","74001102","550101204","550101202"
"550101301","550101305","550101303","74001103","550101304","550101302"
"550101401","550101405","550101403","74001104","550101404","550101402"
"550101501","550101505","550101503","74001105","550101504","550101502"
"550101106","550101110","550101108","74001201","550101109","550101107"
"550101206","550101210","550101208","74001202","550101209","550101207"
"550101306","550101310","550101308","74001203","550101309","550101307"
"550101406","550101410","550101408","74001204","550101409","550101407"
"550101506","550101510","550101508","74001205","550101509","550101507"
"550101112","0","550101111","74001301","0","550101113"
"550101212","0","550101211","74001302","0","550101213"
"550101312","0","550101311","74001303","0","550101313"
"550101412","0","550101411","74001304","0","550101413"
"550101512","0","550101511","74001305","0","550101513"
"550101115","0","550101116","74001401","0","550101114"
"550101215","0","550101216","74001402","0","550101214"
"550101315","0","550101316","74001403","0","550101314"
"550101415","0","550101416","74001404","0","550101414"
"550101515","0","550101516","74001405","0","550101514"
"550101117","0","0","74001501","0","0"
"550101217","0","0","74001502","0","0"
"550101317","0","0","74001503","0","0"
"550101417","0","0","74001504","0","0"
"550101517","0","0","74001505","0","0"
"550101999","0","0","74001999","0","0"
"550102101","550102105","550102103","74002101","550102104","550102102"
"550102201","550102205","550102203","74002102","550102204","550102202"
"550102301","550102305","550102303","74002103","550102304","550102302"
"550102401","550102405","550102403","74002104","550102404","550102402"
"550102501","550102505","550102503","74002105","550102504","550102502"
"550102106","550102110","550102108","74002201","550102109","550102107"
"550102206","550102210","550102208","74002202","550102209","550102207"
"550102306","550102310","550102308","74002203","550102309","550102307"
"550102406","550102410","550102408","74002204","550102409","550102407"
"550102506","550102510","550102508","74002205","550102509","550102507"
"550102112","0","550102111","74002301","0","550102113"
"550102212","0","550102211","74002302","0","550102213"
"550102312","0","550102311","74002303","0","550102313"
"550102412","0","550102411","74002304","0","550102413"
"550102512","0","550102511","74002305","0","550102513"
"550102115","0","550102116","74002401","0","550102114"
"550102215","0","550102216","74002402","0","550102214"
"550102315","0","550102316","74002403","0","550102314"
"550102415","0","550102416","74002404","0","550102414"
"550102515","0","550102516","74002405","0","550102514"
"550102117","0","0","74002501","0","0"
"550102217","0","0","74002502","0","0"
"550102317","0","0","74002503","0","0"
"550102417","0","0","74002504","0","0"
"550102517","0","0","74002505","0","0"
"550103101","0","550103104","74003101","550103102","550103103"
"550103201","0","550103204","74003102","550103202","550103203"
"550103301","550103305","550103304","74003103","550103302","550103303"
"550103401","550103405","550103404","74003104","550103402","550103403"
"550103501","550103505","550103504","74003105","550103502","550103503"
"550103105","0","550103107","74003201","550103108","550103106"
"550103205","550103209","550103207","74003202","550103208","550103206"
"550103306","550103310","550103308","74003203","550103309","550103307"
"550103406","550103410","550103408","74003204","550103409","550103407"
"550103506","550103510","550103508","74003205","550103509","550103507"
"550103109","0","550103111","74003301","550103112","550103110"
"550103210","550103214","550103212","74003302","550103213","550103211"
"550103311","550103315","550103313","74003303","550103314","550103312"
"550103411","550103415","550103413","74003304","550103414","550103412"
"550103511","550103515","550103513","74003305","550103514","550103512"
"550103113","0","0","74003401","0","0"
"550103215","0","0","74003402","0","0"
"550103316","0","0","74003403","0","0"
"550103416","0","0","74003404","0","0"
"550103516","0","0","74003405","0","0"
"550103114","0","0","74003501","0","0"
"550103216","0","0","74003502","0","0"
"550103317","0","0","74003503","0","0"
"550103417","0","0","74003504","0","550103421"
"550103522","0","550103521","74003505","0","550103517"
"550104101","0","550104103","74004101","550104104","550104102"
"550104201","0","550104203","74004102","550104204","550104202"
"550104301","550104305","550104303","74004103","550104304","550104302"
"550104401","550104405","550104403","74004104","550104404","550104402"
"550104501","550104505","550104503","74004105","550104504","550104502"
"550104105","0","550104107","74004201","550104108","550104106"
"550104205","550104209","550104207","74004202","550104208","550104206"
"550104306","550104310","550104308","74004203","550104309","550104307"
"550104406","550104410","550104408","74004204","550104409","550104407"
"550104506","550104510","550104508","74004205","550104509","550104507"
"550104109","0","550104112","74004301","550104111","550104110"
"550104210","550104214","550104213","74004302","550104212","550104211"
"550104311","550104315","550104314","74004303","550104313","550104312"
"550104411","550104415","550104414","74004304","550104413","550104412"
"550104511","550104515","550104514","74004305","550104513","550104512"
