fb342d3a26178c10eedd6a250398037d32b692b1de780b915629b6c89ebc41c2,c0a93961a5e939a3317c5895af279c949507e208876f2a616cc2295ab8f2572e,ccd8c0d53640d2e6fee4c6aefdcd2903c6b178fc824ab826d1f380625e498553,4560767ee318dcd70ab07c665d4242ab479485c44f876175528d070ac7d2d19c,bd02a43be8f6e343ec2403a528abc434364397fff1a2986e69777ce685935a6a,84c754a7a8b0fb3ef7586297a99fb6b435f7ca845c2543f8505e78d1fd832924,a138e75c6c0d22b73bdd4196e4529ebd186589fcb7bb4f3ed771f73bb91a9f33,a558fbe5a8204d46f76b4fa2c0d0f05482a0995fde953de33e1532373d0fa608
"5","2","3","4","1","48","1","111"
"5","2","3","4","1","96","1","121"
"5","2","3","4","1","144","1","131"
"5","2","3","4","1","192","1","141"
"5","2","3","4","1","240","1","151"
"0","0","0","0","1","84","2","211"
"0","0","0","0","1","168","2","221"
"0","0","0","0","1","252","2","231"
"0","0","0","0","1","336","2","241"
"0","0","0","0","1","420","2","251"
"0","0","0","0","3","36","5","311"
"0","0","0","0","3","72","5","321"
"0","0","0","0","3","108","5","331"
"0","0","0","0","3","144","5","341"
"0","0","0","0","3","180","5","351"
"0","0","0","0","4","84","4","411"
"0","0","0","0","4","168","4","421"
"0","0","0","0","4","252","4","431"
"0","0","0","0","4","336","4","441"
"0","0","0","0","4","420","4","451"
"0","0","0","0","2","84","4","511"
"0","0","0","0","2","168","4","521"
"0","0","0","0","2","252","4","531"
"0","0","0","0","2","336","4","541"
"0","0","0","0","2","420","4","551"
"0","0","0","0","4","84","2","611"
"0","0","0","0","4","168","2","621"
"0","0","0","0","4","252","2","631"
"0","0","0","0","4","336","2","641"
"0","0","0","0","4","420","2","651"
"0","0","0","0","5","56","1","711"
"0","0","0","0","5","112","1","721"
"0","0","0","0","5","168","1","731"
"0","0","0","0","5","224","1","741"
"0","0","0","0","5","280","1","751"
"0","0","0","0","2","1","101","811"
"0","0","0","0","3","84","2","911"
"0","0","0","0","3","168","2","921"
"0","0","0","0","3","252","2","931"
"0","0","0","0","3","336","2","941"
"0","0","0","0","3","420","2","951"
"0","0","0","0","1","1","101","1011"
"0","0","0","0","2","36","5","1111"
"0","0","0","0","2","72","5","1121"
"0","0","0","0","2","108","5","1131"
"0","0","0","0","2","144","5","1141"
"0","0","0","0","2","180","5","1151"
"0","0","0","0","5","84","4","1211"
"0","0","0","0","5","168","4","1221"
"0","0","0","0","5","252","4","1231"
"0","0","0","0","5","336","4","1241"
"0","0","0","0","5","420","4","1251"
"0","0","0","0","1","86","2","1311"
"0","0","0","0","1","172","2","1321"
"0","0","0","0","1","258","2","1331"
"0","0","0","0","1","344","2","1341"
"0","0","0","0","1","430","2","1351"
"0","0","0","0","3","44","1","1411"
"0","0","0","0","3","88","1","1421"
"0","0","0","0","3","132","1","1431"
"0","0","0","0","3","176","1","1441"
"0","0","0","0","3","220","1","1451"
"0","0","0","0","4","36","5","1511"
"0","0","0","0","4","72","5","1521"
"0","0","0","0","4","108","5","1531"
"0","0","0","0","4","144","5","1541"
"0","0","0","0","4","180","5","1551"
"0","0","0","0","5","1","101","1611"
"0","0","0","0","2","1","100","1711"
"0","0","0","0","3","84","4","1811"
"0","0","0","0","3","168","4","1821"
"0","0","0","0","3","252","4","1831"
"0","0","0","0","3","336","4","1841"
"0","0","0","0","3","420","4","1851"
"0","0","0","0","4","36","3","1911"
"0","0","0","0","4","72","3","1921"
"0","0","0","0","4","108","3","1931"
"0","0","0","0","4","144","3","1941"
"0","0","0","0","4","180","3","1951"
"0","0","0","0","1","84","4","2011"
"0","0","0","0","1","168","4","2021"
"0","0","0","0","1","252","4","2031"
"0","0","0","0","1","336","4","2041"
"0","0","0","0","1","420","4","2051"
"0","0","0","0","3","1","100","2111"
"0","0","0","0","5","84","2","2211"
"0","0","0","0","5","168","2","2221"
"0","0","0","0","5","252","2","2231"
"0","0","0","0","5","336","2","2241"
"0","0","0","0","5","420","2","2251"
"0","0","0","0","1","44","1","2311"
"0","0","0","0","1","88","1","2321"
"0","0","0","0","1","132","1","2331"
"0","0","0","0","1","176","1","2341"
"0","0","0","0","1","220","1","2351"
"0","0","0","0","2","84","2","2411"
"0","0","0","0","2","168","2","2421"
"0","0","0","0","2","252","2","2431"
"0","0","0","0","2","336","2","2441"
"0","0","0","0","2","420","2","2451"
"0","0","0","0","5","86","4","2511"
"0","0","0","0","5","172","4","2521"
"0","0","0","0","5","258","4","2531"
"0","0","0","0","5","344","4","2541"
"0","0","0","0","5","430","4","2551"
"5","2","3","4","1","1","100","2611"
"5","2","3","4","1","2","100","2621"
"5","2","3","4","1","3","100","2631"
"0","0","0","0","1","36","3","2711"
"0","0","0","0","1","72","3","2721"
"0","0","0","0","1","108","3","2731"
"0","0","0","0","1","144","3","2741"
"0","0","0","0","1","180","3","2751"
"0","0","0","0","4","86","4","2811"
"0","0","0","0","4","172","4","2821"
"0","0","0","0","4","258","4","2831"
"0","0","0","0","4","344","4","2841"
"0","0","0","0","4","430","4","2851"
"0","0","0","0","5","10","7","2911"
"0","0","0","0","5","20","7","2921"
"0","0","0","0","5","30","7","2931"
"0","0","0","0","5","40","7","2941"
"0","0","0","0","5","50","7","2951"
"0","0","0","0","2","36","3","3011"
"0","0","0","0","2","72","3","3021"
"0","0","0","0","2","108","3","3031"
