fe39e22941af5cd5ff43b863e11baca36edee6a91c9df6012132707bd05c3d02,3b11cbbd5a463ad00a6d609a0dbe6d88490f6c885ea04e300964066c1e70c6fa,f98861d637d852925613bd749213be3189fceb5da2920fcf7a5e2ebcec8c2c04,aadc0dad56b55c259057ae01d67aaf3aab17397745d76959d465e2f13e78cdd2,7b73a18246570c96a5fc6f60ab42eb7de45c48ad5abb4b881c2903797bb14533,0cb7b9af17dc0210d6ccffa78fd097a519212e9a882504a5d9d98b5f0f18e206,c6761aaf47cbb4cf5742dee72e93d422a0a1c79b11537cc1c9d9563b3ecf37dd
"ツムギのフィギュア","0.478515625","1","10101","細かいディテールにこだわった躍動感あふれる至高のツムギフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","3","0.3046875"
"ノゾミのフィギュア","0.490234375","1","10102","細かいディテールにこだわった躍動感あふれる至高のノゾミフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","3","0.365234375"
"チカのフィギュア","0.478515625","1","10103","細かいディテールにこだわった躍動感あふれる至高のチカフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","3","0.291015625"
"ツムギ直筆サイン色紙","0.440625","2","10201","ツムギの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","3","0.440625"
"ノゾミ直筆サイン色紙","0.440625","2","10202","ノゾミの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","3","0.440625"
"チカ直筆サイン色紙","0.440625","2","10203","チカの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","3","0.440625"
"ツムギのメモリアルピンバッジ","1.40625","3","10301","ツムギのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","3","1.40625"
"ノゾミのメモリアルピンバッジ","1.40625","3","10302","ノゾミのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","3","1.40625"
"チカのメモリアルピンバッジ","1.40625","3","10303","チカのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","3","1.40625"
"カルミナメモリアルピンバッジ","1.40625","3","10304","サマーライブ開催を記念し作られた限定メモリアルピンバッジ。\nエンブレムが刻印された高級感のある珠玉の一品。各メンバーの\nバッジと一緒にそろえよう！","3","1.40625"
"ツムギのブロマイド","0.675","7","10401","ツムギのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ツムギへの熱い思いがいっそう高まること間違いなし。","2","1.0875"
"ツムギのサマーブロマイド","0.675","7","10402","ツムギのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","2","1.0875"
"ツムギのハロウィンブロマイド","0.675","7","10403","ツムギのハロウィン衣装のブロマイドセット。ハロウィンの時しか\n見られない貴重なショットの数々。甘いお菓子と悪戯、どっちも\n魅力的。ハッピーハロウィン！","2","1.0875"
"ノゾミのブロマイド","0.675","7","10404","ノゾミのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ノゾミへの熱い思いがいっそう高まること間違いなし。","2","1.0875"
"ノゾミのサマーブロマイド","0.675","7","10405","ノゾミのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","2","1.0875"
"ノゾミのクリスマスブロマイド","0.675","7","10406","ノゾミのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","2","1.0875"
"チカのブロマイド","0.675","7","10407","チカのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、チカへの熱い思いがいっそう高まること間違いなし。","2","1.0875"
"チカのサマーブロマイド","0.675","7","10408","チカのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","2","1.0875"
"チカのクリスマスブロマイド","0.675","7","10409","チカのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","2","1.0875"
"ツムギのリストバンド","1.0125","8","10501","ツムギのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","3","0.665625"
"ノゾミのリストバンド","1.0125","8","10502","ノゾミのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","3","0.665625"
"チカのリストバンド","1.0125","8","10503","チカのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","3","0.665625"
"ツムギのポスター","0.470703125","10","10601","ツムギの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","3","0.365234375"
"ノゾミのポスター","0.470703125","10","10602","ノゾミの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","3","0.365234375"
"チカのポスター","0.470703125","11","10603","チカの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","3","0.365234375"
"カルミナのポスター","0.470703125","11","10604","メンバー３人が写った大迫力の大型ポスター。部屋に貼っておけば\nおはようからおやすみまで、いつでも彼女たちの笑顔に会える。\n今日も明日も頑張ろう！","3","0.365234375"
"会場限定会員カード","0.53125","8","10701","イベント会場でのみ入手できるサマーライブ限定デザインの会員\nカード。会場でしか手に入らないためプレミア度高め。真のファン\nならぜひともゲットしたい。","3","0.953125"
"ツムギのマフラータオル","0.4609375","12","10801","ツムギのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","2","0.443359375"
"ノゾミのマフラータオル","0.4609375","12","10802","ノゾミのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","2","0.443359375"
"チカのマフラータオル","0.4609375","13","10803","チカのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","2","0.443359375"
"カルミナのマフラータオル","0.4609375","13","10804","カルミナのサマーライブデザインのマフラータオル。汎用性の高い\n定番アイテム。ライブの汗で濡れた肌を拭くことはもちろん、応援\nグッズとして使うことも可能。","2","0.443359375"
"ツムギの応援うちわ","0.459375","9","10901","ツムギの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","1","0.33046875"
"ノゾミの応援うちわ","0.459375","9","10902","ノゾミの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","1","0.33046875"
"チカの応援うちわ","0.459375","9","10903","チカの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","1","0.33046875"
"カルミナの応援うちわ","0.459375","9","10904","カルミナの公式応援うちわ。シンプルなデザインのため、普段使い\nにも最適な一品。いつでもどこでも彼女たちを応援できるぞ。","1","0.33046875"
"ツムギのステッカー","0.8671875","5","11001","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","1","0.671875"
"ノゾミのステッカー","0.8671875","5","11002","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","1","0.671875"
"チカのステッカー","0.8671875","5","11003","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","1","0.671875"
"ツムギの缶バッジ","0.975","5","11101","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","1","0.975"
"ノゾミの缶バッジ","0.975","5","11102","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","1","0.975"
"チカの缶バッジ","0.975","5","11103","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","1","0.975"
"カルミナライブのペンライト","0.49609375","9","11201","ライブで一緒に盛り上がるための必携アイテム。いろんな色に切り\n替えができ、場面や曲で使い分けることが可能。カラフルにライブ\nを盛り上げよう。","2","0.39453125"
