da26b31d463dfa6c3dbb7fb113c7c9f611e51a89cc880b74f8b05976db4aec5f,d2059497af640a8de6a2a6af33097c0daf06a026f17f2e7a8321210429f0e89b,3e0bc47fdec953985993456e155173e7877b26aa682f0641f6281da46e00844d,8ef197cd5d7b7062542cb6595331de99573f60566c1268dd1b17363268f1914a,1aafed48959fe5e904bfc9dc0d5d5602f03b42f662ade336a9cedc9468107fcf,d3e6921b5155deef2865bde150b6db7712c824cef7fd82fe15d68760f6281a73,3d593ad9ecbdb927b426de8ba0b10029d794be0546adf84ebddfad8c4aab7219
"50","0","0","9999999","1","50","1"
"20","0","0","9999999","2","80","2"
"70","0","0","2000","3","30","3"
"30","0","30","5000","4","40","3"
"0","20","40","10000","5","40","3"
"0","30","40","15000","6","30","3"
"0","35","40","20000","7","25","3"
"0","40","40","25000","8","20","3"
"0","45","40","30000","9","15","3"
"0","50","40","35000","10","10","3"
"0","55","35","40000","11","10","3"
"0","60","35","45000","12","5","3"
"0","65","30","50000","13","5","3"
"0","70","30","55000","14","0","3"
"0","75","25","60000","15","0","3"
"0","80","20","65000","16","0","3"
"0","85","15","70000","17","0","3"
"0","90","10","75000","18","0","3"
"0","95","5","80000","19","0","3"
"0","100","0","9999999","20","0","3"
