75cc434ead8431b7b6c96ad2b219c248933c931b63867b3ea60ea5280be2e873,3cb8c70f1a88a3cfb092a49d5a1944b8dbbeda8373b58963a1cf47ba99fa3184,c9b7b656a86afd4b9ed6532ebf0cbef9912a2be06af755b4cb3f2cb10718c310,aeca62ddcaba01f4a7f45e1fb26849d31300b3fe29b8759fe08f0be0b8e88b2a,c9d3ccb970b02a3f016846f1e1745fe7923810f3722557aa9c050a0f5b829ae7
"片手剣","red","101","90009","#D23232"
"両手剣","red","102","90009","#D23232"
"短剣","red","103","90009","#D23232"
"槍","red","104","90009","#D23232"
"斧","red","105","90009","#D23232"
"弓","red","106","90009","#D23232"
"拳","red","107","90009","#D23232"
"盾","red","108","90009","#D23232"
"杖","red","109","90009","#D23232"
"本","red","110","90009","#D23232"
"服","blue","201","90010","#476FD8"
"鎧","blue","202","90010","#476FD8"
"白ローブ","blue","203","90010","#476FD8"
"黒ローブ","blue","204","90010","#476FD8"
"指輪","yellow","301","90011","#E5681E"
"腕輪","yellow","302","90011","#E5681E"
"ネックレス","yellow","303","90011","#E5681E"
"宝珠","yellow","304","90011","#E5681E"
"イヤリング","yellow","305","90011","#E5681E"
