2f0c9702c5d57efef61e931199f55d6310537fbc1805a16bbbe2327e6fc5d300,55f9ed443a8e7581d068d5ae1440fb95d0346cf15a0a3fbe9473c1bea4ae58bb,4593d58c3a4647284d43732e7f910b5fb57f2a8f3967afd0ea3fdb7173411d69,61b2e544bd17bc0092988b65566a9828c1c09533d8e85c020fd79745c0ce2269,79318e3720ba9c33ac71e1da0e87b08b79e631ea6fccdc7d65125755374769f9,e0252d7cd64d2467d8865d2c1a0b3d37867a3800b3662422a3dbb50231c7d011,2fadba5a6ccfa82dacad3184ae66b3404978ce83377df33b604be7bd6f8a63e2
"4","0","10064","0","開会式","20036104","1006401"
"3","0","10064","0","開会式","20036104","1006402"
"1","1006402","10064","0","徒競走","20036104","1006403"
"4","1006402","10064","0","徒競走","20036104","1006404"
"2","1006402","10064","0","徒競走","20036104","1006405"
"2","1006405","10064","0","騎馬戦","20036104","1006406"
"4","1006405","10064","0","騎馬戦","20036104","1006407"
"3","1006406","10064","0","昼休憩","20036106","1006408"
"4","1006406","10064","0","昼休憩","20036106","1006409"
"3","1006408","10064","0","学術文化出展各種","20036106","1006410"
"4","1006408","10064","0","学術文化出展各種","20036106","1006411"
"1","1006408","10064","0","学術文化出展各種","20036106","1006412"
"4","1006410","10064","0","侍女風給仕喫茶","20036108","1006413"
"3","1006410","10064","0","侍女風給仕喫茶","20036108","1006414"
"3","1006414","10064","0","総合リレー","20036113","1006415"
"4","1006414","10064","0","総合リレー","20036113","1006416"
"1","1006415","10064","2003601","セレモニーステージ","0","1006417"
"4","1006415","10064","2003601","セレモニーステージ","0","1006418"
"2","1006415","10064","2003601","セレモニーステージ","0","1006419"
"3","1006419","10064","2003601","閉会式","0","1006420"
"4","1006419","10064","2003601","閉会式","0","1006421"
"4","1006420","10064","2003601","コンプリート演出","0","1006422"
