ab21ebf12d6512005ccd14bac97109e846674f5686033ca755ba8c3095631a0c,3201e39edf12788a6d8543499a50b030a021c4180c86b6690606a914dd17143f,7288deccea4949c4ccb3387517712a978147c0818fb1d827169a6963626a362d,a0754d1a6e8df4875faae24597dff74ab91cb466dc450b6d1219bfff7476bc14,0a59146a4f680aebe602f52deee73a3a5c4db58409bbc6c921553d14184c3ec1,78574c3681722bb1db02bbf8e10f37908abb0e32c8c7d5fa9487abbc75256dfb,77cf3514cab6d6c85a58ae01e7024598286af8605cedd55a1da74c053a70f15d,7497056f3dcca7224260e2d0e5fc254bf5b2b6e4067a7d9d56a37172e7ae113b,20761242ff76d1ce0bfae5707b7626c9efbb9830544476978e5936b0ce339111,57917dccc8f044ff0c379c7fc6cf2e82bc3bd89d7f123c7ee6d0feac20423c6a,554daa1b59ad60b8dc82a634745db48e13bfea97075e41a76c3f851074aca14f,102c2f7ae133e4a5098fe931b0e0fc4eecaeb15320f257adf725768bcfd08f46,6cccc86ab2ac3fc5cc819b31b3a24dec07d370ed03568d2e2995502c90549dd6
"いぬ","0","1","ぶた","1","0","0","0","0","0","おおかみ","3110001","いのしし"
"四","0","1","三","1","0","0","0","0","0","一","3110002","二"
"七","0","1","八","1","0","0","0","0","1","十","3110003","九"
"也","0","1","亭","1","0","0","0","0","0","花","3110004","要"
"もぐもぐ","0","1","がつがつ","1","0","0","0","0","0","めそめそ","3110006","ぱかぱか"
"批判をする","0","1","針で縫う","1","0","0","0","0","0","犬の鳴き声","3110007","ものがへこむ"
"口","0","0","木","1","0","0","0","0","1","田","3110009","十"
"よって","0","1","それで","1","0","0","0","0","0","しかし","3110010","だが"
"身長が伸びる","0","1","身長をはかる","1","0","0","0","0","0","服を身長する","3110011","身長な行動"
"自信（じしん）","0","1","地面（じめん）","1","0","0","0","0","0","身近（みじか）","3110012","鼻血（はなじ）"
"さ","0","1","た","1","0","0","0","0","0","ま","3110013","ば"
"火","0","1","月","1","0","0","0","0","0","土","3110015","金"
"クイーン","0","1","ブレイド","1","0","0","0","0","0","プリンセス","3111001","ストライク"
"エクスプロージョン","0","1","アタック","1","0","0","0","0","0","ヒール","3111002","オール"
"J","0","1","H","0","0","0","0","1","0","F","3120001","G"
"ふじん","0","1","ふさい","1","0","0","0","0","0","ふうふ","3120002","めおと"
"酒","0","1","講","1","0","0","0","0","1","無","3120006","礼"
"四","0","1","山","1","0","0","0","0","1","天","3120007","王"
"想","0","1","事","1","0","0","0","0","1","絵","3120008","空"
"カボチャ","0","1","アスパラガス","1","0","0","0","0","0","ナス","3120010","トマト"
"夏","0","1","春","0","0","0","0","1","1","新年","3120011","盆"
"南","0","1","東","1","0","0","0","0","0","瓜","3120012","西"
"鬼に金棒","0","1","馬の耳に念仏","1","0","0","0","0","1","猫に小判","3120013","豚に真珠"
"全","0","1","傍","0","0","0","0","0","1","自","3120014","半"
"ろす","0","0","がる","1","0","0","0","1","1","しい","3120015","る"
"なさる","0","1","申し上げる","0","0","0","0","0","1","存じ上げる","3120016","いらっしゃる"
"クソ眼鏡","0","1","クソエルフ","1","0","0","0","0","0","ロリババア","3121001","クソ猫"
"アヴァロン","0","1","ミラー","1","0","0","0","0","0","オブジェクト","3121002","クリエイション"
"倍","0","1","暗","1","0","0","0","0","0","塩","3130001","梅"
"冬","0","1","秋","0","0","0","0","1","1","春","3130002","夏"
"良妻嫌母","0","1","五里夢中","1","0","0","0","0","0","前代未聞","3130004","四面楚歌"
"一期一得","0","1","自我自賛","1","0","0","0","0","0","無我夢中","3130005","公明正大"
"単刀直入","0","1","危機一発","1","0","0","0","0","1","怪刀乱麻","3130006","山止水明"
"興味深々","0","1","意気消沈","1","0","0","0","0","1","以心伝心","3130007","三位一体"
"温","0","1","仁","1","0","0","0","0","1","朴","3130010","念"
"独","0","1","場","1","0","0","0","0","1","土","3130011","壇"
"雑","0","1","多","1","0","0","0","0","1","我","3130013","楽"
"ただみ","0","1","りちぎ","1","0","0","0","0","0","ちゅうじつ","3130014","まめ"
"たまねぎ","0","1","たけのこ","1","0","0","0","0","0","わかめ","3130016","もずく"
"冥空","0","1","戦記","1","0","0","0","0","0","煉獄","3131001","血盟"
"妄想","0","1","トリップ","1","0","0","0","0","0","エクスタシー","3131002","トランス"
"ダイコン","0","1","キュウリ","1","0","0","0","0","1","トマト","3210001","ナス"
"心臓","0","1","肝臓","1","0","0","0","0","0","肺","3210002","腎臓"
"消火器","0","1","循環器","1","0","0","0","0","1","呼吸器","3210003","排出器"
"イソギンチャク","0","1","ナマコ","1","0","0","0","0","0","イカ","3210005","タコ"
"ナマケモノ","0","1","イノシシ","1","0","0","0","0","0","カンガルー","3210006","コアラ"
"がんがんむし","0","1","モイモイ","1","0","0","0","0","0","マイマイ","3210008","でんでんむし"
"モンアカチョウ","0","1","モンアオチョウ","1","0","0","0","0","0","モンキチョウ","3210009","モンシロチョウ"
"親指","0","1","人差し指","1","0","0","0","0","0","小指","3210010","中指"
"D型","0","1","C型","1","0","0","0","0","0","A型","3210011","B型"
"エビ","0","1","ヤドカリ","1","0","0","0","0","0","アサリ","3210013","ハマグリ"
"オオカミ","0","1","ライオン","1","0","0","0","0","0","ウサギ","3210014","ウマ"
"コアラ","0","1","クマ","1","0","0","0","0","0","サイ","3210015","シカ"
"サレン","0","1","ミソギ","1","0","0","0","0","0","スズナ","3211001","ハツネ"
"ミフユ","0","1","イノリ","1","0","0","0","0","1","ホマレ","3211002","カヤ"
"アメンボ","0","1","アリ","1","0","0","0","0","0","ムカデ","3220001","クモ"
"ヒト","0","1","カエル","1","0","0","0","0","0","バッタ","3220002","ミミズ"
"チョウチンアンコウ","0","1","トビウオ","1","0","0","0","0","0","カワハギ","3220003","メバル"
"メダカ","0","1","キンギョ","1","0","0","0","0","0","グッピー","3220006","ベタ"
"タンポポ","0","1","ヒマワリ","1","0","0","0","0","0","チューリップ","3220007","ヒヤシンス"
"ジンベエ","0","1","シロナガス","1","0","0","0","0","1","セミ","3220009","マッコウ"
"オコジョ","0","1","ツキノワグマ","1","0","0","0","0","0","トキ","3220011","タンチョウ"
"リンゴ","0","1","イチゴ","1","0","0","0","0","1","スイカ","3220012","メロン"
"酸素","0","1","二酸化炭素","1","0","0","0","0","1","水","3220013","光"
"クツワムシ","0","1","ボルボックス","1","0","0","0","0","1","アオミドロ","3220014","ミジンコ"
"ソマリ","0","1","シーズー","1","0","0","0","0","1","チワワ","3220015","パグ"
"ミドリムシ","0","1","フナムシ","1","0","0","0","0","0","アオムシ","3220016","イモムシ"
"キョウカ","0","1","ユカリ","1","0","0","0","0","0","モニカ","3221001","ミミ"
"ハツネ","0","1","モニカ","1","0","0","0","0","1","トモ","3221002","シオリ"
"獅子","0","1","ねずみ","1","0","0","0","0","0","牛","3230001","羊"
"トラ","0","0","ライオン","1","0","0","0","1","1","ウミネコ","3230004","ヤマネコ"
"神経質","0","1","セメント質","1","0","0","0","0","1","象牙質","3230005","エナメル質"
"エトピリカ","0","1","オオルリ","1","0","0","0","0","1","コマドリ","3230006","ウグイス"
"ロゼッタ咲き","0","1","一重咲き","1","0","0","0","0","1","アネモネ咲き","3230007","カクタス咲き"
"ニホンザル","0","1","イルカ","1","0","0","0","0","0","ワニ","3230008","サンショウウオ"
"ミミズク","0","1","コンドル","1","0","0","0","0","0","モモンガ","3230010","コウモリ"
"ダチョウ","0","1","ペンギン","1","0","0","0","0","0","ムササビ","3230011","イルカ"
"カタツムリ","0","0","コウモリ","1","0","0","0","1","1","ヤモリ","3230012","イモリ"
"シリ","0","1","ハラ","1","0","0","0","0","1","アタマ","3230013","ムネ"
"スズメ","0","1","マナヅル","1","0","0","0","0","1","ツバメ","3230014","オオハクチョウ"
"ヒト","0","1","コウモリ","1","0","0","0","0","0","ヘビ","3230016","カメ"
"キャル","0","1","ペコリーヌ","1","0","0","0","0","0","コッコロ","3231001","シェフィ"
"ラビリスタ","0","1","ホマレ","1","0","0","0","0","1","コッコロ","3231002","レイ"
"3","0","1","1","1","0","0","0","0","0","2","3310001","4"
"金","0","1","銅","1","0","0","0","0","0","銀","3310003","アルミニウム"
"ファラッド","0","1","インチ","1","0","0","0","0","1","メートル","3310005","尺"
"ヒロイン","0","1","タンジェント","1","0","0","0","0","1","サイン","3310006","コサイン"
"おうぎ形","0","1","長方形","1","0","0","0","0","1","正方形","3310007","ひし形"
"112","0","1","827","1","0","0","0","0","0","405","3310008","215"
"A","0","1","D","1","0","0","0","0","1","L","3310009","E"
"銀","0","0","金","1","0","0","0","1","1","鉄","3310010","アルミニウム"
"硝酸","0","1","蒸留水","1","0","0","0","0","0","石けん水","3310012","水酸化ナトリウム水溶液"
"桃","0","1","緑","1","0","0","0","0","1","赤","3310013","藍"
"3","0","1","4","1","0","0","0","0","0","6","3310014","5"
"12:8","0","1","15:9","0","0","0","0","0","1","10:6","3310015","4:1"
"キャッスル・オブ・パルフェ","0","1","ランドソル","1","0","0","0","0","1","ソルの塔","3311001","オーマ"
"オーマ","0","1","ソルの塔","1","0","0","0","0","0","ふぁんふぁんファーム","3311002","キャッスル・オブ・パルフェ"
"じょろうぐも","0","1","うろこぐも","1","0","0","0","0","1","いわしぐも","3320001","にゅうどうぐも"
"アンタレス","0","1","ベガ","1","0","0","0","0","1","デネブ","3320002","アルタイル"
"交点","0","1","作用点","1","0","0","0","0","1","支点","3320003","力点"
"反射","0","1","放射","1","0","0","0","0","1","伝導","3320004","対流"
"1111","0","1","111111","0","0","0","0","0","1","111","3320005","11111"
"黄","0","1","緑","1","0","0","0","0","1","赤","3320007","青"
"冥王星","0","1","海王星","1","0","0","0","0","1","地球","3320008","天王星"
"おおいぬ座","0","1","こいぬ座","1","0","0","0","0","0","はくちょう座","3320010","わし座"
"アンモニア水","0","1","塩水","1","0","0","0","0","0","レモンの果汁","3320011","塩酸"
"二酸化炭素","0","1","酸素","1","0","0","0","0","0","塩素","3320014","臭素"
"ツンとする臭いがある","0","1","水色である","1","0","0","0","0","0","酸素と混ぜて燃やすと音が出る","3320015","最も軽い気体である"
"0","0","1","1","1","0","0","0","0","0","3","3320016","2"
"王宮騎士団","0","1","メルクリウス財団","1","0","0","0","0","0","リトルリリカル","3321001","ルーセント学院"
"保温効果","0","1","美肌効果","1","0","0","0","0","0","清涼効果","3321002","のど・鼻の保湿効果"
"おおやぎ座","0","1","おおぐま座","1","0","0","0","0","1","おおいぬ座","3330001","おおかみ座"
"シリウス","0","1","アルタイル","1","0","0","0","0","0","ベテルギウス","3330002","リゲル"
"閃緑岩","0","1","安山岩","1","0","0","0","0","1","流紋岩","3330003","玄武岩"
"カリウム","0","1","アルミニウム","1","0","0","0","0","0","カルシウム","3330004","マグネシウム"
"化素","0","1","二素","1","0","0","0","0","0","酸素","3330007","炭素"
"6！","0","1","ルート1000","1","0","0","0","0","0","10の2乗","3330010","2×2×5×5"
"112÷7","0","1","2×3×4","1","0","0","0","0","0","4＋5＋6","3330011","ルート225"
"窒素","0","1","酸素","1","0","0","0","0","1","炭素","3330012","水素"
"水酸化ナトリウム","0","1","硫酸","1","0","0","0","0","0","塩酸","3330013","硝酸"
"天気雨","0","1","薄雲","1","0","0","0","0","1","雪","3330014","霧"
"窒素","0","1","ケイ素","1","0","0","0","0","0","フッ素","3330015","塩素"
"オゾン","0","1","フラーレン","1","0","0","0","0","1","黒鉛","3330016","ダイヤモンド"
"イリス樹海","0","1","ケレス森林","1","0","0","0","0","0","カスタリア樹林","3331001","ペテロ大森林"
