5379888c42b3ad11a7690ae61575185f3ffc2349bec8a70bebcdf1ab228d1a22,bc86d48ba9d30b12ae2fc995cd0aab2fbe4575e9385e12f2b2fd30dbd9366a8a,21a87b9329eef07ea6d2c2e88825adbf3dc4d7bb60cd8f4122909cc7fcbb4763,fe42b620f7e415f4b6b13b0f8044c29e29c886f3cb73649f2447a2c732b7569d,50ae0cebe012a3d5e763a48341533575a66da8fbfa453eda7bf3aa43e7ac9f2d,48090eecb571820c38b54963cf9a58020dd7ca2740063c0ce8e525f4d5bfe579,aebd1af6bbb40d5c241dd0f63aecaf37d92cf4dace6aeb4531981887b6336c78
"12","94002","2500","5126700","1","累計スコアを2500pt 獲得しよう","50000"
"12","94002","5000","0","1","累計スコアを5000pt 獲得しよう","50000"
"12","94002","7500","0","1","累計スコアを7500pt 獲得しよう","50000"
"7","2839","10000","5126701","1","累計スコアを10000pt 獲得しよう","1"
"12","94002","12500","0","1","累計スコアを12500pt 獲得しよう","80000"
"12","94002","15000","0","1","累計スコアを15000pt 獲得しよう","80000"
"12","94002","17500","0","1","累計スコアを17500pt 獲得しよう","80000"
"8","91002","20000","5126702","1","累計スコアを20000pt 獲得しよう","25"
"12","94002","22500","0","1","累計スコアを22500pt 獲得しよう","100000"
"12","94002","25000","0","1","累計スコアを25000pt 獲得しよう","100000"
"8","91002","27500","0","1","累計スコアを27500pt 獲得しよう","100"
"15","11001262","30000","5126703","1","累計スコアを30000pt 獲得しよう","1"
"12","94002","2500","5126710","2","累計スコアを2500pt 獲得しよう","50000"
"12","94002","5000","0","2","累計スコアを5000pt 獲得しよう","50000"
"12","94002","7500","0","2","累計スコアを7500pt 獲得しよう","50000"
"7","2840","10000","5126711","2","累計スコアを10000pt 獲得しよう","1"
"12","94002","12500","0","2","累計スコアを12500pt 獲得しよう","80000"
"12","94002","15000","0","2","累計スコアを15000pt 獲得しよう","80000"
"12","94002","17500","0","2","累計スコアを17500pt 獲得しよう","80000"
"8","91002","20000","5126712","2","累計スコアを20000pt 獲得しよう","25"
"12","94002","22500","0","2","累計スコアを22500pt 獲得しよう","100000"
"12","94002","25000","0","2","累計スコアを25000pt 獲得しよう","100000"
"8","91002","27500","0","2","累計スコアを27500pt 獲得しよう","100"
"15","11001263","30000","5126713","2","累計スコアを30000pt 獲得しよう","1"
