8680c04f1e84c59c54c2adf1419beae71c6e665faab8429906242d6c04f93c4c,a7b642972dd934def9b4dbf918559d9d76585ab3618de8be04fdca8cacc674ea,dcac4327de9251535dfa41a90bd12a8c830f6222a8261546a381b74dce5e64ed,152d442538e2dd1bc630c752e473f44268d561b7eecdb6fba7da1a81056e8b01,0359b2086656fc770130097a5c9ef9aaa37189a68340ffc832da9a2fdc543a36,d5f4d7858577a259acceddd0f31ae84f1794fff2bb9a033ab2045d638d2f2713,8db46f1ed29f84d0b0da523924c88bd027dd1944c2d912be57906f5f96f39954,c89efc986537e69144cb5fb4d91557e1e1dc941db0f6af730336834da655b7eb,f9845a611d62d563b6756793c3f9e8661148ff662797ab7337aa558ed0937bb6,a6905d729f831afc82a46618cb9a1bb99597a424e2e216500db2041005e1b6a0,562cf272e88bb12ae984bc09638b4a6dbef7deb4654f53b7ddf5a171bea5fac7
"1.3","1010001","-496","-157","01_uek_cmn_idol_def_N","1","1","100","0","105831","1"
"1.3","1010002","-355","-178","01_uek_cmn_idol_def_N","1","1","110","0","105931","1"
"1.3","1010003","410","-124","01_uek_cmn_idol_def_N","1","1","100","1","112631","1"
"1.3","1010004","389","-258","01_uek_cmn_idol_def_N","1","1","110","1","112531","1"
"1.3","1010005","-415","-234","01_uek_cmn_idol_def_N","1","1","120","0","106031","1"
"1.3","1010006","262","-235","01_uek_cmn_idol_def_N","1","1","120","1","112431","1"
"0","1010007","01_uek_cmn_pose03","1","","3","105831","0","0.2","01_uek_01_peko","1"
"0","1010008","01_uek_talk_normal","1","","3","105931","0","0.2","01_uek_01_kokkoro","1"
"0","1010009","01_uek_cmn_pose02","1","","3","106031","0","0.2","01_uek_01_kyaru","1"
"0","1010010","01_uek_cmn_pose03","1","","3","112631","0","0.2","01_uek_01_mio","1"
"0","1010011","01_uek_cmn_pose02","1","","3","112531","0","0.2","01_uek_01_rin","1"
"0","1010012","01_uek_cmn_pose01","1","","3","112431","0","0.2","01_uek_01_uduki","1"
"","1010013","","","","93","3","","","","1"
"0.2","1010014","","0","","3","112631","1","","01_uek_cmn_pose03","1"
"0.2","1010015","","0","","3","112431","1","","01_uek_cmn_pose01","1"
"0.2","1010016","","0","","3","105831","1","","01_uek_cmn_pose03","1"
"0.2","1010017","01_uek_cmn_idol_def_N","1","","3","105931","0","0.1","01_uek_talk_normal","1"
"0.2","1010018","01_uek_cmn_idol_def_N","1","","3","106031","0","0.1","01_uek_cmn_pose02","1"
"0.2","1010019","01_uek_cmn_idol_def_N","1","","3","112531","0","0.1","01_uek_cmn_pose02","1"
"","1010020","","","","11","105831","10","","うわぁ～…！\n大きくなりすぎて\nやばいですね☆","1"
"","1010021","","","","91","0","","","","1"
"","1010022","","","","11","105931","10","","うえきちゃんが\nどこまで続くのか\n分からないほどです","1"
"","1010023","","","","91","0","","","","1"
"","1010024","","","","11","112631","10","","こういうのってさ\n上がどうなってるか\n見てみたいよね！","1"
"","1010025","","","","91","0","","","","1"
"","1010026","","","","11","112531","10","","確かにね…それに\nこうなった理由も\n分かるかも","1"
"","1010027","","","","91","0","","","","1"
