4a0f76f7933b398518f0cecc5cdbe1457ee5f7a581156a2c6eda9a2557436563,af70afdbe92a10591916615e741ee43f986bdb0f2b48773c567bfa3a54711351,7bd516e04fa37560f957215e43cceaa9bd3139794d3a8fbdbe245abc17d062f4,922588b320c479a6071b20d4a60c5e04781437a292820dd5d4e32bb350a249a8,459b1abd109d52c919088a05ea95899a699acee3a00abc7ab01359d3c1f6cfac,54506fc17e9110c7eb0242deb66fc2487e815289abbfc293f2fb618b32649e48,30ea6ad832c27fd597b303a3e53a538f0dde4bc1a636ee8e4de9f0d507bead98,7a413e2f67050824b43be1a01aaad2996fdb6a650b67ef5a1d6e2123950107f3,0e8845acc8733648aa57cae257c9a9487da780ad96dae8322830a109799f1a00,25980d777dcaf40b39bd3f2e68111a3151851cca752b68ac1c3d06655c7097ac
"vo_10011600_0101","0","2","vo_10011600","1","0","0","1","","1010001"
"0","0","1","0","2","8","0","1","　明日から","1010002"
"0","1.625","4","0","3","0","1","1","","1010003"
"0","0","1","0","4","10","0","1","聖テレサ女学院に通うことになっちゃった！","1010004"
"0","4","4","0","5","0","1","1","","1010005"
"vo_10011600_0102","0","2","vo_10011600","6","0","0","1","","1010006"
"0","0","1","0","7","8","0","1","　なんで、","1010007"
"0","1.375","4","0","8","0","1","1","","1010008"
"0","0","1","0","9","9","0","1","どうしてこんなことになっちゃったんだろう。\n","1010009"
"0","3.33333333333333","4","0","10","0","1","1","","1010010"
"vo_10011600_0103","0","2","vo_10011600","11","0","0","1","","1010011"
"0","0","1","0","12","8","0","1","ミサト先生は","1010012"
"0","1.75","4","0","13","0","1","1","","1010013"
"0","0","1","0","14","10","0","1","私ならきっとやれると言ってくれたけど……","1010014"
"0","3","4","0","15","0","1","1","","1010015"
"0","0","1","0","16","8","0","1","絶対ムリだー！\n","1010016"
"0","3.875","4","0","17","0","1","1","","1010017"
"vo_10011600_0104","0","2","vo_10011600","18","0","0","1","","1010018"
"0","0","1","0","19","8","0","1","でも。","1010019"
"0","2.375","4","0","20","0","1","1","","1010020"
"0","0","1","0","21","8","0","1","でも……","1010021"
"0","2.5","4","0","22","0","1","1","","1010022"
"vo_10011600_0105","0","2","vo_10011600","23","0","0","1","","1010023"
"0","0","1","0","24","8","0","1","でも、","1010024"
"0","1.375","4","0","25","0","1","1","","1010025"
"0","0","1","0","26","8","0","1","もしも、","1010026"
"0","1.5","4","0","27","0","1","1","","1010027"
"0","0","1","0","28","8","0","1","私が聖テレサ女学院で頑張ることが出来たら。\n\n","1010028"
"0","4.875","4","0","29","0","1","1","","1010029"
"vo_10011600_0106","0","2","vo_10011600","30","0","0","1","","1010030"
"0","0","1","0","31","6","0","1","……友達、","1010031"
"0","1.58333333333333","4","0","32","0","1","1","","1010032"
"0","0","1","0","33","8","0","1","できるかな？","1010033"
"0","1.75","4","0","34","0","1","1","","1010034"
"vo_10011600_0201","0","2","vo_10011600","1","0","0","2","","1020001"
"0","0","1","0","2","8","0","2","　ごきげんようという挨拶で","1020002"
"0","2.375","4","0","3","0","1","2","","1020003"
"0","0","1","0","4","8","0","2","私のぼっち心は最初から爆発寸前。\n","1020004"
"0","4","4","0","5","0","1","2","","1020005"
"vo_10011600_0202","0","2","vo_10011600","6","0","0","2","","1020006"
"0","0","1","0","7","8","0","2","ところが、","1020007"
"0","1.125","4","0","8","0","1","2","","1020008"
"0","0","1","0","9","8","0","2","なんとそこにBB団の団長さんが登場！","1020009"
"0","3.75","4","0","10","0","1","2","","1020010"
"vo_10011600_0203","0","2","vo_10011600","11","0","0","2","","1020011"
"0","0","1","0","12","8","0","2","　BB団の絆は","1020012"
"0","1.875","4","0","13","0","1","2","","1020013"
"0","0","1","0","14","8","0","2","どんな場所だろうと離れることはないんですね！\n","1020014"
"0","3.75","4","0","15","0","1","2","","1020015"
"vo_10011600_0204","0","2","vo_10011600","16","0","0","2","","1020016"
"0","0","1","0","17","8","0","2","そして、","1020017"
"0","1","4","0","18","0","1","2","","1020018"
"0","0","1","0","19","8","0","2","あの人と一緒にやってきた","1020019"
"0","2","4","0","20","0","1","2","","1020020"
"0","0","1","0","21","8","0","2","聖テレサ女学院","1020021"
"0","1.125","4","0","22","0","1","2","","1020022"
"0","0","1","0","23","8","0","2","（なかよし部）のみなさんとお知り合いに。","1020023"
"0","3.5","4","0","24","0","1","2","","1020024"
"vo_10011600_0205","0","2","vo_10011600","25","0","0","2","","1020025"
"0","0","1","0","26","8","0","2","　なんだかとても個性的な方々で、","1020026"
"0","3","4","0","27","0","1","2","","1020027"
"0","0","1","0","28","6","0","2","仲良くなれるか心配……","1020028"
"0","2.83333333333333","4","0","29","0","1","2","","1020029"
"vo_10011600_0301","0","2","vo_10011600","1","0","0","3","","1030001"
"0","0","1","0","2","8","0","3","　やっちゃった。","1030002"
"0","3","4","0","3","0","1","3","","1030003"
"vo_10011600_0302","0","2","vo_10011600","4","0","0","3","","1030004"
"0","0","1","0","5","8","0","3","　自己紹介というぼっちの前に立ちふさがる巨大な壁。","1030005"
"0","5.125","4","0","6","0","1","3","","1030006"
"vo_10011600_0303","0","2","vo_10011600","7","0","0","3","","1030007"
"0","0","1","0","8","8","0","3","　何度もイメージトレーニングしたのに、","1030008"
"0","2.625","4","0","9","0","1","3","","1030009"
"0","0","1","0","10","8","0","3","ものの見事に玉砕しちゃった。","1030010"
"0","2.75","4","0","11","0","1","3","","1030011"
"vo_10011600_0304","0","2","vo_10011600","12","0","0","3","","1030012"
"0","0","1","0","13","8","0","3","　クラスメイトのみんなの目がこっちを向いた瞬間、","1030013"
"0","3.5","4","0","14","0","1","3","","1030014"
"0","0","1","0","15","8","0","3","頭の中は真っ白、","1030015"
"0","2","4","0","16","0","1","3","","1030016"
"0","0","1","0","17","10","0","3","また訳の分からないことを口にしちゃった。\n","1030017"
"0","4.5","4","0","18","0","1","3","","1030018"
"vo_10011600_0305","0","2","vo_10011600","19","0","0","3","","1030019"
"0","0","1","0","20","8","0","3","みんなは楽しそうに笑ってくれたけど、","1030020"
"0","3","4","0","21","0","1","3","","1030021"
"0","0","1","0","22","8","0","3","これから先が不安……","1030022"
"0","2.25","4","0","23","0","1","3","","1030023"
"vo_10011600_0401","0","2","vo_10011600","1","0","0","4","","1040001"
"0","0","1","0","2","8","0","4","　ユニさんは","1040002"
"0","1.75","4","0","3","0","1","4","","1040003"
"0","0","1","0","4","8","0","4","とっても頭がいい人みたい。","1040004"
"0","2.625","4","0","5","0","1","4","","1040005"
"vo_10011600_0402","0","2","vo_10011600","6","0","0","4","","1040006"
"0","0","1","0","7","8","0","4","　なんだか難しい言葉をよく使ってるんだけど、","1040007"
"0","3.75","4","0","8","0","1","4","","1040008"
"0","0","1","0","9","8","0","4","理解できない単語があったりするし、","1040009"
"0","3.125","4","0","10","0","1","4","","1040010"
"0","0","1","0","11","8","0","4","これからは辞書を持ち歩こうかな？\n","1040011"
"0","4","4","0","12","0","1","4","","1040012"
"vo_10011600_0403","0","2","vo_10011600","13","0","0","4","","1040013"
"0","0","1","0","14","8","0","4","　象牙の塔っていう場所でいつも研究をしてて、","1040014"
"0","3.75","4","0","15","0","1","4","","1040015"
"0","0","1","0","16","8","0","4","普段はそこからほとんど出ないらし\nく、","1040016"
"0","3.25","4","0","17","0","1","4","","1040017"
"0","0","1","0","18","8","0","4","私と同じぼっちの匂いがします。","1040018"
"0","3.375","4","0","19","0","1","4","","1040019"
"vo_10011600_0404","0","2","vo_10011600","20","0","0","4","","1040020"
"0","0","1","0","21","8","0","4","　ぼっちはぼっちを呼ぶ、","1040021"
"0","2.5","4","0","22","0","1","4","","1040022"
"0","0","1","0","23","8","0","4","と","1040023"
"0","1.125","4","0","24","0","1","4","","1040024"
"0","0","1","0","25","8","0","4","誰が言ったのか知らないけど、","1040025"
"0","2.75","4","0","26","0","1","4","","1040026"
"0","0","1","0","27","8","0","4","もしかしたら……\n","1040027"
"0","2","4","0","28","0","1","4","","1040028"
"vo_10011600_0405","0","2","vo_10011600","29","0","0","4","","1040029"
"0","0","1","0","30","8","0","4","同じ宿命を持つ者同士、","1040030"
"0","2.375","4","0","31","0","1","4","","1040031"
"0","0","1","0","32","8","0","4","仲良くなれるかも？","1040032"
"0","2.125","4","0","33","0","1","4","","1040033"
"vo_10011600_0501","0","2","vo_10011600","1","0","0","5","","1050001"
"0","0","1","0","2","8","0","5","　クロエさんは私と同じ","1050002"
"0","1.875","4","0","3","0","1","5","","1050003"
"0","0","1","0","4","8","0","5","エルフ、","1050004"
"0","1.5","4","0","5","0","1","5","","1050005"
"0","0","1","0","6","8","0","5","なんだけど……","1050006"
"0","1.625","4","0","7","0","1","5","","1050007"
"0","0","1","0","8","8","0","5","雰囲気が少し、","1050008"
"0","1.375","4","0","9","0","1","5","","1050009"
"0","0","1","0","10","8","0","5","独特な人。\n","1050010"
"0","2.625","4","0","11","0","1","5","","1050011"
"vo_10011600_0502","0","2","vo_10011600","12","0","0","5","","1050012"
"0","0","1","0","13","8","0","5","もしかしたら同じエルフ同士で仲良くなれるかも、","1050013"
"0","3.625","4","0","14","0","1","5","","1050014"
"0","0","1","0","15","8","0","5","と思ったりもしたんだけど、","1050015"
"0","2.125","4","0","16","0","1","5","","1050016"
"0","0","1","0","17","8","0","5","そもそも話しかけられない！\n","1050017"
"0","3.125","4","0","18","0","1","5","","1050018"
"vo_10011600_0503","0","2","vo_10011600","19","0","0","5","","1050019"
"0","0","1","0","20","8","0","5","あの人が言うには","1050020"
"0","1.65","4","0","21","0","1","5","","1050021"
"0","0","1","0","22","8","0","5","世話焼きで優しい、","1050022"
"0","1.625","4","0","23","0","1","5","","1050023"
"0","0","1","0","24","8","0","5","らしいんだけど……\n","1050024"
"0","3.125","4","0","25","0","1","5","","1050025"
"vo_10011600_0504","0","2","vo_10011600","26","0","0","5","","1050026"
"0","0","1","0","27","8","0","5","そういえばあの、","1050027"
"0","2","4","0","28","0","1","5","","1050028"
"0","0","1","0","29","8","0","5","ぷー……","1050029"
"0","1.5","4","0","30","0","1","5","","1050030"
"0","0","1","0","31","8","0","5","っていうため息（？）、","1050031"
"0","2.375","4","0","32","0","1","5","","1050032"
"vo_10011600_0505","0","2","vo_10011600","33","0","0","5","","1050033"
"0","0","1","0","34","8","0","5","とても言えないけど……\n","1050034"
"0","2.375","4","0","35","0","1","5","","1050035"
"0","0","1","0","36","8","0","5","なんかかわいいな、","1050036"
"0","1.375","4","0","37","0","1","5","","1050037"
"0","0","1","0","38","8","0","5","と思っちゃった。","1050038"
"0","1","4","0","39","0","1","5","","1050039"
"vo_10011600_0601","0","2","vo_10011600","1","0","0","6","","1060001"
"0","0","1","0","2","8","0","6","　チエルさんはリア充。","1060002"
"0","2.375","4","0","3","0","1","6","","1060003"
"0","0","1","0","4","8","0","6","間違いない。\n","1060004"
"0","2.5","4","0","5","0","1","6","","1060005"
"vo_10011600_0602","0","2","vo_10011600","6","0","0","6","","1060006"
"0","0","1","0","7","8","0","6","かわいらしくて友達いっぱい、","1060007"
"0","2.5","4","0","8","0","1","6","","1060008"
"0","0","1","0","9","8","0","6","私のようなぼっちとは対極の人。","1060009"
"0","2.875","4","0","10","0","1","6","","1060010"
"vo_10011600_0603","0","2","vo_10011600","11","0","0","6","","1060011"
"0","0","1","0","12","8","0","6","見つめるだけで目が焼かれちゃいそう。\n","1060012"
"0","3.25","4","0","13","0","1","6","","1060013"
"vo_10011600_0604","0","2","vo_10011600","14","0","0","6","","1060014"
"0","0","1","0","15","8","0","6","面と向かい合ってお話しなんてしようものなら、","1060015"
"0","3.5","4","0","16","0","1","6","","1060016"
"0","0","1","0","17","8","0","6","私のぼっちハートはひび割れ、","1060017"
"0","2.5","4","0","18","0","1","6","","1060018"
"0","0","1","0","19","8","0","6","粉々に砕け散ること間違いなし。\n","1060019"
"0","3.875","4","0","20","0","1","6","","1060020"
"vo_10011600_0605","0","2","vo_10011600","21","0","0","6","","1060021"
"0","0","1","0","22","8","0","6","あのちぇるーん、","1060022"
"0","1.75","4","0","23","0","1","6","","1060023"
"0","0","1","0","24","8","0","6","っていう挨拶、","1060024"
"0","1.625","4","0","25","0","1","6","","1060025"
"0","0","1","0","26","8","0","6","私が口にするとその場で気絶して、","1060026"
