a82eec8f4ccde4dd45034019c5b20d8d87da67dd3448a94afe84ef3cb1124591,732c8af274a46b33858741a63d56ce021cf7e905fcadcbe4be9cc500343cf7b5,67b4877b5bdcacc36b2a27da817882beffb73d9584bd7bb28a7175ce40c4cf0d,201b5c4fd0722450f846966862d613d82a22406717ad3e374c7bad467fb7373b,4cf94141a3743adc8855b21d3f3e7355571ae2079204b4036afbec4fb6f1527a,e04e5d9246aa09d65e70b1610963a00383319f849ed93a00ed5877d1f61cea0c,d1952b9d6a3d3d547c1bcb2f799adf876bce63748fdf2ddea8ce61750298e6f1,80e7aeafcb73c357701679c413da986e2f373cb9a776084be6dd5f25ba961b1b,09f4d1099e863238ce1f9bcd8de09df3db8dab5e33611ece07891d4437c8f612,08d2561e24e1fe6d8d3cfccd6e31ed0ccb5bca0e64c211bb90cadcc1b2ea7271,4c814a70f61cec7fc2f8b30a4f5bb2189a6c0f11e2024c73344e7f82f1837b92,b518257bc17e013f0784aa84eda4db39c6d79a94abd79aa2f7be25e7c5c9bbb3,da35eb14be2876cde6db072a676147062636687824a160e3b68b7edfb9a20a90
"60002","0","0","0","0","31038","10001","0","31012","0","0","0","60001"
"60012","0","0","0","0","31004","10002","0","31020","0","0","0","60011"
"60022","0","0","0","0","31017","10003","0","31010","0","0","0","60021"
"60032","0","0","0","0","31028","10004","0","31076","0","0","0","60031"
"60042","0","0","0","0","31032","10005","0","31080","0","0","0","60041"
"60052","0","0","0","0","31034","10006","0","31047","0","0","0","60051"
"60062","0","0","0","0","31022","10007","0","31082","0","0","0","60061"
"60072","0","0","0","0","31051","10008","0","31009","0","0","0","60071"
"60082","0","0","0","0","31029","10009","0","31085","0","0","0","60081"
"60092","0","0","0","0","31002","10010","0","31089","0","0","0","60091"
"60102","0","0","0","0","31011","10011","0","31090","0","0","0","60101"
"60112","0","0","0","0","31008","10012","0","31043","0","0","0","60111"
"60122","0","0","0","0","31018","10013","0","31093","0","0","0","60121"
"60132","0","0","0","0","31038","10014","0","31012","0","0","0","60131"
"60142","0","0","0","0","31045","10015","0","31053","0","0","0","60141"
"60152","0","0","0","0","31004","10016","0","31020","0","0","0","60151"
"60162","0","0","0","0","31025","10017","0","31098","0","0","0","60161"
"60172","0","0","0","0","31017","10018","0","31010","0","0","0","60171"
"60182","0","0","0","0","31050","10019","0","31101","0","0","0","60181"
"60192","0","0","0","0","31028","10020","0","31076","0","0","0","60191"
"60202","0","0","0","0","31014","10021","0","31105","0","0","0","60201"
"60212","0","0","0","0","31032","10022","0","31080","0","0","0","60211"
"60222","0","0","0","0","31040","10023","0","31056","0","0","0","60221"
"60232","0","0","0","0","31034","10024","0","31047","0","0","0","60231"
"60242","0","0","0","0","31036","10025","0","31112","0","0","0","60241"
"60252","0","0","0","0","31022","10026","0","31082","0","0","0","60251"
"60262","0","0","0","0","31005","10027","0","31037","0","0","0","60261"
"60272","0","0","0","0","31051","10028","0","31009","0","0","0","60271"
"60282","0","0","0","0","31044","10029","0","31116","0","0","0","60281"
"60292","0","0","0","0","31029","10030","0","31085","0","0","0","60291"
"60302","0","0","0","0","31021","10031","0","31121","0","0","0","60301"
"60312","0","0","0","0","31002","10032","0","31089","0","0","0","60311"
"60322","0","0","0","0","31049","10033","0","31123","0","0","0","60321"
"60332","0","0","0","0","31011","10034","0","31090","0","0","0","60331"
"60342","0","0","0","0","31042","10035","0","31126","0","0","0","60341"
"60342","0","0","0","0","31042","10036","0","31126","0","0","0","60341"
