75e46086b5653b5d4af3802bf0ece5b672b153cb6638cb8ffbe70e566d46cc83,ca9be287244b580b719dcfc796933e9480ecb80563c0fcd98f500f343bc54e4f,57fa1a2014560f4d1f916b651d2950c9baab9c22d6be30101a39dc43928982c0,7a84d8ce25518e544161feeb394a493d78bf16e78b30fb53ac1b238c2a48cb7d,df5ef5dffc48346268eb3eb3d396526139eae45f571554bde8be809ffa2108b2,95ac2e4ceae0124294950c02e44c1f98657ba5a22d891e20b30d9c3cdda8d106,0f8fe1266ddc2d279f81d41cbb0a60aff7883fa4a21c0ef646aadd331a69bc93,793b24671d5493a6755646b4bdb617b051601d6c335d3124e8cf9fa0e7d865ff,3fb5a810e6aea3623b9816e7dd35c3cf2bd53dd787429e059cea3a0f45a7da10,0e62d9b6219268ddcfa7a1410125e99b97694604faefb53ca0691ef88d695897,832acdf3cd5f410d04e594ee9fbef08010595d227f60500a0c4d201e2fd6edd4,33f1edb068acbcf1af8f9707dae039a6171c284aba33bd2f09fe0d9818b7d3ed
"vo_10011600_1501","2","vo_10011600","0","0","1","15","0","0","0","0","1150001"
"0","1","0","0","240","2","15","1","0","0.997402597402597","0","1150002"
"0","4","0","0","0","3","15","1","1","0","2.4974025974026","1150003"
"vo_10011600_1502","2","vo_10011600","0","0","4","15","0","0","0","0","1150004"
"0","1","0","0","180","5","15","2","0","0.748051948051948","0","1150005"
"0","4","0","0","0","6","15","2","1","0","0.848051948051948","1150006"
"vo_10011600_1503","2","vo_10011600","0","0","7","15","0","0","0","0","1150007"
"0","1","0","180","460","8","15","2","0","1.16363636363636","0","1150008"
"0","4","0","0","0","9","15","2","1","0","1.96363636363636","1150009"
"vo_10011600_1504","2","vo_10011600","0","0","10","15","0","0","0","0","1150010"
"0","1","0","0","500","11","15","3","0","2.07792207792208","0","1150011"
"0","4","0","0","0","12","15","3","1","0","3.47792207792208","1150012"
"vo_10011600_1505","2","vo_10011600","0","0","13","15","0","0","0","0","1150013"
"0","1","0","0","300","14","15","4","0","1.24675324675325","0","1150014"
