440689745e4efd1403cd253fd87871834d3a6aea0cfc3303c02a4fa8c271545c,4b886c18980754d8e7478bce766d630acb993e52c73be38acde1e607e733cade,ea00c88427c97c60bd3eaf029056722eb534bcb17d278cbd508c49ed9b35b550,c137899d5eddf5f680e207d5f74269922ed164b026be084e706e16465bb91adf,69787454c418016a22a356c555f7dcaa6466d83d9e55101178a292eb799f9421,4d3861595c8b04930b96f40d6cf5fb083563202f40d21e4ac5b1fb6906792c0d,02b6d6f8512c03260378a8c25785a154ec5203d6d9ef5382c62c5382067b05b0,5ace30dcd4c163ee70fc47dedb82303a476d8db7de7e32ade9145addd7c284d4,a9455c1dd2e557bcf12cf97ba91e86c9eab5ef37efb3f5354b0722a2f714bb3e,5c0842d567bb9f9a9a705d4fe8573da394be757767a07715ce7a68fc4560ea38,e1ea0b24194c0b7b8a3e902e49e5fec049b84602dd1cca22fdb90b25570f5d19
"","8","0","91002","0","20000","100","0","1","","1"
"","2","0","23001","0","20000","20","0","1","","2"
"","8","0","91002","0","20000","100","0","2","","3"
"","2","0","23001","0","20000","20","0","2","","4"
"","8","0","91002","0","20000","100","0","3","","5"
"","2","0","23001","0","20000","20","0","3","","6"
"","8","0","91002","0","20000","100","0","4","","7"
"","2","0","23001","0","20000","20","0","4","","8"
"","8","0","91002","0","20000","200","0","5","","9"
"","2","0","23001","0","20000","20","0","5","","10"
"","8","0","91002","0","20000","100","0","6","","11"
"","2","0","23001","0","20000","20","0","6","","12"
"","8","0","91002","0","20000","100","0","7","","13"
"","2","0","23001","0","20000","20","0","7","","14"
"","8","0","91002","0","20000","100","0","8","","15"
"","2","0","23001","0","20000","20","0","8","","16"
"","8","0","91002","0","20000","100","0","9","","17"
"","2","0","23001","0","20000","20","0","9","","18"
"","8","0","91002","0","20000","300","0","10","","19"
"","2","0","23001","0","20000","20","0","10","","20"
"","2","0","25011","0","30000","10000","0","1","","21"
"","2","0","25012","0","30000","10000","0","2","","22"
"","2","0","25021","0","30000","5000","0","3","","23"
"","8","0","91002","0","30000","50","0","4","","24"
"","2","0","25013","0","30000","10000","0","5","","25"
"","8","0","91002","0","30000","50","0","6","","26"
"","2","0","25014","0","30000","10000","0","7","","27"
"","2","0","25021","0","30000","5000","0","8","","28"
"","8","0","91002","0","30000","80","0","9","","29"
"","2","0","24001","0","30000","1","0","10","","30"
"","8","0","91002","0","30000","80","0","11","","31"
"","2","0","25015","0","30000","10000","0","12","","32"
"","2","0","25021","0","30000","5000","0","13","","33"
