543b771a2feee9d8f4ca180116228963fbdbd4b05e29f22acb3e619317379700,6184c2a753557e831fadef38606b911b7528aa69ba928e5a8952f883cacf0e3d,ec8630e00e0317fc09b233f09e8d3d5192656a859e8c3e24d2887c27dc8290fd,43a3bd1ef32704547b108e65362acb72d2d2fc2413cd2a375f2a3b17c69e8f39,1741db1c718e9f96f899653f7bbba67ff901930f0b55a275a13c57a7991b8cd0,1fa85ae63e4cd8a7209cb53e64f2890fa8eff27986502d8ec6a898f9a4410e27,66fc924fcdd8ca98f61f49600f6c7df26e62710aed45266eeead5bbc50ba352d,7f10cf02c2888d6fce412ffdd42eb82b36cf5a762952ddc7d617d402dfd39c06,99d497db48a7236c9f6d7993c3732905f00403713cda7e57f5495300e9a89a5e,91d1d5d452876a4643d3bfbc42d939d2f899beded6a2a3d3eae96d6ea9626199,de8ab571e004254d814da6410f188f5d59a09ddd1c46cf453414c60611ec5541
"1","-495","-200","122711","0","1009801","102","1","1009801001","1.95","lsv_idle_normal"
"1","-480","100","122811","1","1009801","100","1","1009801002","1.95","lsv_idle_normal"
"1","-510","270","122911","1","1009801","101","1","1009801003","1.95","lsv_idle_normal"
"1","0","0","333","0","1009801","0","5","1009801004","1","lsv_white_loop"
"333","0","1","1","0","1009801","1","6","1009801005","0",""
"122711","0","1","1","0","1009801","1","6","1009801006","0",""
"122811","0","1","1","0","1009801","1","6","1009801007","0",""
"122911","0","1","1","0","1009801","1","6","1009801008","0",""
"1","","","0","","1009801","","93","1009801009","",""
"333","0.4","1","1","0","1009801","1","6","1009801010","0.8",""
"122711","1","lsv_idle_normal","lsv_jump1","0.2","1009801","0","3","1009801011","0.2",""
"122811","1","lsv_idle_normal","lsv_jump1","0.2","1009801","0","3","1009801012","0.2",""
"122911","1","lsv_idle_normal","lsv_jump1","0.2","1009801","0","3","1009801013","0.2",""
"0.3","","","","","1009801","","93","1009801014","",""
"122711","0","0.75","-200","","1009801","-235","2","1009801015","",""
"122811","0","0.75","100","","1009801","-220","2","1009801016","",""
"122911","0","0.75","270","","1009801","-250","2","1009801017","",""
"122711","1","1","1","0","1009801","1","6","1009801018","0.4",""
"122811","1","1","1","0","1009801","1","6","1009801019","0.4",""
"122911","1","1","1","0","1009801","1","6","1009801020","0.4",""
"2","","","0","","1009801","","93","1009801021","",""
"122911","","","lsv_talk_joy1","","1009801","1","3","1009801022","0.2",""
"vo_lsv","","0","vo_lsv_0121","","1009801","0","21","1009801023","",""
"122911","1","1","『みゅ～ちゃん　すくすく日記』♪\nはじまりはじまり～","0","1009801","10","11","1009801024","0","0"
"0","","","","","1009801","","91","1009801025","",""
"122911","","","lsv_idle_normal_joyR","","1009801","1","3","1009801026","0.2",""
"122711","","","lsv_talk_normal","","1009801","1","3","1009801027","0.2",""
"vo_lsv","","0","vo_lsv_0122","","1009801","0","21","1009801028","",""
"122711","1","1","この日記をみんなで書いて、\nみゅ～ちゃんとの思い出を\n作っていこうね。","0","1009801","10","11","1009801029","0","0"
"0","","","","","1009801","","91","1009801030","",""
"122711","","","lsv_idle_normal","","1009801","1","3","1009801031","0.2",""
"122911","","","lsv_idle_normal","","1009801","1","3","1009801032","0.2",""
"122811","1","lsv_talk_cool_loop","lsv_talk_cool","0.2","1009801","0","3","1009801033","0",""
"vo_lsv","","0","vo_lsv_0123","","1009801","0","21","1009801034","",""
"122811","1","1","それにしても…キョウカは\n日記もまじめだねー\n先生に見せるみたい！","0","1009801","10","11","1009801035","0","0"
"0","","","","","1009801","","91","1009801036","",""
"122811","","","lsv_talk_bitter","","1009801","1","3","1009801037","0.2",""
"vo_lsv","","0","vo_lsv_0124","","1009801","0","21","1009801038","",""
"122811","1","1","ミソギたちしか読まないんだし\nもっとふざけちゃっても\nいいのに～♪","0","1009801","10","11","1009801039","0","0"
"0","","","","","1009801","","91","1009801040","",""
"122811","","","lsv_idle_joy","","1009801","1","3","1009801041","0.2",""
"122711","","","lsv_talk_anger2","","1009801","1","3","1009801042","0.2",""
"vo_lsv","","0","vo_lsv_0125","","1009801","0","21","1009801043","",""
"122711","1","1","ふ、ふざけて書くなんて…！\n私にはできないよっ。","0","1009801","10","11","1009801044","0","0"
"0","","","","","1009801","","91","1009801045","",""
"122711","","","lsv_idle_anger2","","1009801","1","3","1009801046","0.2",""
"122911","","","lsv_talk_normal","","1009801","1","3","1009801047","0.2",""
"vo_lsv","","0","vo_lsv_0126","","1009801","0","21","1009801048","",""
"122911","1","1","大丈夫だよ～\nミミは、キョウカちゃんの\n日記もいいなって思うもん♪","0","1009801","10","11","1009801049","0","0"
"0","","","","","1009801","","91","1009801050","",""
"122911","","","lsv_idle_normal_joyR","","1009801","1","3","1009801051","0.2",""
"122711","1","lsv_talk_guts2_anger_loop","lsv_talk_guts2_anger","0.2","1009801","0","3","1009801052","0",""
"vo_lsv","","0","vo_lsv_0127","","1009801","0","21","1009801053","",""
"122711","1","1","と、とにかくっ！　この日記は\nみゅ～ちゃんのことを知って\nいくためにも書くんだよ？","0","1009801","10","11","1009801054","0","0"
"0","","","","","1009801","","91","1009801055","",""
"122711","","","lsv_talk_normal_worry","","1009801","1","3","1009801056","0.2",""
"vo_lsv","","0","vo_lsv_0128","","1009801","0","21","1009801057","",""
"122711","1","1","どんな生き物かわからないと\n育てるのも大変だし…\nそのこと、忘れないようにね？","0","1009801","10","11","1009801058","0","0"
"0","","","","","1009801","","91","1009801059","",""
