e0a4cdff89f4472a6ab1f3d2b05ad68fbe7f040e86edb699d2850ac5e840bbc2,0c1e7e8c951b086f2ddc290f614cfb304eb9c30cc88e9b34b9869f02aa1b96ab,36a9f88e3458e8298d97ba464b0e837e09fcab6c490ba8491ede684320126ba4
"通常時","106101","装備中"
"通常時","106701","特殊スキル"
"通常時","106801","権能解放中"
"通常時","106901","特殊スキル"
"通常時","114401","パターン変化中"
"通常時","115801","変身中"
"通常時","116401","特殊スキル"
"通常時","118201","特殊スキル"
"通常時","118501","特殊スキル"
"通常時","118601","特殊スキル"
"通常時","120801","初回発動時"
"通常時","122001","特殊スキル"
"通常時","122301","共闘中"
"通常時","122701","特殊スキル"
"通常時","123001","特殊スキル"
"通常時","125001","共闘中"
"通常時","125801","特殊スキル"
"通常時","126001","特殊スキル"
"通常時","126101","特殊スキル"
"通常時","126201","特殊スキル"
"通常時","126401","【フルチャージ】中"
"通常時","126501","特殊スキル"
"通常時","129001","特殊スキル"
"通常時","129301","特殊スキル"
"通常時","129401","特殊スキル"
"通常時","129501","初回発動時"
"通常時","129601","特殊スキル"
"通常時","129701","特殊スキル"
"通常時","130001","特殊スキル"
"通常時","130101","特殊スキル"
"通常時","131201","特殊スキル"
"通常時","131801","特殊スキル"
"通常時","132001","特殊スキル"
"通常時","132101","鬼化中"
"通常時","132401","初回発動時"
"通常時","132901","初回発動時"
"通常時","133101","特殊スキル"
"通常時","133801","召喚体スキル"
"通常時","134501","特殊スキル"
"通常時","134901","特殊スキル"
"通常時","135001","特殊スキル"
"通常時","135101","特殊スキル"
"通常時","135201","特殊効果"
"通常時","135601","特殊スキル"
"通常時","135901","初回発動時"
"通常時","136001","特殊スキル"
"通常時","136101","特殊スキル"
"通常時","136401","初回発動時"
"通常時","136501","特殊効果"
"通常時","137401","パターン変化後"
"通常時","181201","特殊スキル"
