6c336a9f65d8df617a5d2bdbc12053966f9be857612899636e11629b925f47ac,c9ad26d2bdd70a755a2dc8cd403e60eee2577e6c4442cd9494fc54e78a324e4a,97972a55008a9fe587c76e6131ca220549cc953c809661fe5f786dca518ec1ce,0d06e3eb249b9c040732ba62f3affbb3b8b117b4e145a169b4b68b55d672ef82,db498fd74a0946873c9ba9e0f0af7e41b0c0709e792f5c456d649850edf3a4e3
"81000104","0","70","bgm_M125","1"
"81000104","0","110","bgm_M125","2"
"81000104","0","130","bgm_M125","3"
"81000104","0","150","bgm_M125","4"
"81000104","0","170","bgm_M125","5"
"81000104","0","190","bgm_M125","6"
"81000104","0","210","bgm_M125","7"
"81000104","0","230","bgm_M125","8"
"81000104","0","250","bgm_M125","9"
"81000104","0","270","bgm_M125","10"
"81000104","0","290","bgm_M125","11"
"81000104","0","310","bgm_M125","12"
"81000104","0","330","bgm_M125","13"
"81000104","73140350","350","bgm_M125","14"
"81000104","73150360","360","bgm_M125","15"
"81000104","73160370","370","bgm_M125","16"
"81000104","73170380","380","bgm_M125","17"
"81000104","73180390","390","bgm_M125","18"
"81000104","73190400","400","bgm_M125","19"
"81000104","73200410","410","bgm_M125","20"
"81000104","73210420","420","bgm_M125","21"
"81000104","73220430","430","bgm_M125","22"
"81000104","73230440","440","bgm_M125","23"
"81000104","73240450","450","bgm_M125","24"
"81000104","73250460","460","bgm_M125","25"
"81000104","73260470","470","bgm_M125","26"
"81000104","73270480","480","bgm_M125","27"
"81000104","73280490","490","bgm_M125","28"
"81000104","73290500","500","bgm_M125","29"
"81000104","73300510","510","bgm_M125","30"
"81000104","73310520","520","bgm_M125","31"
"81000104","73320530","530","bgm_M125","32"
"81000104","73330540","540","bgm_M125","33"
"81000104","73340550","550","bgm_M125","34"
"81000104","73350560","560","bgm_M125","35"
"81000104","73360570","570","bgm_M125","36"
"81000104","73370580","580","bgm_M125","37"
"81000104","73380590","590","bgm_M125","38"
"81000104","73390600","600","bgm_M125","39"
"81000104","73400610","610","bgm_M125","40"
"81000104","73410620","620","bgm_M125","41"
"81000104","73420630","630","bgm_M125","42"
"81000104","73430640","640","bgm_M125","43"
"81000104","73440650","650","bgm_M125","44"
"81000104","73450660","660","bgm_M125","45"
"81000104","73460670","670","bgm_M125","46"
"81000104","73470680","680","bgm_M125","47"
"81000104","73480690","690","bgm_M125","48"
"81000104","73490700","700","bgm_M125","49"
"81000104","73500710","710","bgm_M125","50"
"81000104","73510720","720","bgm_M125","51"
"81000104","73520730","730","bgm_M125","52"
"81000104","73530740","740","bgm_M125","53"
