541d6327e20d2cd728f95377cba4b65b096fd1c9e0a288887914e57e268c8e95,4d26bfff4e1e722b240235e65d851a463d294834826322fc13a185d3d336cd77,ad063327ef8171fb450b7a84f4e6c0ae5e41cd182cbed6540dffc94c68de427f,69b3d06c399d0ec9ac82b20a16ad1a4c3ca5aa85bb659c3a52a8e8dd7346c266,bd5b3abf946c64900187226077d9c6be89d912f7c6da9b1125cf0db65e9f2061,8530ea84a3e3c910ff179ea010b4db4c17532b24e6fda71e0dfd9d4379c8484d,12662ff8c798f21fac6efe813d9f0e0fad02f1e58f394f561d2cd7289125f75d,93f6ef23c507b7b15964a531a48d9aff76f1bbde09bc5b3aedcd81dd280d2921,0663354e545cc1656d0881f532d7d4fdfe09b1eceb148260ce3d015f602231ac,4b69d83152419627ced91e8cbff52875fee3bee7ab5d998f8b0dda50ecdbe2aa,85f406cb5fb5b5317eca244df08298314da325fc79474f8a08ce876d4c0b0513,2bcf15e17e81a430ee663299c163a03ec3f2896ee779e6ddb55c51d1a511abe5
"0","0","0","33","1","29","342","0","37","0.05","0.025","0"
"0","0","0","32","2","28","333","0","36","0.05","0.025","0"
"0","0","0","31","3","27","324","0","35","0.05","0.025","0"
"0","0","0","30","4","26","315","0","34","0.05","0.025","0"
"0","0","0","29","5","25","306","0","33","0.05","0.025","0"
"0","0","0","28","6","24","297","0","32","0.05","0.025","0"
"0","0","0","27","7","23","288","0","31","0.05","0.025","0"
"0","0","0","26","8","22","279","0","30","0.05","0.025","0"
"0","0","0","25","9","21","270","0","29","0.05","0.025","0"
"0","0","0","24","10","20","261","0","28","0.05","0.025","0"
"0","0","0","23","11","19","252","0","27","0.05","0.025","0"
"0","0","0","22","12","18","243","0","26","0.05","0.025","0"
"0","0","0","21","13","17","234","0","25","0.05","0.025","0"
"0","0","0","20","14","16","225","0","24","0.05","0.025","0"
"0","0","0","19","15","15","216","0","23","0.05","0.025","0"
"0","0","0","18","16","14","207","0","22","0.05","0.025","0"
"0","0","0","17","17","13","198","0","21","0.05","0.025","0"
"0","0","0","16","18","12","189","0","20","0.05","0.025","0"
"0","0","0","15","19","11","180","0","19","0.05","0.025","0"
"0","0","0","14","20","10","171","0","18","0.05","0.025","0"
"0","0","0","13","21","9","161","0","17","0.05","0.025","0"
"0","0","0","12","22","8","152","0","16","0.05","0.025","0"
"0","0","0","11","23","7","143","0","15","0.05","0.025","0"
"0","0","0","10","24","6","134","0","14","0.05","0.025","0"
"0","0","0","9","25","5","125","0","13","0.05","0.025","0"
"0","0","0","8","26","4","116","0","12","0.05","0.025","0"
"0","0","0","7","27","3","107","0","11","0.05","0.025","0"
"0","0","0","6","28","2","101","0","10","0.05","0.025","0"
"0","0","0","0","29","0","1","0","0","0","0","0"
