bf74ae2615a636a35b5079eeaf833a13ec8608e5a500811a28cb5a2db41626f9,94dfb496c62c0c91d1100539a145dbf7812d5c6688f8a83c9609ff1a89136427,d4f8c53075319ee337b2641bf6f56e14e6b06f948b397df7ad2be8a235432f36,82672d6575d0dba270511195360c2d46e826a8d9d411b6894dbaf16cb6f051a4,788d2f1402b75a5d6926ee9a908c4f2cbbf9495509554685bd082dea54445120,8ba5402da24156e7a7eb572df6b01bce10ff7c816fbe428dc7c5fffe797be48b,c871c35b7d267179264e5b5c3d439e1eac80b41f807a2405dfa52097a255aaac,e8f742ce4dbb002451abecaf1aaa1eb7fa4c9611ca217adbc075ae6ff3f6456e,67e7ec60ba83e4830d2759eae7a14f100fa905d9bfdb38fa14b6ea89b6d3a5f3,b25f94ee6d962c81340ffde8a854daf02d023e70aac8d13631020bd4adda7308,28c202be1277253f9f390cabb9e9ce631fbe7c6fe76ecf0393097aee37b23dac
"61001","1.8","100","1","0","1","idle_normal","105811","-278","-225","5146061"
"61002","1.8","101","5","0","6","idle_normal","1058","-278","-225","5146061"
"61003","1.8","103","1","0","1","kokkoro_idle_normal","105911","-288","-385","5146061"
"61004","1.8","104","5","0","3","kokkoro_idle_normal","1059","-288","-385","5146061"
"61005","1.8","106","1","1","1","idle_normal","106011","-278","290","5146061"
"61006","1.8","107","5","1","4","idle_normal","1060","-278","290","5146061"
"61007","","","13","","105811","","200","","","5146061"
"61008","","","13","","105911","","203","","","5146061"
"61009","","","13","","106011","","206","","","5146061"
"61010","0.85","15","5","0","7","idle","7","-174","0","5146061"
"61011","1","210","5","0","20","empty","201","8","290","5146061"
"61012","1","211","5","0","20","empty","202","-78","0","5146061"
"61013","1","210","5","0","20","empty","203","16","-315","5146061"
"61014","1","60","5","0","21","empty","21","153","0","5146061"
"61015","1","0","31","","1","","1","1","0","5146061"
"61016","0","0","31","","2","","2","1","-57.7","5146061"
"61017","0","0","31","","10","","10","1","0","5146061"
"61018","0","0","31","","11","","11","1","0","5146061"
"61019","","","91","","0","","0","","","5146061"
"61020","","0","102","","0","","0","","","5146061"
"61021","","","93","","1","","0","","","5146061"
"61022","0.2","0","3","0","106011","","doya_in_shy","1","doya_talk_shy","5146061"
"61023","0.2","0","3","0","1060","","doya_in_shy","1","doya_talk_shy","5146061"
"61024","","0","21","","vo_apg","","vo_apg_0101","","0","5146061"
"61025","0","10","11","0","106011","0","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","1","1","5146061"
"61026","","","91","","0","","","","","5146061"
"61027","","","32","","2","","1","","","5146061"
"61028","","","37","","2","","fade105_in","","","5146061"
"61029","","","4","","106011","","0","","","5146061"
"61030","","","4","","1060","","0","","","5146061"
"61031","0.5","1","3","","106011","","sad_idle_dere_shy","","","5146061"
"61032","0.5","1","3","","1060","","sad_idle_dere_shy","","","5146061"
"61033","","0","21","","vo_apg","","vo_apg_0102","","0","5146061"
"61034","0","0","3","","201","","0102_in","","","5146061"
"61035","","","93","","4.6","","1","","","5146061"
"61036","0","0","3","","201","","0102_mid","","","5146061"
"61037","","","92","","","","","","","5146061"
"61038","0","0","3","","201","","0102_out","","","5146061"
"61039","","","93","","0.2","","0","","","5146061"
"61040","0.2","0","3","0","106011","","kyaru_smile_in","1","kyaru_smile_idle","5146061"
"61041","0.2","0","3","0","1060","","kyaru_smile_in","1","kyaru_smile_idle","5146061"
"61042","","0","21","","vo_apg","","vo_apg_0103","","0","5146061"
"61043","0","0","3","","201","","0103_in","","","5146061"
"61044","","","93","","5.4","","1","","","5146061"
"61045","0","0","3","","201","","0103_mid","","","5146061"
"61046","","","92","","","","","","","5146061"
"61047","0","0","3","","201","","0103_out","","","5146061"
"61048","","","93","","0.2","","0","","","5146061"
"61049","","","37","","2","","fade105_out","","","5146061"
"61050","","","4","","105811","","1","","","5146061"
"61051","","","4","","1058","","1","","","5146061"
"61052","0.2","1","3","","105811","","surprise_talk","","","5146061"
"61053","0.2","1","3","","1058","","surprise_talk","","","5146061"
"61054","","0","21","","vo_apg","","vo_apg_0104","","0","5146061"
