f1372d96480a67741a4c0ec8ea09505e90c8a2009b245d4be954a2a87139492f,5a8529b97294810a6d3a95038c6ef098c109daea637797476d5ff686a5377701,dd41952fe894eb835fca98d5d33c5ca87b18d33f161600fad5edb61cb538a600,218367b68ec782f1d6cdaa763da602c7db91dd375ef1faff564516e58ade55da,00feedca1a3bea28ad6b86f47cec29494a34bf21287ff8be518fc2887fd21979,cf71e18fdc4483b0be0fcd2b642a3c77ffe706d64fc2155e30d3adca30ed9133,b06461ad1a7f545e68716341887493caa30ff2e3e95aaa1acaf01a86fb6757ec
"72004021","ボスNORMAL討伐で解放！","20004","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","107601","10"
"72005021","ボスNORMAL討伐で解放！","20005","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108001","12"
"72007021","ボスNORMAL討伐で解放！","20007","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108201","15"
"72009021","ボスNORMAL討伐で解放！","20009","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108501","17"
"72010021","ボスNORMAL討伐で解放！","20010","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108901","19"
"72011021","ボスNORMAL討伐で解放！","20011","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","109001","21"
"72013021","ボスNORMAL討伐で解放！","20013","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","109301","22"
"72015021","ボスNORMAL討伐で解放！","20015","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","110101","23"
"72016021","ボスNORMAL討伐で解放！","20016","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","110501","24"
"72018021","ボスNORMAL討伐で解放！","20018","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","111201","25"
"72020021","ボスNORMAL討伐で解放！","20020","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","111601","26"
