84a5e1661dc99529589be82cf8357e451f7d057096cb42a90af0112dab34f04f,c9f291477a13c7277f9d9402d439d27aec51ea6358223131516ffdc274c62cfa,741eb8f3de9e1bd8cc6ff22b40d7d19608e3b2a01e770aa6504b7a2a253d3dba,a23274bc99514932df11004e957ae97438125b2bd0e7437844b3f365f992cb35
"1st Anniversary スペシャルログインボーナス","2019/03/01 4:59:59","2019/02/15 5:00:00","10000"
"GW スペシャルログインボーナス","2019/05/07 4:59:59","2019/04/27 5:00:00","10001"
"1.5Year Anniversary スペシャルログインボーナス","2019/09/01 4:59:59","2019/08/15 5:00:00","10002"
"2nd Anniversary スペシャルログインボーナス","2020/03/01 4:59:59","2020/02/15 5:00:00","10003"
"2.5 Year Anniversary スペシャルログインボーナス","2020/09/01 4:59:59","2020/08/15 5:00:00","10004"
"3rd Anniversary スペシャルログインボーナス","2021/03/01 4:59:59","2021/02/15 5:00:00","10005"
"3.5 Year Anniversary スペシャルログインボーナス","2021/09/01 4:59:59","2021/08/15 5:00:00","10006"
"4th Anniversary スペシャルログインボーナス","2022/03/01 4:59:59","2022/02/15 5:00:00","10007"
"4.5 Year Anniversary スペシャルログインボーナス","2022/09/01 4:59:59","2022/08/15 5:00:00","10008"
"5th Anniversary スペシャルログインボーナス","2023/03/01 4:59:59","2023/02/15 5:00:00","10009"
"5.5 Year Anniversary スペシャルログインボーナス","2023/09/01 4:59:59","2023/08/15 5:00:00","10010"
"6th Anniversary スペシャルログインボーナス","2024/03/01 4:59:59","2024/02/15 5:00:00","10011"
"6.5 Year Anniversary スペシャルログインボーナス","2024/09/01 4:59:59","2024/08/15 5:00:00","10012"
