f5ad60262264f2dd680168a8aa6a49500483348686c5183b3ca5e5e6c7ee5744,003f9c169911e0802e06fe16dba9e34e519f41471dd59ae9e9dcfac8e67249e4
"プリンセスコネクト！Re:Dive 1","10001"
"プリンセスコネクト！Re:Dive 2","10002"
"プリンセスコネクト！Re:Dive 3","10003"
"プリンセスコネクト！Re:Dive 4","10004"
"プリンセスコネクト！Re:Dive Season2 1","10005"
"プリンセスコネクト！Re:Dive Season2 2","10006"
"プリンセスコネクト！Re:Dive Season2 3","10007"
"プリンセスコネクト！Re:Dive Season2 全巻購入特典","10008"
"CD購入特典","10009"
"プリンセスコネクト！Re:Dive 3周年記念","20001"
"公式アートワークス Vol.3 発売記念アイテム","20002"
"プリンセスコネクト！Re:Dive 3.5周年記念","20003"
"プリンセスコネクト！Re:Dive 4周年記念","20004"
"プリンセスコネクト！Re:Dive 4.5周年記念","20005"
"プリンセスコネクト！Re:Dive 5周年記念","20006"
"プリンセスコネクト！Re:Dive 6周年記念","20007"
"プリンセスコネクト！Re:Dive 7周年記念","20008"
"ストーリーイベント","30000"
"ミニゲーム・ミニコンテンツ","30001"
"みんなのカレンダー","40001"
"ローソンコラボ記念","40002"
"TANITAコラボ記念","40003"
"2024年バレンタイン記念","40004"
"銀だこハイボール酒場コラボ記念","40005"
"煉獄のリベリオン","40006"
"豊島園 庭の湯コラボ記念","40007"
"劇場版『ゾンビランドサガ ゆめぎんがパラダイス』コラボ記念","40008"
