78c52fe485284f5b4966d701a6d49f814ec97c2d61842bd8cd233111dd96b4a9,f4a26500e19aaae6b6b801b64dde683c72b19b8ee19af547af9a6b9d0d4887ab,93d3200f755e7923d5bfa20a6ce09132d42e7ab93cf1d0ebd4d381de91b67ec0,3342e1eaf616d458d772c07a767b047009d7e0effd5a69dd2d07ec0f96fc375d,20428a8cd5c864c942d5dd58a22b510d53cc4fbf079894e713241c986db13e29
"1","3","10201","2","1"
"2","3","10202","2","2"
"3","3","10203","2","3"
"4","10","10301","2","4"
"5","10","10302","2","5"
"6","10","10303","2","6"
"7","10","10304","2","7"
"8","20","10401","2","8"
"9","20","10402","2","9"
"10","20","10403","2","10"
"11","20","10404","2","11"
"12","20","10405","2","12"
"13","20","10406","2","13"
"14","20","10407","2","14"
"15","20","10408","2","15"
"16","20","10409","2","16"
"17","3","10701","1","1"
"18","3","10601","1","2"
"19","3","10602","1","3"
"20","3","10603","1","4"
"21","3","10604","1","5"
"22","10","11301","1","6"
"23","10","11302","1","7"
"24","10","11303","1","8"
"25","20","11401","1","9"
"26","20","11402","1","10"
"27","20","11403","1","11"
"28","20","11601","1","12"
"29","20","11602","1","13"
"30","20","11603","1","14"
"31","20","11604","1","15"
"32","20","11605","1","16"
"33","20","11606","1","17"
"34","20","11101","1","18"
"35","20","11102","1","19"
"36","20","11103","1","20"
"37","20","11701","1","21"
"38","20","11702","1","22"
"39","20","11703","1","23"
"40","3","10501","3","1"
"41","3","10502","3","2"
"42","3","10503","3","3"
"43","10","11201","3","4"
"44","10","10801","3","5"
"45","10","10802","3","6"
"46","10","10803","3","7"
"47","10","10804","3","8"
"48","20","10901","3","9"
"49","20","10902","3","10"
"50","20","10903","3","11"
"51","20","10904","3","12"
"52","20","11001","3","13"
"53","20","11002","3","14"
"54","20","11003","3","15"
"55","20","11501","3","16"
"56","20","11502","3","17"
"57","20","11503","3","18"
"58","20","11504","3","19"
"59","20","11505","3","20"
"60","20","11506","3","21"
