94135c22ad793fb65d0cf8bbe5079bc437266493b4520ce4cb4e8a9632beea7a,383741f0a03e09cd0caa704ea1a93dd32653ed5ebe40110fb06cde11b18ba7ef,38ede7ce5fceefa246b829d7960dd1b45cdeb4e4253039b7cbc5d964b4d6a25c,94aae73230274ab54a888e60838602b3f54559bb6f4380a0e07debe81bcd5f9d,8d714c8cec2a4a109cebe33ee6a55de5b8a276a4f298646134f0c484cca142ef,f2ae926720c3a77460b63964eeda4496847a35bf6f4aef5d8864b77685c540ac
"1005","802100290","2114001","1","211","212"
"1006","802100290","2114002","1","211","212"
"1007","802100290","2114003","1","211","212"
"1008","802100290","2114004","1","211","212"
"100501","802100266","2113061","0","104","100"
"100502","802100266","2113062","0","104","100"
"100503","802100266","2113063","0","105","102"
"100504","802100266","2113064","0","106","103"
"100505","802100266","2113065","0","104","100"
"100506","802100266","2113066","0","104","100"
"100507","802100266","2113067","0","105","102"
"100508","802100266","2113068","0","106","103"
"100509","802100266","2113069","0","104","100"
"100510","802100266","2113070","0","104","100"
"100511","802100267","2113071","0","104","100"
"100512","802100267","2113072","0","104","100"
"100513","802100267","2113073","0","105","102"
"100514","802100267","2113074","0","106","103"
"100515","802100267","2113075","0","104","100"
"100516","802100267","2113076","0","104","100"
"100517","802100267","2113077","0","105","102"
"100518","802100267","2113078","0","106","103"
"100519","802100267","2113079","0","104","100"
"100520","802100267","2113080","0","104","100"
"100521","802100268","2113081","0","104","100"
"100522","802100268","2113082","0","104","100"
"100523","802100268","2113083","0","105","102"
"100524","802100268","2113084","0","106","103"
"100525","802100268","2113085","0","104","100"
"100526","802100268","2113086","1","208","112"
"100527","802100268","2113087","1","201","110"
"100528","802100268","2113088","0","104","100"
"100529","802100268","2113089","0","105","102"
"100530","802100268","2113090","0","106","103"
"100601","802100263","2113031","1","203","114"
"100602","802100263","2113032","1","202","113"
"100603","802100263","2113033","0","105","102"
"100604","802100263","2113034","0","106","103"
"100605","802100263","2113035","1","203","114"
"100606","802100263","2113036","1","202","113"
"100607","802100263","2113037","1","204","111"
"100608","802100263","2113038","1","202","113"
"100609","802100263","2113039","1","202","113"
"100610","802100263","2113040","0","106","103"
"100611","802100264","2113041","1","203","114"
"100612","802100264","2113042","1","202","113"
"100613","802100264","2113043","0","105","102"
"100614","802100264","2113044","0","106","103"
"100615","802100264","2113045","1","203","114"
"100616","802100264","2113046","1","202","113"
"100617","802100264","2113047","1","204","111"
"100618","802100264","2113048","1","202","113"
"100619","802100264","2113049","1","202","113"
"100620","802100264","2113050","0","106","103"
"100621","802100265","2113051","0","105","102"
"100622","802100265","2113052","1","203","114"
"100623","802100265","2113053","1","202","113"
"100624","802100265","2113054","1","204","111"
"100625","802100265","2113055","0","106","103"
"100626","802100265","2113056","1","208","112"
"100627","802100265","2113057","1","201","110"
"100628","802100265","2113058","1","203","114"
"100629","802100265","2113059","1","202","113"
"100630","802100265","2113060","0","106","103"
"100701","802100269","2113091","1","205","112"
"100702","802100269","2113092","1","206","112"
"100703","802100269","2113093","0","102","117"
"100704","802100269","2113094","0","105","102"
"100705","802100269","2113095","0","105","102"
"100706","802100269","2113096","1","202","113"
"100707","802100269","2113097","1","203","114"
"100708","802100269","2113098","0","102","117"
"100709","802100269","2113099","0","105","102"
"100710","802100269","2113100","1","202","113"
"100711","802100270","2115001","1","205","112"
"100712","802100270","2115002","0","102","117"
"100713","802100270","2115003","0","105","102"
"100714","802100270","2115004","0","106","103"
"100715","802100270","2115005","1","203","114"
"100716","802100270","2115006","1","202","113"
"100717","802100270","2115007","1","207","112"
"100718","802100270","2115008","0","105","102"
"100719","802100270","2115009","0","106","103"
"100720","802100270","2115010","1","202","113"
"100721","802100271","2115011","1","205","112"
"100722","802100271","2115012","1","208","112"
"100723","802100271","2115013","0","102","117"
"100724","802100271","2115014","0","105","102"
"100725","802100271","2115015","0","106","103"
"100726","802100271","2115016","1","208","112"
"100727","802100271","2115017","1","201","110"
"100728","802100271","2115018","0","102","117"
"100729","802100271","2115019","0","105","102"
"100730","802100271","2115020","0","106","103"
"100801","802100260","2113001","0","103","104"
"100802","802100260","2113002","0","104","100"
"100803","802100260","2113003","0","104","100"
"100804","802100260","2113004","0","105","102"
"100805","802100260","2113005","0","105","102"
"100806","802100260","2113006","0","104","100"
"100807","802100260","2113007","0","104","100"
"100808","802100260","2113008","0","105","102"
"100809","802100260","2113009","0","105","102"
"100810","802100260","2113010","0","107","101"
"100811","802100261","2113011","0","103","104"
"100812","802100261","2113012","0","104","100"
"100813","802100261","2113013","0","104","100"
"100814","802100261","2113014","0","105","102"
"100815","802100261","2113015","0","106","103"
"100816","802100261","2113016","0","104","100"
"100817","802100261","2113017","0","104","100"
"100818","802100261","2113018","0","105","102"
"100819","802100261","2113019","0","106","103"
"100820","802100261","2113020","0","104","100"
"100821","802100262","2113021","0","103","104"
"100822","802100262","2113022","0","104","100"
"100823","802100262","2113023","0","104","100"
"100824","802100262","2113024","0","105","102"
"100825","802100262","2113025","0","105","102"
"100826","802100262","2113026","1","208","112"
"100827","802100262","2113027","1","201","110"
"100828","802100262","2113028","0","105","102"
"100829","802100262","2113029","0","106","103"
"100830","802100262","2113030","0","103","104"
