ae069a40a85836655932e55fe3cb2a05dfdda1e7e57d9b1140a209733359731e,f0ba7deda90459fc735e4e14dcdfa1ead1d874c090d94356b3ea0bf49a42bd47,cd2f479423a7c94d277f9daa8ac1de79b0919118fe78789808fb34ff7075e81d,0664e7890c7cf83b5112504cf449856210d1ab0feb43e7393e520ad9f6681a13,af6b0596e1ff66c0abdd7c1c0552b6b11603fa5c5b1805e59b7415e3854cf759
"1001","1","94002","8000000","12"
"1001","2","90005","40","2"
"1002","3","94002","8000000","12"
"1002","4","90005","50","2"
"1003","5","94002","8000000","12"
"1003","6","90005","60","2"
"1004","7","94002","8000000","12"
"1004","8","90005","70","2"
"1005","9","91002","150","8"
"1005","10","94002","8000000","12"
"1005","11","90005","80","2"
"1006","12","94002","8000000","12"
"1006","13","90005","90","2"
"1007","14","91002","300","8"
"1007","15","94002","8000000","12"
"1007","16","90005","100","2"
"2001","17","94002","8000000","12"
"2002","18","94002","8000000","12"
"2003","19","94002","8000000","12"
"2004","20","94002","8000000","12"
"2005","21","94002","8000000","12"
"2006","22","94002","8000000","12"
"2007","23","94002","8000000","12"
"2008","24","94002","8000000","12"
"2009","25","94002","8000000","12"
"2010","26","94002","8000000","12"
"2011","27","94002","8000000","12"
"2012","28","94002","8000000","12"
"2013","29","94002","8000000","12"
"2014","30","94002","8000000","12"
"2015","31","94002","8000000","12"
"7001","32","94002","8000000","12"
"7001","33","90005","5","2"
"7002","34","94002","8000000","12"
"7002","35","90005","5","2"
"7003","36","94002","8000000","12"
"7003","37","90005","5","2"
"7004","38","94002","8000000","12"
"7004","39","90005","10","2"
"7005","40","94002","8000000","12"
"7005","41","90005","10","2"
"7006","42","94002","8000000","12"
"7006","43","90005","10","2"
"7007","44","94002","8000000","12"
"7007","45","90005","15","2"
"7008","46","94002","8000000","12"
"7008","47","90005","15","2"
"7009","48","94002","8000000","12"
"7009","49","90005","15","2"
"7010","50","94002","8000000","12"
"7010","51","90005","20","2"
"7011","52","94002","8000000","12"
"7011","53","90005","20","2"
"7012","54","94002","8000000","12"
"7012","55","90005","20","2"
"7013","56","94002","8000000","12"
"7013","57","90005","25","2"
"7014","58","94002","8000000","12"
"7014","59","90005","25","2"
"7015","60","94002","8000000","12"
"7015","61","90005","25","2"
"7016","62","94002","8000000","12"
"7016","63","90005","30","2"
"7017","64","94002","8000000","12"
"7017","65","90005","30","2"
"7018","66","94002","8000000","12"
"7018","67","90005","30","2"
"7019","68","94002","8000000","12"
"7019","69","90005","35","2"
"7020","70","94002","8000000","12"
"7020","71","90005","35","2"
"7021","72","94002","8000000","12"
"7021","73","90005","35","2"
"7022","74","94002","8000000","12"
"7022","75","90005","40","2"
"8001","76","94002","8000000","12"
"8001","77","90008","1000","2"
"8002","78","94002","8000000","12"
"8002","79","90008","1250","2"
"8003","80","94002","8000000","12"
"8003","81","90008","1500","2"
"8004","82","94002","8000000","12"
"8004","83","90008","1750","2"
"8005","84","94002","8000000","12"
"8005","85","90008","2000","2"
"8006","86","94002","8000000","12"
"8006","87","90008","2250","2"
"8007","88","94002","8000000","12"
"8007","89","90008","2500","2"
"9001","90","80001","50","2"
"9002","91","80002","50","2"
"9003","92","80003","50","2"
"9004","93","80004","50","2"
"9005","94","80005","50","2"
