8d2b80a8ee5b8292cc2a2b5cb98a0ae47d3fcd9f07816d054440896e3c86f5de,7a0001558bc3311a0174a15d2e0b4c1e4e97267f6c2ef796869f3f1e21862df9,d4c2d5ad315dc5ceaa86019fe7ef20bc13c548985e66eebd2237f4b84c2b8860,a8d8b9ef4be8215a50fb88f2eff55c9fbc48a8c649174a2997297d7a62d2e78f,b7b0b48ee7f5d43414f3dde7f8cabbd3f85e4582b2c59b05e04cb9a38bfce3e4,a2417ee89db15a8df57da63b3fe2a9b1cc368105869bd853a7aecd40f61f16f8,cc4193a3a74c30ff2c3551d6a14710b3b76429995841f767a83cf2f251cbbd20,8203c4d6e7030bc76571ad05e0578d00f74bf5a90cb7754861741b8d75a96b2a,759b1c25fa1231df6e118462fb8eca870e1f5b5429c3b58131f83ebe84431486
"1101001","0","21","0","0","600","1101002","0","0"
"1101002","0","22","0","600","2400","1101003","0","0"
"1101003","50","20","0","-1500","1","1","0","0"
"1101011","0","21","0","0","900","1101012","0","0"
"1101012","0","22","0","700","2100","1101013","0","0"
"1101013","200","20","0","-1500","1","1","0","0"
"1101021","0","21","0","0","400","1101022","0","0"
"1101022","0","22","0","500","2000","1101023","0","0"
"1101023","350","20","0","-1500","1","1","0","0"
"1101031","0","21","0","0","1000","1101032","0","0"
"1101032","0","22","0","900","1800","1101033","0","0"
"1101033","500","20","0","-1500","1","1","0","0"
"1101041","0","21","0","0","500","1101042","0","0"
"1101042","0","22","0","800","1600","1101043","0","0"
"1101043","750","20","0","-1500","1","1","0","0"
"1101101","2","1","2","2","1","25","0","0"
"1102001","-100","20","0","-2000","1","1","0","0"
"1102101","10","1","2","2","1","20","0","0"
"1102102","0","10","2","0","2","200000","0","0"
"1103001","0","21","0","0","500","1103002","0","0"
"1103002","0","3","2","0","0","1000","0","0"
"1202001","0","2","2","3000","3","-15","0","0"
"1204001","0","2","1","30000","3","15","0","0"
"1205001","0","2","1","30000","3","10","0","0"
"1206001","0","2","1","30000","3","10","0","0"
"1207001","0","2","1","30000","3","10","0","0"
"1208001","0","2","1","3000","2","15","0","0"
"1209001","0","2","1","3000","1","25","0","0"
"1210001","0","2","1","3000","2","10","0","0"
"1210002","0","21","0","0","3000","1210003","0","0"
"1210003","0","2","1","30000","1","15","0","0"
"1211001","0","2","1","3000","2","-10","0","0"
"1211002","0","21","0","0","3000","1211003","0","0"
"1211003","0","2","2","30000","1","-15","0","0"
"1213001","0","2","2","30000","1","-10","0","0"
"1213002","0","2","2","30000","2","-10","0","0"
"1214001","0","2","2","1500","3","-25","0","0"
"1216001","0","2","2","3000","3","-20","0","0"
