371eb4012a700ed33c50b47d9f5bd6778a18afe570e4440df33b755e22f428a5,cc07078c8390db3d860af225ddc573f0d47c01be1848a361f47aee1fa403be38,85c8da45b887ee4fa9b8dae6993c9eddef38184bfdf18ef803af4afb939a5d8f,5c38d5c6f5acab06e757e13104e65faa59b84fca3da2fb50414cd8c19aba04f2,6f4f4864a76c056c05763e3a0a1dcb4d6137935b26f6e74b0376f1dbfe2dbe2a,a40483dce1a7aea760ee5b631b4d57a81980fb3122dd3697b0caa13b5f351051
"150","10","0","1","1","150"
"400","10","0","2","1","250"
"800","10","0","3","1","400"
"150","20","0","1","2","150"
"400","20","0","2","2","250"
"800","20","0","3","2","400"
"1300","20","1","4","2","500"
"800","30","0","1","3","800"
"1800","30","0","2","3","1000"
"3000","30","0","3","3","1200"
"4400","30","1","4","3","1400"
"6000","30","2","5","3","1600"
"800","40","0","1","4","800"
"1800","40","0","2","4","1000"
"3000","40","0","3","4","1200"
"4400","40","1","4","4","1400"
"6000","40","2","5","4","1600"
"0","0","0","0","5","0"
