12f141b7cad235c72fca7982c9818bb65052344d66a5111dabb58131b6d73415,38203682f8fbb9fc6ae84dbc268cdc18c480402de54b461ae3613338c23156fc,da724c020df06d76a5acaeb2c2ad602c87d44660a8c856ecf4150a8af773a99a,cc4a58aff65d9853c0d884e1da2f76be642766908f9c6d6e70065738a588dbcb,736846e9efd8e6eb085d9ec4f9782d25cd51e48321f2b3568486a2dd776d491a,c01bdc60467f560e59a50a08ea4eeb9016243930085f2da6e5d31f4b819c1f04,684d70281ca3a0bc180e3ac6e7eba4cd5a651f89fed1041906cc148f73d8568c
"キャラクターソング\n\n時間 / 01:33\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 根岸貴幸","01:33","Lost Princess","00:58","bgm_M152","bgm_M152","1"
"キャラクターソング\n\n時間 / 01:56\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹（F.M.F）","01:56","Connecting Happy！！","01:01","bgm_M153","bgm_M153","2"
"メインクエスト\n\n時間 / 01:48\n作曲 / 本田晃弘（Cygames）\n編曲 / 伊藤翼","01:48","旅の始まり","00:00","bgm_M61_juke","bgm_M61","3"
"メインクエスト\n\n時間 / 01:35\n作曲 / 本田晃弘（Cygames）\n編曲 / カワイヒデヒロ","01:35","森を駆ける風","00:00","bgm_M62_juke","bgm_M62","4"
"クランバトル\n\n時間 / 01:18\n作曲 / 西木康智\n編曲 / 西木康智","01:18","メサルティム","00:00","bgm_M90_juke","bgm_M90","5"
"ストーリーイベントテーマ\n-｢Smiley Contrast｣アレンジ-\n\n時間 / 01:02\n作曲 / 渡部チェル\n編曲 / 加藤慶","01:02","ハツネのプレゼント大作戦","00:00","bgm_M32_juke","bgm_M32","6"
"ストーリーイベントボスバトル\n\n時間 / 02:34\n作曲 / 多田彰文\n編曲 / 多田彰文","02:34","ジズ","00:00","bgm_M47_juke","bgm_M47","7"
"キャラクターソング\n\n時間 / 01:40\n歌　 / ハツネ（大橋彩香）\n　　　シオリ（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","01:40","Smiley Contrast","00:57","bgm_M149","bgm_M149","8"
"クランバトル\n\n時間 / 00:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太","00:59","ミノタウロス","00:00","bgm_M97_juke","bgm_M97","9"
"ストーリーイベントテーマ\n-｢リトルアドベンチャー｣アレンジ-\n\n時間 / 01:00\n作曲 / 池田健仁\n編曲 / 西村真吾","01:00","リトル・リリカル・アドベンチャーズ","00:00","bgm_M98_juke","bgm_M98","10"
