821ef7f90a716134ed2a3b59dc9396dc18fb79a4d11e7742c62edd1014f814ce,7d253e45660ce8d6fb527e88f2cf8623e13292618d806bc38e7a1bfb4faf3f06,129e6a4b72a63bc00f52cdce832ac95913beff20e3f8e82b3b3f73684d598080,024bf61f73ca81e28d0da5549d5112e9fffac9259ecf4030bb360dc6f7d670f2,673a6053fe7890302737adf9ef39d05d78b2185b599b08d2325a59c1047a9f45,596c523a7adab9104f1ab7068d35cd92e35fadfc14c94ba0c9331c03dc5bfad1,e12116ded86655c05da259ef16272e203b6ec184129ec651bfbe1e7493e23c1a,9ba5d7ac32d0daeb5a7690ad5d149666a169c19f2003b92a4ea579b304fc56bc,0e27c3dba94e04b018f519b8b7a2c27fe183c3626087baca1249393698e07fd7
"10001","1","7","5","6","-1","22","53003","8"
"10002","1","7","5","6","-1","22","53002","4"
"10101","1","6","4","5","5","22","53003","6"
"10102","1","6","4","5","5","22","53002","5"
"10201","1","5","3","4","4","22","53003","5"
"10202","1","5","3","4","4","22","53002","5"
"10301","1","4","3","3","3","22","53003","4"
"10302","1","4","3","3","3","22","53002","3"
"10401","1","3","2","2","2","22","53003","3"
"10402","1","3","2","2","2","22","53002","2"
"10501","1","2","1","1","1","22","53003","2"
"10502","1","2","1","1","1","22","53002","1"
"10601","1","1","1","0","0","22","53002","2"
"10701","2","7","5","6","-1","22","53003","8"
"10702","2","7","5","6","-1","22","53002","4"
"10801","2","6","4","5","5","22","53003","6"
"10802","2","6","4","5","5","22","53002","5"
"10901","2","5","3","4","4","22","53003","5"
"10902","2","5","3","4","4","22","53002","5"
"11001","2","4","3","3","3","22","53003","4"
"11002","2","4","3","3","3","22","53002","3"
"11101","2","3","2","2","2","22","53003","3"
"11102","2","3","2","2","2","22","53002","2"
"11201","2","2","1","1","1","22","53003","2"
"11202","2","2","1","1","1","22","53002","1"
"11301","2","1","1","0","0","22","53002","2"
"11401","3","7","5","6","-1","22","53003","8"
"11402","3","7","5","6","-1","22","53002","4"
"11501","3","6","4","5","5","22","53003","6"
"11502","3","6","4","5","5","22","53002","5"
"11601","3","5","3","4","4","22","53003","5"
"11602","3","5","3","4","4","22","53002","5"
"11701","3","4","3","3","3","22","53003","4"
"11702","3","4","3","3","3","22","53002","3"
"11801","3","3","2","2","2","22","53003","3"
"11802","3","3","2","2","2","22","53002","2"
"11901","3","2","1","1","1","22","53003","2"
"11902","3","2","1","1","1","22","53002","1"
"12001","3","1","1","0","0","22","53002","2"
"12101","4","7","5","6","-1","22","53003","8"
"12102","4","7","5","6","-1","22","53002","4"
"12201","4","6","4","5","5","22","53003","6"
"12202","4","6","4","5","5","22","53002","5"
"12301","4","5","3","4","4","22","53003","5"
"12302","4","5","3","4","4","22","53002","5"
"12401","4","4","3","3","3","22","53003","4"
"12402","4","4","3","3","3","22","53002","3"
"12501","4","3","2","2","2","22","53003","3"
"12502","4","3","2","2","2","22","53002","2"
"12601","4","2","1","1","1","22","53003","2"
"12602","4","2","1","1","1","22","53002","1"
"12701","4","1","1","0","0","22","53002","2"
