e7fd888c2039ac70a0f7e3b5bfacf0e12801f95aaf2d052cbafcf0b3ad017d18,5347cecc805412548ee1f41e153decd2c0838db57eed3921b38245b84af93fc4,186325c6746f48fcac388f926d7ae3bcdeaaf1fa0b232c7c323b87e092366ac1
"1","お腹が空いたらひと休み！","8000000"
"2","夜は秘密のガールズトーク","8000001"
"3","⼩さな⼀歩、⼤きな冒険！","8000002"
"4","幸せあふれる朝のひととき","8000003"
"5","混沌が通るぞ道を退け","8000004"
"6","ワイルドライフ・アドベンチャー！","8000005"
"7","アオハル登⼭♪徒歩で来た☆","8000006"
"8","迷える悪魔の狂詩曲","8000007"
"9","『急がば舞い上がれ』ですね！","8000008"
"10","エルフたちのためのニギヤカ大冒険","8000009"
"11","前途多難の冒険レクチャー？","8000010"
"12","ナイツ・オン・ザ・シー","8000011"
"13","冒険は山あり「谷」あり","8000012"
"14","五人五色のお昼寝模様","8000013"
"15","船頭酔っぱらいて船滝を下る","8000014"
"16","天翔けるドラゴンギャング","8000015"
"17","カルミナ☆ネイチャーライブ！","8000016"
"18","進む旅路に積もる話","8000017"
"19","シング・ア・ララバイ","8000018"
"20","デスクよりハードなワーク","8000019"
"21","ガイドたちのフォトグラフ","8000020"
"22","あたらしいおともだち","8000021"
"23","勝利を信じて！","8000022"
"24","突撃！捕獲！？密林メイデン！！","8000023"
"25","白い狐は豪奢な都を見下ろす","8000024"
"26","お城に採用いたしましょう♪","8000025"
"27","異世界美人三花仙～おまけ付き～","8000026"
"28","サラサリアのミソランファ★","8000027"
