cf3584888f34f55276540c08c0534baa279bb405d232278fe484839fb88bf7a7,83b8f4205b2e4b63d898b58d20f9ff54818349061b23224c07ef0bd14c4059b6,71579b557e38edc0b9c2e0f6ba0664780eb2210b3733f7ef6c43ddecf1ac1a40,61dfb7ad10f657464b0a9ab3b1a4696929766adc90a240fbce1b952947ac33a9,b9df5830b192f8c1956f07b8f2781323312c84abf5e9b9bbc1f12825d58add83,33cea608615acd5ee5789a0c44cde5193b5084bcc1e11d020560ccab8e01c494,c6b64135b8b121a88eb9fd70123d0174ec7d9a17eb752b3c348ddead080994fa,3aa9e2358c02130037ff200b48273ff4ddc0b2612e6be8efc5da32d3e151dd2e
"101","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","短時間、障害物バリアを展開！","2001","3","0","0","0"
"102","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","中時間、スピードとジャンプ小アップ！","3","5","5","5","0"
"103","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","短時間、スピード中アップ！","1","4","6","0","0"
"104","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","中時間、障害物バリアを展開！","2001","5","0","0","0"
"105","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","中時間、スピード小アップ！","1","6","3","0","0"
"106","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","中時間、対戦相手のスピード小ダウン！","1001","6","4","0","0"
"107","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","中時間、スピードとジャンプ特大アップ！","3","5","17","16","0"
"108","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","ラウンド中、スピード中アップ！","1","40","8","0","0"
"109","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","短時間、スピード特大アップ！","1","4","30","0","0"
"110","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","ラウンド中、対戦相手が大きく減速！","1001","40","10","0","0"
"111","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","ごく短時間、障害物バリアを展開！","2001","1","0","0","0"
"112","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","短時間、先頭の対戦相手が大きく減速！","1004","4","15","0","0"
"113","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","中時間、スピード小アップ！","1","6","5","0","0"
"114","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","中時間、ジャンプ小アップ！","2","5","5","0","0"
"115","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","長時間、バリアで能力ダウンを防ぐ！","2002","7","0","0","0"
"116","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","累積で、スピード小アップ！","1","25","3","0","0"
"117","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","累積で、対戦相手が小さく減速！","1001","25","3","0","0"
"118","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","長時間、スピードとジャンプ特大アップ！","3","7","30","20","0"
"119","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","短時間、先頭の対戦相手が大きく減速！","1004","4","15","0","0"
"120","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","長時間、バリアで能力ダウンを防ぐ！","2002","7","0","0","0"
"121","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","長時間、ジャンプ特大アップ！","2","12","30","0","0"
"122","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","累積で、先頭の対戦相手が大きく減速！","1004","30","15","0","0"
"123","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","短時間大きく加速した後、ごく短時間減速！","4","4","11","2","8"
"124","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","長時間、スピード中アップ！","1","8","9","0","0"
"125","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","短時間、障害物バリアを展開！","2001","4","0","0","0"
"126","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","累積で、対戦相手が小さく減速！","1001","30","3","0","0"
"127","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","長時間、スピード特大アップ！","1","10","22","0","0"
"128","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","短時間、ジャンプ特大アップ！","2","4","30","0","0"
"129","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","短時間、対戦相手のスピード特大ダウン！","1001","3","20","0","0"
"130","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","短時間、スピード特大アップ！","1","4","30","0","0"
