c459b22acd44c1183486bda23ca88e289b644d03263cba0c2a30a57692e35ebe,cf179139ffa63a31f3f26d7e8b38a13f587c953cc748435f471b2771d97319ca,2d75d2e28a981f2efd71c634997930b4cbf99a069745d960cf6a70ffa62091b9,1c02e8d8212067aee995c21fc2edd9db7af0549baa8c6caf2193a467d7983c0b,0285d57d7137611a4b7462bbe4bb7c4d5788cbac63a44c9ab6c56f359adf6ea2,2e1c24ba659d0b6b9caee57f5550688bf0b06eb47398e5624218d3cd6becbc89
"3001","212","803100263","2146041","1","211"
"3002","212","803100263","2146042","1","211"
"3003","212","803100263","2146043","1","211"
"3004","212","803100263","2146044","1","211"
"3006","212","803100272","2147041","1","213"
"3007","212","803100272","2147042","1","213"
"30011","313","803100253","2145039","1","202"
"30012","302","803100253","2145040","0","105"
"30021","311","803100256","2145069","1","204"
"30022","312","803100256","2145070","1","205"
"30031","310","803100259","2145099","1","212"
"30032","301","803100259","2145100","0","107"
"30041","307","803100262","2146039","0","110"
"30042","302","803100262","2146040","0","105"
"30051","314","803100267","2146081","1","203"
"30061","312","803100269","2147019","1","205"
"30062","303","803100269","2147020","0","106"
"30071","313","803100271","2147039","1","202"
"30072","310","803100271","2147040","1","212"
"300101","100","803100251","2145011","0","104"
"300102","100","803100251","2145012","0","104"
"300103","102","803100251","2145013","0","105"
"300104","100","803100251","2145014","0","104"
"300105","102","803100251","2145015","0","105"
"300106","103","803100251","2145016","0","106"
"300107","102","803100251","2145017","0","105"
"300108","103","803100251","2145018","0","106"
"300109","111","803100251","2145019","1","204"
"300110","100","803100251","2145020","0","104"
"300111","100","803100252","2145021","0","104"
"300112","102","803100252","2145022","0","105"
"300113","100","803100252","2145023","0","104"
"300114","102","803100252","2145024","0","105"
"300115","103","803100252","2145025","0","106"
"300116","102","803100252","2145026","0","105"
"300117","103","803100252","2145027","0","106"
"300118","111","803100252","2145028","1","204"
"300119","100","803100252","2145029","0","104"
"300120","100","803100252","2145030","0","104"
"300121","102","803100253","2145031","0","105"
"300122","100","803100253","2145032","0","104"
"300123","102","803100253","2145033","0","105"
"300124","112","803100253","2145034","1","208"
"300125","110","803100253","2145035","1","212"
"300126","100","803100253","2145036","0","104"
"300127","102","803100253","2145037","0","105"
"300128","103","803100253","2145038","0","106"
"300201","101","803100254","2145041","0","107"
