ecee998accdd7e41f1a3e2e56bcf694c578c6bf404f2c51eb705031c1a380d2b,ce1c041dc4f306a3270198ee5b37b0f9ce483db5c9b1a72aae039dc7ceb91148,1403c7df1eec199d00b3656a07dd7ffbd4bf52d45eec1d6249ed2d050e9bcc78,7c65f3ed9c8b00daa37ec76e81e4a291e20ca0d772cb942af2f5bd2827ea0e8c,7f1896ab3ccafc8dbc3d2b22471131bd2f8fa1949101b9e346c8d5e4b4b94d18,304db478eb2035d8215be14a1f30f15effd3734feabfbc6bacd2c09ba307d161,80a80dda1d28773c760c1a9083614c24052711a962916eca7b6cdedc382d7913,d405b8d0bffcb0cbd55cf5e1034d4df51020a840788b3405976ba7e59564f5ae,a07fee2907f63f271d82374c5c68fae9dfdff59a1112e21cbf397db994b236b0,d5ab78bc7e323f1c61ad503b3353f71c57728701eeddca698daab55be218d4cf,c573d7f1c7055d51f654ed0a9620c703649bdcfddeda42af97c2a5d8d2797fbe,cbdbb1e4aee80aad552268b9a8e46972dd28a7856757f517c0ccca42db560620
"0","1005801","0","0","0","0.8","4","0","1","1","100580101","0"
"0","1005801","0","vo_ske_0101","0","0","2","vo_ske","2","0","100580102","0"
"60","1005801","1","0","0","0","1","0","3","0","100580103","0.705"
"0","1005801","0","0","0","1.549","4","0","4","1","100580104","0"
"304","1005801","1","0","60","0","1","0","5","0","100580105","1.807"
"0","1005801","0","0","0","3.027","4","0","6","1","100580106","0"
"140","1005801","2","0","0","0","1","0","7","0","100580107","1.141"
"0","1005801","0","0","0","1.9","4","0","8","1","100580108","0"
"380","1005801","2","0","140","0","1","0","9","0","100580109","1.78"
"0","1005801","0","0","0","4.544","4","0","10","1","100580110","0"
"0","1005801","0","vo_ske_0102","0","0","2","vo_ske","11","0","100580111","0"
"195","1005801","3","0","0","0","1","0","12","0","100580112","1.322"
"0","1005801","0","0","0","2.917","4","0","13","1","100580113","0"
"0","1005801","0","vo_ske_0103","0","0","2","vo_ske","14","0","100580114","0"
"228","1005801","4","0","0","0","1","0","15","0","100580115","1.932"
"0","1005801","0","0","0","2.582","4","0","16","1","100580116","0"
"367","1005801","4","0","228","0","1","0","17","0","100580117","0.996"
"0","1005801","0","0","0","3.856","4","0","18","1","100580118","0"
"0","1005801","0","vo_ske_0104","0","0","2","vo_ske","19","0","100580119","0"
"102","1005801","5","0","0","0","1","0","20","0","100580120","0.67"
"0","1005801","0","0","0","1.785","4","0","21","1","100580121","0"
"364","1005801","5","0","102","0","1","0","22","0","100580122","2.253"
"0","1005801","0","0","0","2.253","4","0","23","1","100580123","0"
"120","1005801","6","0","0","0","1","0","24","0","100580124","0.962"
"0","1005801","0","0","0","2.244","4","0","25","1","100580125","0"
"334","1005801","6","0","120","0","1","0","26","0","100580126","1.707"
"0","1005801","0","0","0","4.225","4","0","27","1","100580127","0"
"0","1005801","0","vo_ske_0105","0","0","2","vo_ske","28","0","100580128","0"
"168","1005801","7","0","0","0","1","0","29","0","100580129","1.256"
"0","1005801","0","0","0","3.119","4","0","30","1","100580130","0"
"0","1005801","0","vo_ske_0106","0","0","2","vo_ske","31","0","100580131","0"
"89","1005801","8","0","0","0","1","0","32","0","100580132","0.702"
"0","1005801","0","0","0","1.386","4","0","33","1","100580133","0"
"278","1005801","8","0","89","0","1","0","34","0","100580134","1.352"
"0","1005801","0","0","0","2.053","4","0","35","1","100580135","0"
"383","1005801","8","0","278","0","1","0","36","0","100580136","0.733"
"0","1005801","0","0","0","1.868","4","0","37","1","100580137","0"
"195","1005801","9","0","0","0","1","0","38","0","100580138","1.764"
"0","1005801","0","0","0","2.905","4","0","39","1","100580139","0"
"314","1005801","9","0","195","0","1","0","40","0","100580140","0.969"
"0","1005801","0","0","0","0.969","4","0","41","1","100580141","0"
"115","1005801","10","0","0","0","1","0","42","0","100580142","0.808"
"0","1005801","0","0","0","2.8","4","0","43","1","100580143","0"
"0","1005801","0","vo_ske_0107","0","0","2","vo_ske","44","0","100580144","0"
"52","1005801","11","0","0","0","1","0","45","0","100580145","0.25"
"0","1005801","0","0","0","0.25","4","0","46","1","100580146","0"
"280","1005801","11","0","52","0","1","0","47","0","100580147","1.817"
"0","1005801","0","0","0","3.312","4","0","48","1","100580148","0"
"372","1005801","11","0","280","0","1","0","49","0","100580149","0.666"
"0","1005801","0","0","0","1.17","4","0","50","1","100580150","0"
"217","1005801","12","0","0","0","1","0","51","0","100580151","1.616"
"0","1005801","0","0","0","4.15","4","0","52","1","100580152","0"
"0","1005801","0","vo_ske_0108","0","0","2","vo_ske","53","0","100580153","0"
"142","1005801","13","0","0","0","1","0","54","0","100580154","1.198"
"0","1005801","0","0","0","2.442","4","0","55","1","100580155","0"
"267","1005801","14","0","0","0","1","0","56","0","100580156","1.934"
"0","1005801","0","0","0","4.434","4","0","57","1","100580157","0"
"0","1005802","0","0","0","0.8","4","0","1","1","100580201","0"
"0","1005802","0","vo_ske_0201","0","0","2","vo_ske","2","0","100580202","0"
"130","1005802","1","0","0","0","1","0","3","0","100580203","1.122"
"0","1005802","0","0","0","1.689","4","0","4","1","100580204","0"
"327","1005802","1","0","130","0","1","0","5","0","100580205","1.13"
"0","1005802","0","0","0","2.883","4","0","6","1","100580206","0"
"0","1005802","0","vo_ske_0202","0","0","2","vo_ske","7","0","100580207","0"
"119","1005802","2","0","0","0","1","0","8","0","100580208","1.057"
"0","1005802","0","0","0","1.962","4","0","9","1","100580209","0"
"266","1005802","2","0","119","0","1","0","10","0","100580210","1.166"
