08b1975edd7394ea992005866e99c111ea10799a6378d9862df4479752960062,f40d8397597aa1d968176dc66c5f0976d86155265b4fa794cfd809a04d8217a3,0fad56d2dbbfd56025fc858fe4bdc3d9198d3bc4d660ba808929e9f904deaf95,2295300526c397185bc3dd26c27cca01836ae38d96720375343634a37580cf38,7e8f86b3273d11814a9279079f1afa283012c539c695624e6cc7f3d8d1b3b0ca,b6f7a7b2845587d298120886684a232920e28ee10d0a7bb0ed870db143d58805,8f512d83eaf5e4c4ddb15372a404922b184c3b3c7613e0537258bb55cccbacbd,ab8d4d14098ab64e6249edeaaee5550c5103ec1a77462d677cc04dc7de621700,cea7c096602e370c6b7c0aa7603e6067cd041b08dd64b1d159af3d15ae805cc5,aeb6ae01e85511f90d9d41a51b896f5344068fff2967fcf55fbbd374276ea8fa,e8b03d80dcc76b84b88f787eb57a72fdd534d55f3143df856734ed052f1d5e83,58bd447b1cc7cd1db8e8254bcff5f186b3aa333d7a3fdceac6a4505b214f8616,7beba2b7a20652e77ea7037dd7cb8ea624d7c179b5832d5874566b1e9633e1dd,5db7475bb956ec430eea3826f27ae6b6e61fe962201cb7186609d911e5a48d74,0c227e46710fd1e575ef5144392a768b8c126221876dfa03585b206c2d9aa99c,c5dfe297cc876aaab0549c96cd565bcfc4a0ee217f02a879eae9778b389a9e5e,1ceb95243bb4d87c4be0f454784db73426127d1a3ac0ad922786a36dde853293,7016fd33276bbe83cde88326673a8952f47da023e1ea585223be276a8231b81b
"1","150","5","0","0","94002","20","150000","8","22003","91002","20003","2","12","0","2","1","5"
"6","145","2","0","0","94002","15","100000","8","22003","91002","20003","2","12","0","2","2","9"
"10","140","5","0","0","94002","11","80000","8","22002","91002","20003","2","12","0","2","3","19"
"20","130","5","0","0","94002","10","80000","8","22002","91002","20003","2","12","0","2","4","29"
"30","120","4","0","0","94002","9","70000","8","22002","91002","20003","2","12","0","2","5","39"
"40","110","4","0","0","94002","8","70000","8","22002","91002","20003","2","12","0","2","6","49"
"50","100","3","0","0","94002","7","60000","8","22002","91002","20003","2","12","0","2","7","99"
"100","80","2","0","0","94002","2","40000","8","22002","91002","20003","2","12","0","2","8","499"
"500","50","1","0","0","94002","7","20000","8","22002","91002","20002","2","12","0","2","9","999"
"1000","20","3","0","0","94002","4","16000","8","22001","91002","20002","2","12","0","2","10","4999"
"5000","15","2","0","0","94002","3","9000","8","22001","91002","20002","2","12","0","2","11","9999"
"10000","10","1","0","0","94002","8","4000","8","22001","91002","20001","2","12","0","2","12","11999"
"12000","5","1","0","0","94002","7","3000","8","22001","91002","20001","2","12","0","2","13","13999"
"14000","4","1","0","0","94002","6","2000","8","22001","91002","20001","2","12","0","2","14","14999"
"15000","3","1","0","0","94002","5","1800","8","22001","91002","20001","2","12","0","2","15","30000"
