006d03d762b23f028f78d144c9910769a0e5056a5bc70d270c1285b0dcf1841f,a99586d7b4744a36b189c4f16fda5160dca6c9731273103d3d315d0fad0b698c,64d25ad063aeea1d2a520b4e5fc1ca84c3fcb1e60b5d9f234d1ba2104003bcce,990be0aa854bc050a7314eecaf0f7a2c8601d2d138ee8c6548858fec0e36e4a9
"1061002","1061001","2","1061101"
"1061003","1061001","2","1061102"
"1061012","1061001","2","1061111"
"1067001","1067001","2","1067101"
"1068001","1068001","2","1068103"
"1068002","1068001","2","1068101"
"1068003","1068001","2","1068102"
"1068012","1068001","2","1068111"
"1069001","1069001","2","1069101"
"1158001","1158001","1","1158100"
"1158002","1158001","2","1158101"
"1158003","1158001","2","1158102"
"1158012","1158001","2","1158111"
"1158203","1158001","2","1158102"
"1164001","1164001","2","1164101"
"1182001","1182001","2","1182101"
"1185001","1185001","2","1185101"
"1208002","1208001","2","1208101"
"1208012","1208001","2","1208111"
"1220001","1220001","2","1220101"
"1223002","1223001","2","1223101"
"1223003","1223001","2","1223102"
"1223012","1223001","2","1223111"
"1227001","1227001","2","1227101"
"1230001","1230001","2","1230101"
"1250002","1250001","2","1250101"
"1250003","1250001","2","1250102"
"1250012","1250001","2","1250111"
"1258001","1258001","2","1258101"
"1260001","1260001","2","1260101"
"1261001","1261001","2","1261101"
"1262001","1262001","2","1262101"
"1264001","1264001","2","1264103"
"1264002","1264001","2","1264101"
"1264003","1264001","2","1264102"
"1265001","1265001","2","1265101"
"1290001","1290001","2","1290101"
"1293001","1293001","2","1293101"
"1294001","1294001","2","1294101"
"1296001","1296001","2","1296101"
"1297001","1297001","2","1297101"
"1312001","1312001","2","1312101"
