ae206412440136ba053d9fabe4450ea197a7a625154edf0b30edbb47371514cd,c39dc21c9dc73584e6ebe0d6c8ffb50549c236655f1965294e872e0380d6a83e,397be34275213a52a927dfd8de8cc3c638d08aa5b625975134b83543b2cd7bff,44c3e835dcecfae13988c48e677f5eee78a7114ce037b106a5d54dc6d68e45e3,b6fadc4eeb0dd9b85a8857ea7a038c3c07e2b2353ea04e5b3be3ffdbf4220635,eda296149d70f3696473bbc140b04a9747e0b245aae42090a50a86c583dcb2f0
"50000","50000","1","1","26202","2"
"10","10","1","2","90013","2"
"0","1","1","3","26203","2"
"55000","55000","2","4","26202","2"
"10","10","2","5","90013","2"
"0","1","2","6","26203","2"
"60000","60000","3","7","26202","2"
"10","10","3","8","90013","2"
"0","1","3","9","26203","2"
"65000","65000","4","10","26202","2"
"10","10","4","11","90013","2"
"0","1","4","12","26203","2"
"70000","70000","5","13","26202","2"
"10","10","5","14","90013","2"
"0","1","5","15","26203","2"
"75000","75000","6","16","26202","2"
"10","10","6","17","90013","2"
"0","1","6","18","26203","2"
"80000","80000","7","19","26202","2"
"10","10","7","20","90013","2"
"0","1","7","21","26203","2"
"85000","85000","8","22","26202","2"
"10","10","8","23","90013","2"
"0","1","8","24","26203","2"
