348b04ea703fc1271888d5e5e9251b9b8948bc46a77923cb2e348b50c2911cd3,6e2ab73b61199c77887d48a98b5373878f9678938d9dd24f5cdcad314d5dc72f,6ecbf2799a3d40752884f5d46b5c426d373b0246e731ada9c53e1506c494b915,828abc6c87305b4452e724087ce501c25d53845beea389cc4cfc7a59012ada9e,2afbe7ab316d510f8bf8cab5b79d8948aaf9dd23a338869eb133791f3efa07e3
"150000","12","94002","31000101","310001011"
"10","2","22003","31000101","310001012"
"500000","12","94002","31000102","310001021"
"10","2","22003","31000102","310001022"
"500000","12","94002","31000103","310001031"
"5","4","140001","31000103","310001032"
"5","2","25001","31000103","310001033"
"500000","12","94002","31000104","310001041"
"10","2","22003","31000104","310001042"
"500000","12","94002","31000105","310001051"
"5","4","140001","31000105","310001052"
"5","2","25001","31000105","310001053"
"500000","12","94002","31000106","310001061"
"10","2","22003","31000106","310001062"
"500000","12","94002","31000107","310001071"
"5","4","140001","31000107","310001072"
"5","2","25001","31000107","310001073"
"500000","12","94002","31000108","310001081"
"10","2","22003","31000108","310001082"
"500000","12","94002","31000109","310001091"
"5","4","140001","31000109","310001092"
"5","2","25001","31000109","310001093"
"150000","12","94002","31001101","310011011"
"5","2","22003","31001101","310011012"
"150000","12","94002","31001102","310011021"
"5","2","22003","31001102","310011022"
"150000","12","94002","31001103","310011031"
"5","2","22003","31001103","310011032"
"150000","12","94002","31001111","310011111"
"5","2","22003","31001111","310011112"
"200000","12","94002","31001112","310011121"
"5","2","22003","31001112","310011122"
"150000","12","94002","31001201","310012011"
"5","2","22003","31001201","310012012"
"150000","12","94002","31001202","310012021"
"5","2","22003","31001202","310012022"
"150000","12","94002","31001203","310012031"
"5","2","22003","31001203","310012032"
"150000","12","94002","31001211","310012111"
"5","2","22003","31001211","310012112"
"200000","12","94002","31001212","310012121"
"5","2","22003","31001212","310012122"
"150000","12","94002","31001301","310013011"
"5","2","22003","31001301","310013012"
"150000","12","94002","31001302","310013021"
"5","2","22003","31001302","310013022"
"150000","12","94002","31001303","310013031"
"5","2","22003","31001303","310013032"
"150000","12","94002","31001311","310013111"
"5","2","22003","31001311","310013112"
"200000","12","94002","31001312","310013121"
"5","2","22003","31001312","310013122"
"150000","12","94002","31001401","310014011"
"5","2","22003","31001401","310014012"
"150000","12","94002","31001402","310014021"
"5","2","22003","31001402","310014022"
"150000","12","94002","31001403","310014031"
"5","2","22003","31001403","310014032"
"150000","12","94002","31001411","310014111"
"5","2","22003","31001411","310014112"
"200000","12","94002","31001412","310014121"
"5","2","22003","31001412","310014122"
"150000","12","94002","31002101","310021011"
"5","2","22003","31002101","310021012"
"150000","12","94002","31002102","310021021"
"5","2","22003","31002102","310021022"
"150000","12","94002","31002103","310021031"
"5","2","22003","31002103","310021032"
"50","8","91002","31002104","310021041"
"150000","12","94002","31002111","310021111"
"5","2","22003","31002111","310021112"
"200000","12","94002","31002112","310021121"
"5","2","22003","31002112","310021122"
"100","8","91002","31002113","310021131"
"150000","12","94002","31003101","310031011"
"5","2","22003","31003101","310031012"
"150000","12","94002","31003102","310031021"
"5","2","22003","31003102","310031022"
"150000","12","94002","31003103","310031031"
"5","2","22003","31003103","310031032"
"50","8","91002","31003104","310031041"
"150000","12","94002","31003111","310031111"
"5","2","22003","31003111","310031112"
"200000","12","94002","31003112","310031121"
"5","2","22003","31003112","310031122"
"100","8","91002","31003113","310031131"
"150000","12","94002","31003201","310032011"
"5","2","22003","31003201","310032012"
"150000","12","94002","31003202","310032021"
"5","2","22003","31003202","310032022"
"150000","12","94002","31003203","310032031"
"5","2","22003","31003203","310032032"
"50","8","91002","31003204","310032041"
"150000","12","94002","31003211","310032111"
"5","2","22003","31003211","310032112"
"200000","12","94002","31003212","310032121"
"5","2","22003","31003212","310032122"
"100","8","91002","31003213","310032131"
