b0c1d36497c98e77697002fe3722f8d27dd7cb371aae42102eeacaae5ee99dfa,717bbccb530aac9458a6642aea8c43c64dbd96e3d599b23e7795a4b84cd030fa,bc295b645072ca64a5f18074c53d2e95f27539fa51af79c0a43522eaf5e2103d,62ee6cdbfa52ff96c93c47337749acc2ee2fb38f60fb8bbf304ef374f3766a1b,57b242242c0a4191c1739c7d15b1000b7289a63539fd56cc2431bb27898dcb24,fec37448d05fb4153d651f4aee97d4902b2b0ff62deec51ba6f3f0aedec3e397,276f145221bfdac5257c68ef8f968f3c66c8abaac583b4a9cb0c12e85bddec8b,170449c0d3c1d88ff37b2d6cf5d908fd573c82a82ba662720f582fd03d8e100e,a5240c956a5134d96df8f7effba331390d484f6660a0ff3a80bb18554264db2c,684b49d2ae0d76ad5a38a0dfed1bad28c10e906fb45ecbb2e40f9ab6d2aa9912,022703393f24c2deaa6595a3689184df4f9d631191337400d63acbcf390a074e,62a389b9ebdd66e44b59eeea214b03fd90c3886890531279f018feca73b8a976
"0","0","1005801","0","4","1","0","0.8","0","0","1","100580101"
"0","0","1005801","0","2","2","0","0","vo_ske_0101","vo_ske","0","100580102"
"0","1","1005801","60","1","3","0.705","0","0","0","0","100580103"
"0","0","1005801","0","4","4","0","1.549","0","0","1","100580104"
"60","1","1005801","304","1","5","1.807","0","0","0","0","100580105"
"0","0","1005801","0","4","6","0","3.027","0","0","1","100580106"
"0","2","1005801","140","1","7","1.141","0","0","0","0","100580107"
"0","0","1005801","0","4","8","0","1.9","0","0","1","100580108"
"140","2","1005801","380","1","9","1.78","0","0","0","0","100580109"
"0","0","1005801","0","4","10","0","4.544","0","0","1","100580110"
"0","0","1005801","0","2","11","0","0","vo_ske_0102","vo_ske","0","100580111"
"0","3","1005801","195","1","12","1.322","0","0","0","0","100580112"
"0","0","1005801","0","4","13","0","2.917","0","0","1","100580113"
"0","0","1005801","0","2","14","0","0","vo_ske_0103","vo_ske","0","100580114"
"0","4","1005801","228","1","15","1.932","0","0","0","0","100580115"
"0","0","1005801","0","4","16","0","2.582","0","0","1","100580116"
"228","4","1005801","367","1","17","0.996","0","0","0","0","100580117"
"0","0","1005801","0","4","18","0","3.856","0","0","1","100580118"
"0","0","1005801","0","2","19","0","0","vo_ske_0104","vo_ske","0","100580119"
"0","5","1005801","102","1","20","0.67","0","0","0","0","100580120"
"0","0","1005801","0","4","21","0","1.785","0","0","1","100580121"
"102","5","1005801","364","1","22","2.253","0","0","0","0","100580122"
"0","0","1005801","0","4","23","0","2.253","0","0","1","100580123"
"0","6","1005801","120","1","24","0.962","0","0","0","0","100580124"
"0","0","1005801","0","4","25","0","2.244","0","0","1","100580125"
"120","6","1005801","334","1","26","1.707","0","0","0","0","100580126"
"0","0","1005801","0","4","27","0","4.225","0","0","1","100580127"
"0","0","1005801","0","2","28","0","0","vo_ske_0105","vo_ske","0","100580128"
"0","7","1005801","168","1","29","1.256","0","0","0","0","100580129"
"0","0","1005801","0","4","30","0","3.119","0","0","1","100580130"
"0","0","1005801","0","2","31","0","0","vo_ske_0106","vo_ske","0","100580131"
"0","8","1005801","89","1","32","0.702","0","0","0","0","100580132"
"0","0","1005801","0","4","33","0","1.386","0","0","1","100580133"
"89","8","1005801","278","1","34","1.352","0","0","0","0","100580134"
"0","0","1005801","0","4","35","0","2.053","0","0","1","100580135"
"278","8","1005801","383","1","36","0.733","0","0","0","0","100580136"
"0","0","1005801","0","4","37","0","1.868","0","0","1","100580137"
"0","9","1005801","195","1","38","1.764","0","0","0","0","100580138"
"0","0","1005801","0","4","39","0","2.905","0","0","1","100580139"
"195","9","1005801","314","1","40","0.969","0","0","0","0","100580140"
