956fca3e9c70b52980df404d36c3b2723575d0604c3874e3d84494ebfec88e1b,c51621761ad949ceaf2a3d967b72bb41c11d23834458314efe51007067304f40,7f61347f78eb264770bead6a7ac025aa5b4911ca49b078dd4b9173b616159f77,5dfed44d64659055bd98b1c25077dc87a92cd2f9a4f661553fe0a83ab7ad7f7a,3b594db834cb225c79c01d4320929f21e28637c92699a22e9153001af1b6c5e6
"12","100101","94002","3000000","1"
"2","100101","20004","300","2"
"2","100102","90008","1000","3"
"2","100103","25001","6","4"
"12","100104","94002","1000000","5"
"2","100104","20004","300","6"
"2","100105","90008","1000","7"
"2","100106","25001","6","8"
"8","100107","91002","40","9"
"12","100107","94002","1000000","10"
"2","100107","20004","300","11"
"2","100108","90008","1000","12"
"2","100109","41000","1","13"
"2","100109","25001","7","14"
"12","100110","94002","1000000","15"
"2","100110","20004","400","16"
"2","100111","90008","1500","17"
"8","100112","91002","40","18"
"2","100112","25001","7","19"
"12","100113","94002","1000000","20"
"2","100113","20004","400","21"
"2","100114","90008","1500","22"
"2","100115","41000","1","23"
"2","100115","25001","7","24"
"12","100116","94002","1000000","25"
"2","100116","20004","500","26"
"8","100117","91002","40","27"
"2","100117","90008","1500","28"
"12","100118","94002","2000000","29"
"2","100118","25001","8","30"
"2","100118","90008","2000","31"
"12","100201","94002","3000000","32"
"2","100201","20004","300","33"
"2","100202","90008","1000","34"
"2","100203","25001","12","35"
"12","100204","94002","1000000","36"
"2","100204","20004","300","37"
"2","100205","90008","1000","38"
"2","100206","25001","10","39"
"8","100207","91002","40","40"
"12","100207","94002","1000000","41"
"2","100207","20004","300","42"
"2","100208","90008","1000","43"
"2","100209","41000","1","44"
"2","100209","25001","10","45"
"12","100210","94002","1000000","46"
"2","100210","20004","400","47"
"2","100211","90008","1500","48"
"8","100212","91002","40","49"
"2","100212","25001","9","50"
"12","100213","94002","1000000","51"
"2","100213","20004","400","52"
"2","100214","90008","1500","53"
"2","100215","41000","1","54"
"12","100216","94002","1000000","55"
"2","100216","20004","500","56"
"8","100217","91002","40","57"
"2","100217","90008","1500","58"
"12","100218","94002","2000000","59"
"2","100218","90008","2000","60"
"12","100301","94002","3000000","61"
"2","100301","20004","300","62"
"2","100302","90008","1000","63"
"2","100303","25001","12","64"
"12","100304","94002","1000000","65"
"2","100304","20004","300","66"
"2","100305","90008","1000","67"
"2","100306","25001","10","68"
"8","100307","91002","40","69"
"12","100307","94002","1000000","70"
"2","100307","20004","300","71"
"2","100308","90008","1000","72"
"2","100309","41000","1","73"
"2","100309","25001","10","74"
"12","100310","94002","1000000","75"
"2","100310","20004","400","76"
"2","100311","90008","1500","77"
"8","100312","91002","40","78"
"2","100312","25001","9","79"
"12","100313","94002","1000000","80"
"2","100313","20004","400","81"
"2","100314","90008","1500","82"
"2","100315","41000","1","83"
"12","100316","94002","1000000","84"
"2","100316","20004","500","85"
"8","100317","91002","40","86"
"2","100317","90008","1500","87"
"12","100318","94002","2000000","88"
"2","100318","90008","2000","89"
"12","100401","94002","3000000","90"
"2","100401","20004","300","91"
"2","100402","90008","1000","92"
"2","100403","25001","12","93"
"12","100404","94002","1000000","94"
"2","100404","20004","300","95"
"2","100405","90008","1000","96"
"2","100406","25001","10","97"
"8","100407","91002","40","98"
"12","100407","94002","1000000","99"
"2","100407","20004","300","100"
"2","100408","90008","1000","101"
"2","100409","41000","1","102"
"2","100409","25001","10","103"
"12","100410","94002","1000000","104"
"2","100410","20004","400","105"
"2","100411","90008","1500","106"
"8","100412","91002","40","107"
"2","100412","25001","9","108"
"12","100413","94002","1000000","109"
"2","100413","20004","400","110"
"2","100414","90008","1500","111"
"2","100415","41000","1","112"
"12","100416","94002","1000000","113"
"2","100416","20004","500","114"
"8","100417","91002","40","115"
"2","100417","90008","1500","116"
"12","100418","94002","2000000","117"
"2","100418","90008","2000","118"
"12","100501","94002","3000000","119"
"2","100501","20004","300","120"
"2","100502","90008","1000","121"
"2","100503","25001","12","122"
"12","100504","94002","1000000","123"
"2","100504","20004","300","124"
"2","100505","90008","1000","125"
"2","100506","25001","10","126"
"8","100507","91002","40","127"
"12","100507","94002","1000000","128"
"2","100507","20004","300","129"
"2","100508","90008","1000","130"
"2","100509","41000","1","131"
"2","100509","25001","10","132"
"12","100510","94002","1000000","133"
"2","100510","20004","400","134"
"2","100511","90008","1500","135"
"8","100512","91002","40","136"
"2","100512","25001","9","137"
"12","100513","94002","1000000","138"
"2","100513","20004","400","139"
"2","100514","90008","1500","140"
"2","100515","41000","1","141"
"12","100516","94002","1000000","142"
"2","100516","20004","500","143"
"8","100517","91002","40","144"
"2","100517","90008","1500","145"
"12","100518","94002","2000000","146"
"2","100518","90008","2000","147"
