079d7324ad16a1d7f9758bdf094a17e7033ec037c6507009f88b9ab1b38615c6,44f2afcbdff16f9e74c4fd3925118b121f1a0a08b3145118756028f4935f0fae,5e84c54c6e5cf2dc511309edb5aa09d6b0f9c94689b4172de4042c60f1065b7a,38e80cbb3efa7d05c40c601474a42a93b564da6f4d16091c921d203d55773ea1,305a479acd63fe9b3b6af19de1930474d4e8359653d4e40ca8d8df1d33b8ca46,4a263e3cc075e936a7a76905873cddae2af282f7d4cb1053b13834fab2d18bbd,4d00e2605e7762a13e2816a0fd2822492bb1583bab8608b492bc78d681197e59,499bb11d800d506b5d526b718ba12e61504fb759aebb79c5c9fc12444293ca26
"111","1","2","3","4","5","1","48"
"121","1","2","3","4","5","1","96"
"131","1","2","3","4","5","1","144"
"141","1","2","3","4","5","1","192"
"151","1","2","3","4","5","1","240"
"211","1","0","0","0","0","2","84"
"221","1","0","0","0","0","2","168"
"231","1","0","0","0","0","2","252"
"241","1","0","0","0","0","2","336"
"251","1","0","0","0","0","2","420"
"311","3","0","0","0","0","5","36"
"321","3","0","0","0","0","5","72"
"331","3","0","0","0","0","5","108"
"341","3","0","0","0","0","5","144"
"351","3","0","0","0","0","5","180"
"411","4","0","0","0","0","4","84"
"421","4","0","0","0","0","4","168"
"431","4","0","0","0","0","4","252"
"441","4","0","0","0","0","4","336"
"451","4","0","0","0","0","4","420"
"511","2","0","0","0","0","4","84"
"521","2","0","0","0","0","4","168"
"531","2","0","0","0","0","4","252"
"541","2","0","0","0","0","4","336"
"551","2","0","0","0","0","4","420"
"611","4","0","0","0","0","2","84"
"621","4","0","0","0","0","2","168"
"631","4","0","0","0","0","2","252"
"641","4","0","0","0","0","2","336"
"651","4","0","0","0","0","2","420"
"711","5","0","0","0","0","1","56"
"721","5","0","0","0","0","1","112"
"731","5","0","0","0","0","1","168"
"741","5","0","0","0","0","1","224"
"751","5","0","0","0","0","1","280"
"811","2","0","0","0","0","101","1"
"911","3","0","0","0","0","2","84"
"921","3","0","0","0","0","2","168"
"931","3","0","0","0","0","2","252"
"941","3","0","0","0","0","2","336"
"951","3","0","0","0","0","2","420"
"1011","1","0","0","0","0","101","1"
"1111","2","0","0","0","0","5","36"
"1121","2","0","0","0","0","5","72"
"1131","2","0","0","0","0","5","108"
"1141","2","0","0","0","0","5","144"
"1151","2","0","0","0","0","5","180"
"1211","5","0","0","0","0","4","84"
"1221","5","0","0","0","0","4","168"
"1231","5","0","0","0","0","4","252"
"1241","5","0","0","0","0","4","336"
"1251","5","0","0","0","0","4","420"
"1311","1","0","0","0","0","2","86"
"1321","1","0","0","0","0","2","172"
"1331","1","0","0","0","0","2","258"
"1341","1","0","0","0","0","2","344"
"1351","1","0","0","0","0","2","430"
"1411","3","0","0","0","0","1","44"
"1421","3","0","0","0","0","1","88"
"1431","3","0","0","0","0","1","132"
"1441","3","0","0","0","0","1","176"
"1451","3","0","0","0","0","1","220"
"1511","4","0","0","0","0","5","36"
