98e1cd20370d60683509f117205230a08c950570f644c5329fb6acee9d959a87,fdc8f2373e6de0e55e809f87e19d00ae68a66fed8e32291394b94de8d9fdb190,234864a4f83eedd5bd60c03c0160d860483485935f9f87d087253afedb2af3f4,7155aaf6934a847ab84d7d5db0061b9c38fe5d6ee0c615b1b1fec88ec6a80f6b,842e2cdc455e9caa5997da35aa8f8c86a4e10e3e6e82249dbde86c70c38fae5a,05145c4535cfcdaf31d13cb393819b26e26b99490e6dc5697c42a3acdbf92bc9
"-1480","1","1","-1480","2816","11"
"-1302","1","1","-1400","2816","21"
"-1263","1","1","-1302","2816","31"
"-1224","1","1","-1263","2816","41"
"-1185","1","1","-1224","2816","51"
"-1146","1","1","-1185","2816","61"
"-1146","1","1","-1146","2816","71"
"-1146","1","1","-1146","2816","81"
"-1107","1","1","-1146","2816","91"
"-1068","1","1","-1107","2816","101"
"-1029","1","1","-1068","2816","111"
"-1029","1","1","-1029","2816","121"
"-1029","1","1","-1029","2816","131"
"-1029","1","1","-1029","2816","141"
"-988","1","1","-1029","2816","151"
"-947","1","1","-988","2816","161"
"-906","1","1","-947","2816","171"
"-865","1","1","-906","2816","181"
"-865","1","1","-865","2816","191"
"-865","1","1","-865","2816","201"
"-824","1","1","-865","2816","211"
"-783","1","1","-824","2816","221"
"-742","1","1","-783","2816","231"
"-701","1","1","-742","2816","241"
"-660","1","1","-701","2816","251"
"-619","1","1","-660","2816","261"
"-619","1","1","-619","2816","271"
"-619","1","1","-619","2816","281"
"-619","1","1","-619","2816","291"
"-578","1","1","-619","2816","301"
"-537","1","1","-578","2816","311"
"-496","1","1","-537","2816","321"
"-496","1","1","-496","2816","331"
"-496","1","1","-496","2816","341"
"-496","1","1","-496","2816","351"
"-455","1","1","-496","2816","361"
"-414","1","1","-455","2816","371"
"-373","1","1","-414","2816","381"
"-332","1","1","-373","2816","391"
"-332","1","1","-332","2816","401"
"-332","1","1","-332","2816","411"
"-200","1","1","-332","2816","421"
"-1181","2","2","-1246","2816","431"
"-1152","2","2","-1181","2816","441"
"-1152","2","2","-1152","2816","451"
"-1123","2","2","-1152","2816","461"
"-1094","2","2","-1123","2816","471"
"-1094","2","2","-1094","2816","481"
"-1065","2","2","-1094","2816","491"
"-1065","2","2","-1065","2816","501"
"-1036","2","2","-1065","2816","511"
"-1036","2","2","-1036","2816","521"
"-1007","2","2","-1036","2816","531"
"-978","2","2","-1007","2816","541"
"-978","2","2","-978","2816","551"
"-949","2","2","-978","2816","561"
"-920","2","2","-949","2816","571"
"-891","2","2","-920","2816","581"
"-862","2","2","-891","2816","591"
"-862","2","2","-862","2816","601"
"-862","2","2","-862","2816","611"
"-862","2","2","-862","2816","621"
"-833","2","2","-862","2816","631"
"-804","2","2","-833","2816","641"
"-775","2","2","-804","2816","651"
"-746","2","2","-775","2816","661"
"-717","2","2","-746","2816","671"
"-688","2","2","-717","2816","681"
"-659","2","2","-688","2816","691"
"-630","2","2","-659","2816","701"
"-601","2","2","-630","2816","711"
"-572","2","2","-601","2816","721"
"-543","2","2","-572","2816","731"
"-514","2","2","-543","2816","741"
"-449","2","2","-514","2816","751"
