d22937a69836f8d67fb08e1a1859dcee71a4d19bfef69c6740b20bbe53240e60,85d28f1b4ab8e8fa256645af1c651f80b6312d754ab0facdb396f97b253025f0,3dfbde00f2f60ae20795ca5d0ea9fc301cd232883c5437db0f68c6096ba98e60,ec6244368fceb30db2fcf95908883492b55ff454575d58b45340be5a325087d0,ed469c8193349944ba6acd7a963e30e4ac83c80256ae488c89b01ac9c40532f0,57c8063b4bc09432f6441d2b9abb5c06778fff80008de24a4432e012ebb0a7a4,7d76f03ed4ba63f0739c7308d736ea4f33625414e439fa39b06fe857f9e5a774
"105","105","2","1","3","105","1"
"120","120","2","1","3","105","2"
"120","100","2","1","3","100","3"
"120","120","2","1","3","105","4"
"120","105","2","1","3","105","5"
"105","100","2","1","3","100","6"
"105","100","2","1","3","120","7"
"105","100","2","1","3","100","8"
"120","120","2","1","3","105","9"
"105","100","2","1","3","120","10"
"100","105","2","1","3","100","11"
"120","120","2","1","3","105","12"
"105","105","2","1","3","105","13"
"105","120","2","1","3","105","14"
"120","120","2","1","3","120","15"
"100","100","2","1","3","100","16"
"120","105","2","1","3","120","17"
"105","120","2","1","3","120","18"
"100","105","2","1","3","105","19"
"105","105","2","1","3","100","20"
"100","105","2","1","3","100","21"
"120","120","2","1","3","120","22"
"100","100","2","1","3","105","23"
"120","120","2","1","3","120","24"
"120","105","2","1","3","105","25"
"100","100","2","1","3","100","26"
"100","100","2","1","3","100","27"
"100","100","2","1","3","100","28"
"120","120","2","1","3","120","29"
"105","120","2","1","3","105","30"
