e07202da326fee675ed257a66798cd3377d3ba7471759428b2c6f4c836053b45,e4d3f6fd9a7a46c240314d6414aacc53b6530c80d10fa85e724298a04f971dce,7dcb203739c41356605d3b9960eb78ecd38cc06deaf290aaa3628b544996e417,9d71b6805e8884642a70db1e9e2bfb48624d7319e6e1f43fc4856d36ddf31139,38cd5b09153d83a806a634724f0fc07dee6b3d2ff66268a3cbe30984789cbd61,15720542f08e3423d18e9fc7821a61468581e7bbeb52a5bd76e0a5a4bef09081,0513c337bc3d9444e41a8903da6f3a71e437827797c0c61847f8ce2ae97552b2,a1830757a203eb2b8eb563be8bafd93883bf7f2713fd0b8f0e48ac2dcb060b32,3cebb7b9f02296ec0621209222841e85b4c96b907235163fe026781996c20184,b94bc809d66a34f38af19c023910eddb973ce9ac9209e9c08d4d933b24aba18b,c684a6a9913afbc8225c179d9f1d2d8272ccea68123b91b8e8e6f8a642439210,bb9314a35ac083c39ea582ea107e1e0ed76f60e70c195b8d5226f71395e309dd
"ユイのカルテ　その１","20041106","91002","8","10074","100201","2021/08/31 12:00:00","1007401","若さと微熱","0","20","0"
"ユイのカルテ　その２","20041112","91002","8","10074","100201","2021/08/31 12:00:00","1007402","この胸の高鳴りを","1007401","20","0"
"ユイのカルテ　その３","20041115","91002","8","10074","100201","2021/09/02 5:00:00","1007403","狂おしき病の名は","1007402","30","0"
"ユニのカルテ　その１","20041106","91002","8","10074","111001","2021/08/31 12:00:00","1007404","予期せぬ来訪者","0","20","0"
"ユニのカルテ　その２","20041112","91002","8","10074","111001","2021/08/31 12:00:00","1007405","お薬の時間","1007404","20","0"
"ユニのカルテ　その３","20041115","91002","8","10074","111001","2021/09/03 5:00:00","1007406","親愛なるあなたへ","1007405","30","0"
"スズメのカルテ　その１","20041108","91002","8","10074","102501","2021/08/31 12:00:00","1007407","奇妙な外来患者","0","20","0"
"スズメのカルテ　その２","20041114","91002","8","10074","102501","2021/08/31 12:00:00","1007408","恐るべき症例","1007407","20","0"
"スズメのカルテ　その３","20041115","91002","8","10074","102501","2021/09/04 5:00:00","1007409","現代医学の限界","1007408","30","0"
"イリヤのカルテ　その１","20041108","91002","8","10074","104401","2021/08/31 12:00:00","1007410","夜を統べる者の受難","0","20","0"
"イリヤのカルテ　その２","20041114","91002","8","10074","104401","2021/08/31 12:00:00","1007411","美しきプロデュース","1007410","20","0"
"イリヤのカルテ　その３","20041115","91002","8","10074","104401","2021/09/05 5:00:00","1007412","麗しのレッスン","1007411","30","0"
"アンナのカルテ　その１","20041110","91002","8","10074","100901","2021/08/31 12:00:00","1007413","見えない敵","0","20","0"
"アンナのカルテ　その２","0","91002","8","10074","100901","2021/08/31 12:00:00","1007414","封じられた魔法","1007413","20","2004101"
"アンナのカルテ　その３","0","91002","8","10074","100901","2021/09/06 5:00:00","1007415","隻眼の悪魔の特別診療","1007414","30","2004101"
"シノブのカルテ　その１","20041110","91002","8","10074","103101","2021/08/31 12:00:00","1007416","スカルサプライズ","0","20","0"
"シノブのカルテ　その２","0","91002","8","10074","103101","2021/09/01 5:00:00","1007417","迷える少女に救いの手を","1007416","30","2004101"
