3f9a9d24d35fc007d0e143d8f61b7692aefa8929b0ef9213edca3c178b4de5f4,fa7e0bcd8cd6711fa16fc43b34323fe99bd4690308478d3cee91942b9e34a39e,eb00413572d819960fff4fd90d6a7fd5d3c52f8c3a70c580470c17c5d2cae8a6,4a5bc65583aae239f436b084c7126880e8d8284a8319d6e85e731126e20485c1,86755113b7f43ac6fed3277ff72d9b7e04355627da8e08ec23a0094932f8b870,911d0b7c43dff5ed3bf6b6a11bf60a4829fbaa436040f1ef5698fb0da2c0712a
"50000","26202","50000","1","1","2"
"10","90013","10","1","2","2"
"1","26203","0","1","3","2"
"55000","26202","55000","2","4","2"
"10","90013","10","2","5","2"
"1","26203","0","2","6","2"
"60000","26202","60000","3","7","2"
"10","90013","10","3","8","2"
"1","26203","0","3","9","2"
"65000","26202","65000","4","10","2"
"10","90013","10","4","11","2"
"1","26203","0","4","12","2"
"70000","26202","70000","5","13","2"
"10","90013","10","5","14","2"
"1","26203","0","5","15","2"
"75000","26202","75000","6","16","2"
"10","90013","10","6","17","2"
"1","26203","0","6","18","2"
"80000","26202","80000","7","19","2"
"10","90013","10","7","20","2"
"1","26203","0","7","21","2"
"85000","26202","85000","8","22","2"
"10","90013","10","8","23","2"
"1","26203","0","8","24","2"
"90000","26202","90000","9","25","2"
"20","90013","20","9","26","2"
"1","26203","0","9","27","2"
"95000","26202","95000","10","28","2"
"20","90013","20","10","29","2"
"1","26203","0","10","30","2"
"100000","26202","100000","11","31","2"
"20","90013","20","11","32","2"
"1","26203","0","11","33","2"
"105000","26202","105000","12","34","2"
"20","90013","20","12","35","2"
"1","26203","0","12","36","2"
