008e8ceedb9e3a718c67847df7cb6ba43fce42af7e531bfa63fabfbf9905883d,c71728ea6f475203009f7c859316252812c5079ca0083b2c371f075097f91742,08bf7d63075eab7a931a8d43ce587799fd3116ff87b1b81c5969f61d054359b7,08eef09ad2dc09aaaf0941a9c4d91b2cc079dabb82b71b8de8d80166928ae204,3a5f6af322747637cac99633371f415731a5e47ca48e101913db549b1d2cac37,37d076043316c5e0fe8099448b70ff2ab322f8185d4a77468f838ccfeb8d68ba,eb800081d31058f1606161f6d55957fc3b4c7387125d90837093b076078e3493,64aa37d72ff26e9012978bd4518aafdaf47319580529e043f5e8f31b47019567,9ecfea11a3970038fd05950d6e1bf7c9785dc128b407714ef13f5279e844be80,b1781607922d264989d31c11dc1b2e5fa0d2a745215eb61dd7b3516fd0b0c217,ba6c39bdd91484e96668339813d69c0b282d3257f60db2be378496789fa9fe6b
"","4514001","4514","","","25","bgm_M321_2C","","","","bgm_M321"
"0","4514002","4514","250","wac_birthday_idle_normal","1","105811","2","-1000","-70","1"
"1","4514003","4514","256","wac_birthday_idle_doya","1","106011","2","200","-270","1"
"1","4514004","4514","258","wac_birthday_idle_wish","1","105911","2","320","-310","1"
"1","4514005","4514","257","wac_birthday_idle_smile","1","106431","2","440","-290","1"
"","4514006","4514","","","13","300","","","","105811"
"","4514007","4514","","","13","300","","","","106011"
"","4514008","4514","0","","31","600","1","0","1","600"
"","4514009","4514","0","","31","602","0","0","1","602"
"","4514010","4514","0","","31","603","0","0","1","603"
"","4514011","4514","30","","31","604","1","60","1","604"
"","4514012","4514","0","","31","611","1","0","1","611"
"","4514013","4514","0","","31","700","0","0","1","700"
"","4514014","4514","0","","31","701","0","0","1","701"
"","4514015","4514","0","","31","702","0","0","1","702"
"","4514016","4514","0","","31","800","0","0","1","800"
"","4514017","4514","30","","31","900","1","60","1","900"
"","4514018","4514","","","93","","","","","1"
"0.2","4514019","4514","0","","3","wac_birthday_reaction_01","0.2","wac_birthday_reaction_03","1","105911"
"","4514020","4514","","","93","","","","","0.1"
"0.2","4514021","4514","0","","3","wac_birthday_reaction_05","0.2","wac_birthday_reaction_04","1","106011"
"0.2","4514022","4514","0","","3","wac_birthday_reaction_02","0.2","wac_birthday_reaction_03","1","106431"
"","4514023","4514","","","93","","","","","0.3"
"","4514024","4514","1","","3","wac_birthday_run_01","0.2","","","105811"
"","4514025","4514","-70","","2","0","","3","","105811"
"","4514026","4514","","","93","","","","","2.5"
"","4514027","4514","","","32","1","","","","602"
"","4514028","4514","","","93","","","","","0.6"
"","4514029","4514","","","32","0","","","","600"
"","4514030","4514","","","32","0","","","","611"
"","4514031","4514","","","32","0","","","","604"
"","4514032","4514","","","32","1","","","","701"
"","4514033","4514","0","","33","0","","0.01","","900"
"0.2","4514034","4514","0","","3","wac_birthday_blowout_02","0.2","wac_birthday_wish_02","1","105811"
"","4514035","4514","-330","","2","-200","","0.01","","105811"
"","4514036","4514","1","","3","wac_birthday_idle_doya","0.2","","","106011"
"","4514037","4514","-320","","2","180","","0.01","","106011"
"","4514038","4514","1","","3","wac_birthday_idle_wish","0.2","","","105911"
"","4514039","4514","-360","","2","300","","0.01","","105911"
"","4514040","4514","1","","3","wac_birthday_idle_smile","0.2","","","106431"
"","4514041","4514","-340","","2","420","","0.01","","106431"
"","4514042","4514","","","93","","","","","0"
"","4514043","4514","","","32","1","","","","800"
"","4514044","4514","","","93","","","","","0.7"
"","4514045","4514","","","32","1","","","","702"
"","4514046","4514","","","93","","","","","0.5"
"","4514047","4514","0","","23","se_sys_login_birthday_blow_candle","","","","se_common"
"","4514048","4514","","","32","0","","","","701"
"","4514049","4514","","","93","","","","","0.4"
"","4514050","4514","0","","23","se_sys_login_birthday_cracker","","","","se_common"
"","4514051","4514","","","32","1","","","","700"
"","4514052","4514","0","","23","se_sys_login_birthday_calendar_applause","","","","se_common"
"0.2","4514053","4514","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_doya","1","106011"
"","4514054","4514","","","93","","","","","0.1"
"0.2","4514055","4514","0","","3","wac_birthday_clap_to_wish","0.2","wac_birthday_idle_wish","1","105911"
"","4514056","4514","","","93","","","","","0.1"
"0.2","4514057","4514","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_smile","1","106431"
"","4514058","4514","","","93","","","","","2"
"","4514059","4514","","","131","","","","","1"
"","4514060","4514","0","","21","vo_wac_04514_000","","0","","vo_wac_04514"
"0","4514061","4514","10","0.5","11","これって、誕生日ケーキですか！？\nありがとうございます♪\nとってもおいしそう……\nさっそくパクっといっちゃいますね♪","0","1","1","105811"
"","4514062","4514","","","91","","","","","0"
"","4514063","4514","1","","3","wac_birthday_idle_kyapi","0.2","","","105811"
"","4514064","4514","1","","3","wac_birthday_talk_normal","0.2","","","106011"
"","4514065","4514","0","","21","vo_wac_04514_001","","0","","vo_wac_04514"
"0","4514066","4514","10","0.5","11","ちょちょ、ストーーーップ！！\nまだろうそく外してないわよ！？\nほんと相変わらずね、あんたってば……\nふふっ、おめでと。","0","1","1","106011"
"","4514067","4514","","","91","","","","","0"
"","4514068","4514","1","","3","wac_birthday_idle_doya","0.2","","","106011"
"","4514069","4514","1","","3","wac_birthday_talk_kyapi","0.2","","","105811"
"","4514070","4514","0","","21","vo_wac_04514_002","","0","","vo_wac_04514"
"0","4514071","4514","10","0.5","11","えへへ、ありがとうございます♪\nいっぱい味わって食べますね！\nみんなに祝ってもらえて\n今日は最高の記念日です♪","0","1","1","105811"
"","4514072","4514","","","91","","","","","0"
"","4514073","4514","1","","3","wac_birthday_talk_wish","0.2","","","105811"
"","4514074","4514","0","","21","vo_wac_04514_003","","0","","vo_wac_04514"
"0","4514075","4514","10","0.5","11","今日も、明日も、この先の未来も\n素敵な食卓を囲んでいけますように♪\nもちろんあなたも一緒ですよ！\nこれからもよろしくお願いしますね！","0","1","1","105811"
"","4514076","4514","","","91","","","","","0"
"","4514077","4514","","","22","","","","","0"
"","4814001","4814","","","25","bgm_M321_2C","","","","bgm_M321"
"0","4814002","4814","250","wac_birthday_idle_normal","1","102011","2","-1000","-70","1"
"1","4814003","4814","256","wac_birthday_idle_doya","1","103611","2","230","-270","1"
"1","4814004","4814","257","wac_birthday_idle_kyapi","1","100411","2","410","-310","1"
"","4814005","4814","","","13","300","","","","102011"
"","4814006","4814","","","13","300","","","","103611"
"","4814007","4814","0","","31","600","1","0","1","600"
"","4814008","4814","0","","31","602","0","0","1","602"
"","4814009","4814","0","","31","603","0","0","1","603"
"","4814010","4814","30","","31","604","1","60","1","604"
"","4814011","4814","0","","31","611","1","0","1","611"
"","4814012","4814","0","","31","700","0","0","1","700"
"","4814013","4814","0","","31","701","0","0","1","701"
"","4814014","4814","0","","31","702","0","0","1","702"
"","4814015","4814","0","","31","800","0","0","1","800"
"","4814016","4814","30","","31","901","1","60","1","901"
"","4814017","4814","","","93","","","","","1"
"0.2","4814018","4814","0","","3","wac_birthday_reaction_02","0.2","wac_birthday_reaction_03","1","100411"
"","4814019","4814","","","93","","","","","0.1"
"0.2","4814020","4814","0","","3","wac_birthday_reaction_01","0.2","wac_birthday_reaction_04","1","103611"
"","4814021","4814","","","93","","","","","0.3"
"","4814022","4814","1","","3","wac_birthday_run_01","0.2","","","102011"
"","4814023","4814","-70","","2","0","","3","","102011"
"","4814024","4814","","","93","","","","","2.5"
"","4814025","4814","","","32","1","","","","602"
"","4814026","4814","","","93","","","","","0.6"
"","4814027","4814","","","32","0","","","","600"
"","4814028","4814","","","32","0","","","","611"
"","4814029","4814","","","32","0","","","","604"
"","4814030","4814","","","32","1","","","","701"
"","4814031","4814","0","","33","0","","0.01","","901"
"0.2","4814032","4814","0","","3","wac_birthday_blowout_02","0.2","wac_birthday_wish_02","1","102011"
"","4814033","4814","-330","","2","-200","","0.01","","102011"
"","4814034","4814","1","","3","wac_birthday_idle_doya","0.2","","","103611"
"","4814035","4814","-320","","2","180","","0.01","","103611"
"","4814036","4814","1","","3","wac_birthday_idle_kyapi","0.2","","","100411"
"","4814037","4814","-340","","2","320","","0.01","","100411"
"","4814038","4814","","","93","","","","","0"
"","4814039","4814","","","32","1","","","","800"
"","4814040","4814","","","93","","","","","0.7"
"","4814041","4814","","","32","1","","","","702"
"","4814042","4814","","","93","","","","","0.5"
"","4814043","4814","0","","23","se_sys_login_birthday_blow_candle","","","","se_common"
"","4814044","4814","","","32","0","","","","701"
"","4814045","4814","","","93","","","","","0.4"
"","4814046","4814","0","","23","se_sys_login_birthday_cracker","","","","se_common"
"","4814047","4814","","","32","1","","","","700"
"","4814048","4814","0","","23","se_sys_login_birthday_calendar_applause","","","","se_common"
"0.2","4814049","4814","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_doya","1","103611"
"","4814050","4814","","","93","","","","","0.1"
"0.2","4814051","4814","0","","3","wac_birthday_clap","0.2","wac_birthday_idle_kyapi","1","100411"
"","4814052","4814","","","93","","","","","2"
"","4814053","4814","","","131","","","","","1"
"","4814054","4814","0","","21","vo_wac_04814_000","","0","","vo_wac_04814"
"0","4814055","4814","10","0.5","11","わあ～、ケーキだ～！\nお店屋さんで売ってるのより\nおっきい……！　すごいすごい♪","0","1","1","102011"
"","4814056","4814","","","91","","","","","0"
"","4814057","4814","1","","3","wac_birthday_idle_smile","0.2","","","102011"
"","4814058","4814","1","","3","wac_birthday_talk_doya","0.2","","","103611"
"","4814059","4814","0","","21","vo_wac_04814_001","","0","","vo_wac_04814"
"0","4814060","4814","10","0.5","11","こっそり作っておいたの！\nミソギがイタズラしてきて\n大変だったけど……\nミミ、お誕生日おめでとう♪","0","1","1","103611"
"","4814061","4814","","","91","","","","","0"
"","4814062","4814","1","","3","wac_birthday_idle_doya","0.2","","","103611"
"","4814063","4814","1","","3","wac_birthday_talk_smile","0.2","","","102011"
"","4814064","4814","0","","21","vo_wac_04814_002","","0","","vo_wac_04814"
"0","4814065","4814","10","0.5","11","えへへ、ふたりともありがとう～\nおとうさんとおかあさん、みんなからも\nケーキがもらえるなんて夢みたい……","0","1","1","102011"
