6577d6a319aa73abb53704318d8fc6ddda4bdae5955cf6416c28991c674f6997,0c57cc2683f07f3f1f26c385d4f4b842301f21e73430e403252a9fe354284dee,576772ce1935538a283ade193ac038900573e6413ae8c02f0bcf79190d5da0ac,dd3cf84e2b0d4e4c4e87177651518aa515cbe575c3253650b2a1efd560521466,e22d950839d1fd3f83c33915dd119c89558f901cec8fc9c7a3004a167495a6e5
"300","1","1","1","135"
"-100","2","1","1","425"
"125","3","1","2","-100"
"-415","4","1","2","375"
"-50","5","1","3","25"
"-300","6","1","3","-25"
"-335","7","1","4","-195"
"-415","8","1","4","105"
"-160","9","1","5","135"
"-40","10","1","6","345"
"90","11","1","7","-230"
"-420","12","1","8","230"
"250","13","1","9","30"
"-245","14","1","10","280"
"-110","15","1","11","-150"
