709ab31ad96c44ad4f33078e15c69892bb7c6ae2008adce2382f9f78d852bfb4,75b897c98b721894b0e6174a7c214762d8d5d0c14bcc19a1acc1865e17371796,c166b3b04841c4d9cc0f48364394cd0eb7f041d5da7de7f42d06fb3c8afed6ba,e9b071f23b99e6873b11117daf2bd3c28a5ca8ed1d84e91330fb5e33b639d823,3c667f2269d2972929ad54cef66b198901150a6dee68582e36ec2034f8c23c11,3781aefbf8f7844f157007cf1ff4e2b4c300cdd86aaa1d0980b64cea756ae2d8,c1f3d4ed2c183b4ca29fd2001296e063985a94c67e080bd2b7e87be7267daafd,c5a1f912046761f01c47961b2c008391a570d5859dab7faa8a9a4731fcfa2a25,06547bc27f146f77268bd34885031bebfe56949b50291d59af905a478f99acb5,1dceb52d2b23be1e3f63b3efa624dd529127c635053379f3848610ec9d45898e,0502e6a6175c6ba9d4596daf37d913f4ad6c1513a45f50f794bd2fbe9fda9224
"-345","2","118511","1","1","111","wac_215_karin_idle_normal","0","-273","202","111001"
"-355","2","105811","1","1","111","wac_215_idle_joy1","1","170","205","111002"
"-325","2","105911","1","1","111","wac_215_idle_normal_joy","1","50","202","111003"
"-330","2","106011","1","1","111","wac_215_idle_arm_crossed","1","300","203","111004"
"-360","2","106431","1","1","111","wac_215_idle_normal2","1","450","204","111005"
"","","","1","131","111","","","","","111006"
"","","0","1","93","112","","","","","112001"
"","0.2","wac_215_karin_talk_normal","118511","3","112","","","","1","112002"
"","","vo_wac_220215_000","vo_wac_220215","21","112","","","0","0","112003"
"1","0","【美食殿】のみなさん、\n来ていただいてありがとうございます！","118511","11","112","0.5","0","1","10","112004"
"","","","112004","91","112","","","","","112005"
"","0.2","wac_215_karin_idle_normal","118511","3","112","","","","1","112006"
"1","0.2","wac_215_peko_oissu","105811","3","112","","0.2","wac_215_talk_normal","0","112007"
"","","vo_wac_220215_001","vo_wac_220215","21","112","","","0","0","112008"
"1","0","カリンさん、オイッスー！\nどうしたんですか？\nランドソルの端っこに\n呼び出したりなんかして。","105811","11","112","0.5","0","1","10","112009"
"","","","112009","91","112","","","","","112010"
"","0.2","wac_215_idle_normal","105811","3","112","","","","1","112011"
"","0.2","wac_215_karin_talk_normal","118511","3","112","","","","1","112012"
"","","vo_wac_220215_002","vo_wac_220215","21","112","","","0","0","112013"
"1","0","今日はみなさんにお願いしたい\n重要な依頼があるんです。","118511","11","112","0.5","0","1","10","112014"
"","","","112014","91","112","","","","","112015"
"","0.2","wac_215_karin_idle_normal","118511","3","112","","","","1","112016"
"1","0.2","wac_215_talk_arm_crossed","106011","3","112","","0","wac_215_talk_arm_crossed_loop","0","112017"
"","","vo_wac_220215_003","vo_wac_220215","21","112","","","0","0","112018"
"1","0","重要な依頼？\nまた面倒くさいこと押し付けようと\nしてんじゃないでしょうね……","106011","11","112","0.5","0","1","10","112019"
"","","","112019","91","112","","","","","112020"
"","0.2","wac_215_idle_arm_crossed","106011","3","112","","","","1","112021"
"","0.2","wac_215_karin_talk_normal","118511","3","112","","","","1","112022"
"","","vo_wac_220215_004","vo_wac_220215","21","112","","","0","0","112023"
"1","0","実はこのたび景観向上事業として\nランドソルを囲む壁に\n絵を描いて、街を華やかにするという\n計画を進めることになりまして。","118511","11","112","0.5","0","1","10","112024"
"","","","112024","91","112","","","","","112025"
"","0.2","wac_215_karin_idle_normal","118511","3","112","","","","1","112026"
"1","0.2","wac_215_shefy_humu","106431","3","112","","0.2","wac_215_talk_normal","0","112027"
"","","vo_wac_220215_005","vo_wac_220215","21","112","","","0","0","112028"
"1","0","ランドソルを囲む壁に絵を？\nふぅん、楽しそうね。\nここに描けばいいのかしら？","106431","11","112","0.5","0","1","10","112029"
"","","","112029","91","112","","","","","112030"
"","0.2","wac_215_idle_normal2_joy","106431","3","112","","","","1","112031"
"","0.2","wac_215_karin_talk_normal","118511","3","112","","","","1","112032"
"","","vo_wac_220215_006","vo_wac_220215","21","112","","","0","0","112033"
"1","0","はい。ここから始めて、\nランドソルの壁をぐるっと一周\n絵でいっぱいにしたいんです。","118511","11","112","0.5","0","1","10","112034"
"","","","112034","91","112","","","","","112035"
"","0.2","wac_215_karin_idle_normal","118511","3","112","","","","1","112036"
"","0.2","wac_215_talk_sad","106431","3","112","","","","1","112037"
"","","vo_wac_220215_007","vo_wac_220215","21","112","","","0","0","112038"
"1","0","え？　ランドソルの壁を……\nぐるっと一周？","106431","11","112","0.5","0","1","10","112039"
"","","","112039","91","112","","","","","112040"
"","0.2","wac_215_idle_sad","106431","3","112","","","","1","112041"
"","0.2","wac_215_karin_talk_wish","118511","3","112","","","","1","112042"
"","","vo_wac_220215_008","vo_wac_220215","21","112","","","0","0","112043"
"1","0","はい♪　ランドソル中を\n素敵な絵で飾ることができたら\nとっても魅力的な街になると\n思いませんか？","118511","11","112","0.5","0","1","10","112044"
"","","","112044","91","112","","","","","112045"
"","0.2","wac_215_karin_idle_normal","118511","3","112","","","","1","112046"
"","0.2","wac_215_coccoro_talk_wish","105911","3","112","","","","1","112047"
"","","vo_wac_220215_009","vo_wac_220215","21","112","","","0","0","112048"
"1","0","それは……壮大な計画でございますね。\nカリンさま。","105911","11","112","0.5","0","1","10","112049"
"","","","112049","91","112","","","","","112050"
"","0.2","wac_215_coccoro_idle_wish","105911","3","112","","","","1","112051"
"1","0.2","wac_215_peko_talk_guts2","105811","3","112","","0","wac_215_peko_talk_guts2_loop","0","112052"
