7ffd89eb5d5b171fc6becd5934adad2157de0da311230f8112753d7fe908868a,74c527249888503b379f56015ed9ec0046e4e1ee0a31a926ee311f52f86b106b,fa21b41f70a87eb85396198cf94e15cb4433370a3a4b076ba1529cbbf5d43cd6,a7642bb605011456d19a1da723ca691d469f9e8348ee8ed746b8f770c8209a7b,af96d56cd4ed9307de002a555fdcc772ad38e401f5f7509e3d720b3687f75f02,2031eeada1fa163ed6756e462fe9f69b957db04b81378be726efe18d0a4448cb,3b6ac032db58a4ed964bea03781a58cb12c96baf30e3a0b5560d3520186bf067,0cc7bdf870eb5c0ebb3f1983f95bb05e2e84c90ea971b927148d010e83e0e1e7
"90","76010001","1","376010001","2024/10/15 15:00:00","1","276010001","760100011"
"90","76010002","1","376010002","2024/10/15 15:00:00","2","276010002","760100021"
"90","76010003","1","376010003","2024/10/15 15:00:00","3","276010003","760100031"
"90","76010004","1","376010004","2024/10/15 15:00:00","4","276010004","760100041"
"90","76010005","1","376010005","2024/10/15 15:00:00","5","276010005","760100051"
"90","76020001","2","376020001","2024/10/15 15:00:00","1","276020001","760200011"
"90","76020002","2","376020002","2024/10/15 15:00:00","2","276020002","760200021"
"90","76020003","2","376020003","2024/10/15 15:00:00","3","276020003","760200031"
"90","76020004","2","376020004","2024/10/15 15:00:00","4","276020004","760200041"
"90","76020005","2","376020005","2024/10/15 15:00:00","5","276020005","760200051"
